smiles,regression_logP
CC1=C(O)C(=O)C(C)O1,0.7637
CCC(O)c1ccccc1,2.13
CC(CC=O)CCCC(C)(C)O,2.1527000000000007
OCC1CC2CC1C1CCC(CO)C21,1.2694
CCCCCC(C=O)=Cc1ccccc1,3.8492000000000033
CCC(=O)OCCC(C)CCC=C(C)C,3.712200000000003
CCCCCOC(=O)CC(C)C,2.765900000000001
C/C=C/c1ccc(OC)cc1,2.7283000000000013
CC1CCC2C(C)(C)C3CC12CC1OC13C,3.6262000000000025
CCCCOC(C)OCCc1ccccc1,3.4084000000000017
CCCCCCOC(C)OCC,2.965800000000001
COc1ccc(CO)cc1,1.1874999999999998
COc1ccc(C=O)cc1,1.5076999999999998
COc1ccc(COC(C)=O)cc1,1.7583
CC(C)=O,0.5952999999999999
CC(=O)[n+]1cc(C)nc(C)c1,0.6460400000000003
CC(C)CC(=O)OCc1ccccc1,2.7759000000000014
CC(=O)OC1CCC(C(C)(C)C)CC1,3.1544000000000016
CC/C=C\CCOC(=O)c1ccccc1,3.1997000000000018
CC1(C)[C@H]2CC[C@]1(C)[C@@H](OCCO)C2,2.2101
CCc1nccnc1C(C)=O,1.2415999999999998
C=C(C)CCCC(C)CCOC(C)=O,3.3221000000000016
CC/C=C\CCOC=O,1.5157
CC/C=C\CCOC(C)=O,1.9058
O=Cc1ccccc1,1.4991
CC1(C)CCC2OC23C(C)(C)C2CCC13C2,3.7703000000000033
O=C1CCc2ccccc2O1,1.5382
CCC(C)C1CCCCC1=O,2.791800000000001
CCOC(=O)c1ccccc1O,1.5688999999999995
CC(=O)c1nccnc1C,0.98762
CCCCCCCCCC(=O)OCCC(C)C,4.716400000000005
CCOC(=O)C1OC1(C)c1ccccc1,1.8637
CC(=O)OCc1ccccc1,1.7496999999999998
CCOc1ccc2ccccc2c1,3.238500000000002
CCOC(=O)C1OC1c1ccccc1,1.6895999999999998
OCc1ccccc1,1.1789
CCC(=O)O,0.48100000000000004
O=C(OCc1ccccc1)c1ccccc1,3.0436000000000014
O=C(O)/C=C(\CC(=O)O)C(=O)O,-0.4432999999999997
CCCCCCCCCCCC(OC)OC,4.526200000000004
CC(C)C(=O)OCc1ccccc1,2.3858000000000006
CC=Cc1ccc(OCc2ccccc2)c(OC)c1,4.307300000000003
CCCCCCC(C)=O,2.5458000000000007
CCC(=O)OCc1ccccc1,2.1398
CC1=CC[C@@]2(CC1)[C@H](C)CC[C@H]2C(C)(C)O,3.920000000000003
O=C(OCc1ccccc1)c1ccccc1O,2.7492000000000014
O=C(O)CCCCC(=O)O,0.716
CCCCC/C=C\CCO,2.5053000000000005
C=CCOC(=O)COCCC(C)C,1.7783
CCOC(=O)CC(C)=O,0.5286
CCC(C)(O)CCc1ccccc1,2.7802000000000016
CC(C)=CC1CC(C)=CCO1,2.687800000000001
C=CC(C)CCCC(C)(C)OC(C)=O,3.320500000000002
CC(C)C(=O)OC1CC2CC1C1C=CCC21,2.7863000000000016
CC(C)=CCCC(C)=CC(=O)O,2.7637
CC(C)C1CCC(O)CC1,2.1935
CCCCCCC#CC(OC)OC,2.5791000000000004
O=C1CCCCCCCCCCC(=O)OCCO1,2.987400000000002
CC(CCO)CCCC(C)(C)O,1.9461
CC(=O)OCCC(C)CC(C)(C)C,3.0119000000000016
CC(=O)O[C@@H]1C[C@H](C)CC[C@H]1C(C)C,3.0103000000000018
CC1(C)[C@H]2CC[C@@]1(C)[C@H](O)C2,2.1935
CCCCCC(C)=O,2.1557000000000004
C=CCCCCCCCCC(=O)OC/C=C(\C)CCC=C(C)C,6.529100000000009
CCCCCCCOC=O,2.1298000000000004
CC(=O)OC1CC2CC1C1CC=CC21,2.1502
CC/C=C\CO,0.9449
C/C=C/C(=O)OC/C=C(\C)CCC=C(C)C,3.798400000000002
NCCC(=O)O,-0.5802
O=C(C=Cc1ccccc1)OCCCc1ccccc1,3.8758000000000026
C[C@@H](N=C(O)[C@@H](N)CC(=O)O)C(O)=NC1C(C)(C)SC1(C)C,1.7625000000000002
C=CCCCCCCCCC(=O)OCCCC,4.636500000000004
CC(C)C(=O)O,0.727
C=CCOC(=O)c1ccccc1N,1.6116
CCCCCCOC(=O)/C=C/C(=O)OCCCCCC,3.7896000000000023
C=CCOC(=O)C=Cc1ccccc1,2.4290000000000003
Cc1occc(=O)c1O,0.6538199999999998
Cc1ccc2c(c1)OCC(=O)CO2,1.3353199999999998
CC(=CCO)CCCC(C)CCCC(C)CCCC(C)C,6.3641000000000085
