Stimulus,Raw Descriptors,Filtered Descriptors,Modifiers
49,fruity aroma??,fruity,
107,balsamic,balsamic,
126,nutty aroma,nutty,
176,sour,sour,
177,ethereal,ethereal,
179,fruity,fruity,
196,minty??????,mint,
239,NA,no aroma,
240,almond,almond,
241,garlic,garlic,
243,almond,almond,
244,fruity,fruity,
261,nutty,nutty,
263,fruity,fruity,
264,salt,salt,
325,caraway,caraway,
326,wood,woody,
332,curry,curry,
338,nutty aroma,nutty,
379,NA,no aroma,
454,lemon,lemon,
460,smoke-like,smoky,
650,buttery odour,butter,
660,coconut,coconut,
798,NA,no aroma,
880,NA,no aroma,
957,citrus,citrus,
985,grass,grass,
994,NA,no aroma,
996,sweet,sweet,
998,rose,rose,
999,rose,rose,
1001,fishy,fishy,
1032,rancid ,rancid,
1060,sour vinegar,sour;vinegar,
1182,Fishy aroma??????,fishy,
1183,vanilla,vanilla,
2214,vanilla,vanilla,
2345,balsamic,balsamic,
2537,minty,mint,
2682,fruity,fruity,
2879,tarry-smoky,tarry;smoky,
2969,rancid,rancid,
3102,floral,floral,
3314,Aroma of cloves ,cloves,
3322,NA,no aroma,
3893,lily,lily,
4133,mint,mint,
4276,balsamic,balsamic,
4458,rose-like aroma??,rose,
4775,floral aroma??,floral,
4788,Sweet aroma,sweet,
4837,Salty,salty,
5144,Sasafras aroma ,sassafras,
5146,coconut,coconut,
5281,tallow,tallow,
5862,Sulferous aroma,sulfurous,
5960,NA,no aroma,
5971,pungent,pungent,
6054,Flower,floral,
6106,no aroma,no aroma,
6184,grass,grass,
6274,no aroma,no aroma,
6288,savoury aroma??,savory,
6322,NA,no aroma,
6341,Fishy ammonia aroma,fishy;ammonia,
6448,piney aroma ,pine,
6505,herbaceous,herbaceous,
6549,lavender,lavender,
6569,Fruity aroma??,fruity,
6584,citrus,citrus,
6590,chees,cheese,
6616,camphor,camphoraceous,
6654,pine,pine,
6660,maple-liquorice aroma,maple;licorice,
6818,citrusy,citrus,
6826,sweet,sweet,
6985,minty??,mint,
6986,mint,mint,
6987,mint,mint,
6988,grass,grass,
6989,spicy,spicy,
7017,Bitter aroma,bitter,
7041,woody,woody,
7047,balsamic,balsamic,
7095,rose aroma,rose,
7122,orange blossom,orange blossom,
7127,Flowery rose,floral;rose,
7136,Mild clove aroma??????,cloves,mild
7137,clove-like aroma,cloves,
7144,vanilla sweet,vanilla;sweet,
7146,vegetable,vegetable,
7151,Tobacco,tobacco,
7184,fermented fruit??????,fermented;fruity,
7194,camomile,camomile,
7222,gasoline,gasoline,
7283,fishy,fishy,
7284,almond,almond,
7302,caramel,caramellic,
7335,minty aroma??????,mint,
7336,minty aroma??????,mint,
7353,fruity,fruity,
7361,burnt,burnt,
7362,almond,almond,
7410,NA,no aroma,
7413,fruity aroma??,fruity,
7438,mint,mint,
7460,herbaceous aroma,herbaceous,
7461,pine,pine,
7462,pine,pine,
7463,citrus,citrus,
7476,"vanillic, balsamic",vanilla;balsamic,
7478,NA,no aroma,
7509,fruity aroma,fruity,
7531,herbaceous,herbaceous,
7593,fruity-almond,fruity;almond,
7599,balsamic-rosy,balsamic;rose,
7601,rose,rose,
7632,rose sweetness aroma??,rose;sweet,
7643,rosy-fruity,rose;fruity,
7646,fruity-floral,fruity;floral,
7650,fruity-floral,fruity,
7651,Apple,apple,
