Stimulus,Raw Descriptors,Filtered Descriptors,Modifiers
7655,fruity-rosy,fruity;rose,
7657,NA,no aroma,
7658,fruity,fruity,
7661,fruity-floral,fruity;floral,
7685,fruity,fruity,
7695,balsamic,balsamic,
7702,herbaceous,herbaceous,
7707,floral,floral,
7708,floral-fruity,floral;fruity,
7710,coconut,coconut,
7711,"herbaceous,rose",herbaceous;rose,
7714,fruity,fruity,
7731,sweet aroma,sweet,
7738,sweet floral,sweet;floral,
7761,fruity,fruity,
7765,fruity,fruity,
7768,spicy aroma,spicy,
7778,floral,floral,
7780,Floral,floral,
7792,rose-like,rose,
7794,lemon,lemon,
7852,NA,no aroma,
7888, sweet floral lily,sweet;floral;lily,
7937,baked potato,potato,
7938,coffee,coffee,
7958,menthol-like,menthol,
7963,coffee,coffee,
7967,mint,mint,
7981,fruity,fruity,
7983,floral aroma??????,floral,
7986,fruity,fruity,
7991,acid,acid,
8007,Fishy ammonia aroma,fishy;ammonia,
8012,fruity,fruity,
8030,garlic,garlic,
8048,grape,grape,
8049,winey-fruity,winey;fruity,
8050,grape,grape,
8051,spice,spicy,
8060,NA,no aroma,
8067,Meaty aroma??????,meaty,
8077,cabbage,cabbage,
8093,apple,apple,
8094,sour,sour,
8102,Fishy aroma,fishy,
8125,petroleum-like aroma??,petroleum,
8129,grass,grass,
8130,citrus,citrus,
8139,Flower,floral,
8167,orange-rose odour,orange;rose,
8174,fruity,fruity,
8175,orange,orange,
8180,Fatty aroma,fatty,
8181,waxy,waxy,
8186,oil,oily,
8205,citrus-rose aroma,citrus;rose,
8283,sweet,sweet,
8294,fruity,fruity,
8299,sweet-caramellic,sweet;caramellic,
8314,grass,grass,
8363,Flower,floral,
8400,balsamic,balsamic,
8405,herbaceous,herbaceous,
8452,minty aroma??,mint,
8467,vanilla,vanilla,
8468,vanilla,vanilla,
8500,fruity,fruity,
8635,orange,orange,
8697,fruity,fruity,
8738,buttery,butter,
8748,sweet,sweet,
8767,rose-like aroma??????,rose,
8785,floral (Jasmine),floral;jasmine,
8792,fruity-rosy,fruity;rose,
8797,floral,floral,
8821,fruity aroma,fruity,
8831,Bland aroma??,bland,
8834,fruity-rosy,fruity;rose,
8835,rose,rose,
8842,rose,rose,
8863,floral odour reminiscent of jasmine??????,floral;jasmine,
8892,sweet,sweet,
8908,fruity,fruity,
8914,rose-citrus,rose;citrus,
9012,caramellic,caramellic,
9017,fruity,fruity,
9024,fruity aroma,fruity,
9025,nut-like aroma??,nutty,
9261,corn-like,corn,
9589,popcorn,popcorn,
9862,grass,grass,
9895,camphoraceous,camphoraceous,
10106,camphor,camphoraceous,
10248,Spice with floral,spicy;floral,
10336,ethereal aroma??,ethereal,
10364,spicy,spicy,
10402,whisky aroma??????,whisky,
10430,rancid,rancid,
10452,NA,no aroma,
10460,fruity,fruity,
10492,camphoraceous aroma??,camphoraceous,
10586,sweet,sweet,
10657,oil aroma,oily,
10659,NA,no aroma,
10795,NA,no aroma,
10817,camphoraceous,camphoraceous,
10819,minty aroma??,mint,
10873,fruity,fruity,
10886,fruity,fruity,
10927,nutty,nutty,
10931,dairy aroma,dairy,
10954,Musky aroma,musky,
10976,grass,grass,
11038,camphor aroma ,camphoraceous,
11086,"spicy, fruity",spicy;fruity,
11142,terpentine,turpentine,
11173,lavender aroma??????,lavender,
11230,must,musty,
11340,coconut aroma,coconut,
11363,pungent,pungent,
11463,sweet,sweet,
11513,grass,grass,
11520,herbaceous,herbaceous,
11529,sweet,sweet,
11552,almond,almond,
11559,tobacco,tobacco,
11576,fermented fruit??????,fermented;fruity,
11605,lemon,lemon,
11613,fruity,fruity,
11716,balsamic,balsamic,
11952,almond,almond,
12072,spearmint-like,spearmint,
12097,caramellic,caramellic,
12146,NA,no aroma,
12177,fruity aroma,fruity,
12198,fruity acetic aroma??????,fruity;acetic,
12232,onion-like aroma,onion,
12294,floral aroma??????,floral,
12297,grass,grass,
12323,sweet,sweet,
12329,Faint alcoholic aroma??????,alcoholic,faint
12506,Bread,bread,
12578,herbaceous,herbaceous,
12613,apple,apple,
12779,NA,no aroma,
12810,butter,butter,
12813,peach,peach,
13006,NA,no aroma,
13016,NA,no aroma,
13367,pungent,pungent,
13594,NA,no aroma,
13852,garlic aroma??,garlic,
14079,licorice-like aroma,licorice,
14243,grassy,grass,
14286,popcorn,popcorn,
14350,sweet,sweet,
14505,Coffee-like aroma??,coffee,
14514,nutty aroma??,nutty,
14529,caraway,caraway,
14896,resinous piney aroma,resinous;pine,
15068,herbaceous aroma??,herbaceous,
15146,nutty aroma??????,nutty,
15406,camphor,camphoraceous,
15475,blueberry,blueberry,
15574,banana,banana,
15600,sweet,sweet,
15717,honey,honey,
15834,peach/apricot,peach;apricot,
16315,pungent,pungent,
16324,peach/apricot,peach;apricot,
16330,fruity,fruity,
16331,fruity,fruity,
16441,minty,mint,
16591,garlic,garlic,
16666,Mint,mint,
16724,minty aroma??,mint,
16800,NA,no aroma,
16864,rose,rose,
16899,seaweed,seaweed,
17000,tobacco,tobacco,
17100,mint,mint,
17167,almond,almond,
17243,fruity aroma,fruity,
17525,fruity,fruity,
17623,Fruity grape aroma??,fruity;grape,
17739,floral balsamic,floral;balsamic,
18522,Wintergreen-like aroma??,wintergreen,
18744,honey-floral,honey;floral,
18818,pepper,pepper,
18827,mushroom,mushroom,
19244,minty aroma,mint,
19309,pineapple aroma,pineapple,
19602,butter,butter,
19633,sweet-rosey aroma??????,sweet;rose,
19801,orange,orange,
20083,oily,oily,
20219,pineapple,pineapple,
20354,floral aroma,floral,
20358,cherry,cherry,
20487,spicy,spicy,
20534,Spicy aroma??,spicy,
20745,grass,grass,
21003,minty aroma??,mint,
21057,butter,butter,
21265,Fruity aroma??????,fruity,
21596,fruity,fruity,
22201,potato-like,potato,
22310,Floral,floral,
22386,lemon,lemon,
22873,peach,peach,
23367,jasmine aroma??????,jasmine,
23368,Sweet oniony aroma,sweet;onion,
23535,Gardenia,gardenia,
24114,floral aroma??????,floral,
24117,pineapple,pineapple,
24197,winey-fruity,winey;fruity,
24433,floral aroma??????,floral,
24473,mint,mint,
24510,orangeblossom,orange blossom,
24513,citrus-floral,citrus;floral,
24585,camphor,camphoraceous,
24915,fruity aroma,fruity,
25125,Sweet,sweet,
25612,fruity,fruity,
25915,grass,grass,
25916,balsamic,balsamic,
26049,fruity aroma??,fruity,
26204, buttery,butter,
26332,potato-like,potato,
26447,mint,mint,
26630,fruity,fruity,
26808,baked potato,potato,
27208,sweet,sweet,
27209,coumarin-like aroma??,coumarin,
27457,potato-like,potato,
27458,baked potato,potato,
27866,rose,rose,
27867,mint,mint,
28905,nutty,nutty,
28906,vegetable,vegetable,
29025,mint,mint,
30247,lavender,lavender,
30771,sweet-fruity,sweet;fruity,
30914,popcorn,popcorn,
31209,grassy,grass,
31210,"honey, rose",honey;rose,
31219,floral aroma,floral,
31224,"balsamic, floral",balsamic;floral,
31231,NA,no aroma,
31244,mint,mint,
31249,fruity,fruity,
31252,potato-like,potato,
31253,balsamic,balsamic,
31265,apple,apple,
31268,NA,no aroma,
31271,Slight fatty aroma??,fatty,slightly
31272,fruity,fruity,
31278,fruity,fruity,
31289,fruity,fruity,
31353,Gardenia,gardenia,
32093,baked potato,potato,
33032,bread-like aroma??,bread,
33166,grass,grass,
33637,grassy,grass,
34645,mint,mint,
34752,Disagreeable rancid,disagreeable;rancid,
36822,Cheese,cheese,
39801,Flower,floral,
40923,fruity,fruity,
60985,rosy-fruity,rose;fruity,
60997,faint lily,lily,faint
60999,floral aroma,floral,
61007,vanilla,vanilla,
61014,musk-like,musky,
61015,fruity,fruity,
61016,melon-like,melon,
61040,bergamot-like aroma,bergamot,
61041,tobacco-herbaceous,tobacco;herbaceous,
61054,herbaceous,herbaceous,
61060,camphoraceous,camphoraceous,
61072,NA,no aroma,
61085,rosy-fruity aroma,rose;fruity,
61091,"fruity, floral",fruity;floral,
61097,NA,no aroma,
61098,fruity,fruity,
61123,camphoraceous,camphoraceous,
61126,balsamic,balsamic,
61130,spicy-herbaceous,spicy;herbaceous,
61134,NA,no aroma,
61137,apple-raspberry,apple;raspberry,
61151,floral,floral,
61155,woody,woody,
61185,fruity,fruity,
61200,bitter-almond,bitter;almond,
61202,floral aroma,floral,
61229,vanilla,vanilla,
61235,fruity,fruity,
61283,camphor,camphoraceous,
61284,camphoraceous aroma??,camphoraceous,
61319,apple/apricot,apple;apricot,
61337,fruity,fruity,
61346,mushroom,mushroom,
61359,woody,woody,
61361,herbaceous,herbaceous,
61375,Banana,banana,
61384,banana,banana,
61386,Fatty aroma,fatty,
61400,floral penetrating aroma,floral,penetrating
61401,floral,floral,
61402,"herbaceous, fruity-spicy",herbaceous;fruity;spicy,
61403,leafy aroma,leafy,
61408,fruity,fruity,
61410,pineapple,pineapple,
61416,honey,honey,
61418,camphoraceous aroma??????,camphoraceous,
61464,floral aroma,floral,
61527,nutty aroma,nutty,
61743,fruity,fruity,
61771,camphoraceous,camphoraceous,
61780,minty,mint,
61814,Almond,almond,
61875,orange,orange,
61918,potato,potato,
61954,fruity,fruity,
61983,orange,orange,
62017,"honey, floral, fruity",honey;floral;fruity,
62092,herbaceous,herbaceous,
62105,herbal like,herbaceous,
62183,Sweet oniony aroma,sweet;onion,
62333,winey,winey,
62348,vanilla,vanilla,
62362,Balsamic,balsamic,
62367,balsamic,balsamic,
62375,floral-almond odour,floral;almond,
62378,jasmine,jasmine,
62384,sweet,sweet,
62385,citrus,citrus,
62453,vanilla,vanilla,
62484,NA,no aroma,
62510,NA,no aroma,
62539,NA,no aroma,
62566,Woody aroma,woody,
62661,sweet,sweet,
62842,mouldy aroma??,moldy,
62876,leafy aroma,leafy,
62897,nutty,nutty,
62913,carmellic,caramellic,
64685,must,musty,
66600,carmellic buttery aroma??????,caramellic;butter,
67179,floral,floral,
68140,mint,mint,
68148,NA,no aroma,
68284,NA,no aroma,
68346,grass,grass,
68481,Spicy mint-like aroma??,spicy;mint,
68482,fruity aroma??????,fruity,
69320,nutty aroma??,nutty,
69346,creamy peach,creamy;peach,
70133,almond,almond,
70744,cheese,cheese,
71544,sweet floral,sweet;floral,
72300,Bitter aroma,bitter,
72607,balsamic,balsamic,
72662,peanut butter,peanut butter,
73114,herbaceous,herbaceous,
73174,NA,no aroma,
74008,herbaceous,herbaceous,
74096,fruity aroma,fruity,
74279,tobacco,tobacco,
74915,Sweet oniony aroma??,sweet;onion,
75699,mint,mint,
77652,burnt sugar,burnt sugar,
77743,pungent,pungent,
77756,Fruity,fruity,
77837,nutty aroma??,nutty,
77932,Sweet oniony aroma,sweet;onion,
78120,grass,grass,
79023,minty,mint,
79036,mint,mint,
79089,onion aroma??????,onion,
80046,Sweet oniony aroma,sweet;onion,
80790,carrot,carrot,
80960,floral aroma,floral,
81221,herbaceous aroma??,herbaceous,
81263,rose-like aroma??,rose,
81359,fruity aroma,fruity,
83655,sweet,sweet,
83763,grassy aroma??,grass,
84559,citrus-like aroma??????,citrus,
86753,Fruity,fruity,
87630,Fatty rosy aroma??,fatty;rose,
87632,fat,fatty,
89307,herbaceous,herbaceous,
90785,spice,spicy,
91354,fruity,fruity,
91457,sweet,sweet,
92139,herbaceous,herbaceous,
92573,apple,apple,
92649,minty??,mint,
92762,sweet,sweet,
92770,minty aroma,mint,
92776,"Fruit, spice",fruity;spicy,
92780,minty herbaceous??,mint;herbaceous,
92793,camphoraceous,camphoraceous,
93732,fruity aroma??????,fruity,
94060,lavander,lavender,
94314,sulphureous aroma??????,sulfurous,
94579,sweet fruity,sweet;fruity,
95086,Vanilla,vanilla,
95337,fruity,fruity,
95466,Fruity wine-like aroma,fruity;winey,
97897,camphoraceous aroma??????,camphoraceous,
98497,camphoraceous aroma??????,camphoraceous,
101115,herbaceous,herbaceous,
102667,balsamic,balsamic,
102861,NA,no aroma,
102993,fruity,fruity,
104513,vegetative aroma??,vegatable,
104620,Roasted burnt aroma??,roasted;burnt,
109467,fruity aroma??????,fruity,
109828,Fruity nutty aroma,fruity;nutty,
110747,Onion aroma,onion,
110801,camphoraceous aroma??????,camphoraceous,
111037,sweet,sweet,
118225,fruity aroma??,fruity,
121731,fruity aroma,fruity,
123233,clove-carnation aroma??????,cloves;carnation,
123935,Weak savoury aroma,savory,weak
125468,spicy aroma??????,spicy,
135215,NA,no aroma,
138508,buttery aroma,butter,
142266,fruity,fruity,
159055,camphoraceous aroma??,camphoraceous,
161475,Minty tea aroma??,minty tea,
164888,balsamic,balsamic,
169110,grassy aroma,grass,
170977,mouldy aroma??????,moldy,
181575,pungent herbaceous odour,pungent;herbaceous,
181747,citrusy aroma,citrus,
219672,spicy,spicy,
220010,onion,onion,
226486,meaty,meaty,
227829,balsamic,balsamic,
228588,Balsamic,balsamic,
229385,fatty,fatty,
229888,rose,rose,
230920,camphoraceous aroma??,camphoraceous,
231325,Sweet caramel aroma??????,sweet;caramellic,
232459,caraway,caraway,
243675,plum-like,plum,
243783,sweet,sweet,
246728,fruity,fruity,
248474,floral,floral,
249573,camphoraceous aroma??????,camphoraceous,
250096,rose,rose,
263034,nutty aroma??,nutty,
287439,Banana,banana,
329983,mint,mint,
380816,mint,mint,
439263,mint,mint,
439570,minty aroma??,mint,
439711,camphoraceous,camphoraceous,
440917,citrus,citrus,
441005,rancid,rancid,
441245,citrus,citrus,
443131,balsamic,balsamic,
443156,fruity,fruity,
443167,mint,mint,
443178,mint,mint,
443181,mint,mint,
444539,honey floral,honey;floral,
445070,Flower,floral,
517827,floral aroma??,floral,
518472,camphoraceous aroma??????,camphoraceous,
519539,herbaceous,herbaceous,
519764,sweet,sweet,
519857,green tea,green tea,
520108,popcorn-like aroma??,popcorn,
520191,nutty aroma,nutty,
520440,herbaceous,herbaceous,
520484,NA,no aroma,
520583,fruity,fruity,
520888,nutty,nutty,
520895,roasted aroma??????,roasted,
521246,NA,no aroma,
522458,Sulphureous aroma??????,sulfurous,
522514,terpineolic,terpineol,
525915,mint,mint,
526177,floral,floral,
526762,spicy aroma??????,spicy,
526853,roasted aroma,roasted,
527144,spicy,spicy,
527268,carrot like,carrot,
529251,Fishy aroma??????,fishy,
529253,red berry,red berry,
529304,Floral,floral,
529344,grassy green aroma,grass;green,
529345,leafy aroma,leafy,
529352,herbal green aroma,herbaceous;green,
538497,citrus,citrus,
543323,rose-like aroma,rose,
543664,NA,no aroma,
544628,NA,no aroma,
565594,camphoraceous aroma??,camphoraceous,
579675,Sweet balsamic aroma,sweet;balsamic,
586292,herbal like,herbaceous,
637511,cinnamon,cinnamon,
637520,strawberry,strawberry,
637563,aniseed,aniseed,
637564,citrus,citrus,
637566,rose,rose,
637759,floral,floral,
638014,fruity,fruity,
642376,spicy aroma,spicy,
643779,lemon,lemon,
643820,sweet,sweet,
764139,rose,rose,
853433,Flower,floral,
876160,clove-like aroma??,cloves,
929262,Woody aroma??,woody,
1549025,Floral,floral,
1549026,Flower,floral,
1549045,clove-carnation,cloves;carnation,
1549107,Flower,floral,
1549108,rose,rose,
1549109,Flower,floral,
1549778,rose,rose,
1549992,sweet,sweet,
1550884,floral,floral,
1550890,floral,floral,
1623625,jasmine??,jasmine,
1712058,jasmine??????,jasmine,
1742210,spicy aroma??????,spicy,
1757003,floral aroma??,floral,
2734646,spicy aroma??,spicy,
2736960,honey floral,honey;floral,
3033866,balsamic,balsamic,
3782139,NA,no aroma,
4120025,herbaceous,herbaceous,
4447651,Sweet,sweet,
5273465,floral aroma??????,floral,
5273469,NA,no aroma,
5280341,fruity aroma??????,fruity,
5280435,Floral,floral,
5280450,grass,grass,
5280678,citrus,citrus,
5280934,fruity,fruity,
5281167,grass,grass,
5281515,clove-like aroma,cloves,
5281516,Floral,floral,
5281517,fruity,fruity,
5281519,rose,rose,
5281520,spice,spicy,
5281532,sweet,sweet,
5281535,citrus,citrus,
5281553,grass,grass,
5282108,raspberry,raspberry,
5282109,rose,rose,
5282110,sweet,sweet,
5282707,sweet,sweet,
5282708,sweet,sweet,
5282714,butterscotch,butterscotch,
5282718,greasy,greasy,
5283316,fatty aroma,fatty,
5283345,citrus,citrus,
5283363,citus aroma??,citrus,
5284507,rose apple aroma,rose;apple,
5312586,fatty aroma,fatty,
5315892,floral,floral,
5315941,Musky aroma??,musky,
5316217,"Fruit, spice",fruity;spicy,
5317062,spice,spicy,
5317844,balsamic,balsamic,
5318042,waalnut,walnut,
5319022,NA,no aroma,
5320128,rose,rose,
5320191,vegetable,vegetable,
5320250,herbaceous,herbaceous,
5352147,lavender,lavender,
5352437,sweet,sweet,
5352456,herbaceous,herbaceous,
5352557,NA,no aroma,
5352653,coconut,coconut,
5352696,grass,grass,
5352899,spicy aroma,spicy,
5352905,spicy aroma??,spicy,
5353001,sweet aroma,sweet,
5354605,Fatty aroma,fatty,
5354882,rose,rose,
5354883,balsamic,balsamic,
5355152,fruity,fruity,
5355254,floral balsamic,floral;balsamic,
5355851,balsamic fruity,balsamic;fruity,
5355856,rose,rose,
5355858,Gardenia,gardenia,
5357002,rose,rose,
5357153,Almond,almond,
5362563,NA,no aroma,
5362572,Burnt meaty aroma,burnt;meaty,
5362584,sweet-rosey aroma,sweet;rose,
5362620,NA,no aroma,
5362889,grass,grass,
5363233,jasmine-like aroma??,jasmine,
5364533,NA,no aroma,
5364578,grass,grass,
5364729,fruity/green berry,fruity;green;berry,
5365622,fruity aroma,fruity,
5365703,musk,musky,
5365794,herbaceous,herbaceous,
5365872,pine apple,pine;apple,
5365890,minty,mint,
5365891,floral,floral,
5365916,balsamic,balsamic,
5365976,woody,woody,
5365992,pine apple,pine;apple,
5366074,apple,apple,
5366077,balsamic,balsamic,
5367530,spice,spicy,
5367665,Fatty aroma,fatty,
5367698,banana,banana,
5367706,woody-earthy,woody;earthy,
5367785,Flower,floral,
5367806,fruity aroma,fruity,
5368491,floral,floral,
5368821,grass,grass,
5369459,rose,rose,
5370602,Cocoa,cocoa,
5370646,camphor,camphoraceous,
5371002,NA,no aroma,
5372174,NA,no aroma,
5373727,rose,rose,
5373819,Flower,floral,
5374527,Tea,tea,
5375218,Flower,floral,
5385520,floral,floral,
5463840,almond,almond,
5463905,NA,no aroma,
5463906,floral aroma??????,floral,
5463910,sweet fruit odour,sweet;fruity,
5463911,floral,floral,
5463946,roasted aroma??,roasted,
5705112,spicy,spicy,
6005821,floral odour reminiscent of jasmine??????,floral;jasmine,
6086514,rose,rose,
6284401,cinnamon,cinnamon,
6365572,orange,orange,
6427475,spice,spicy,
6428461,herbaceous,herbaceous,
6428553,fat,fatty,
6428929,Fruity aroma??????,fruity,
6429077,spice,spicy,
6429375,raspberry,raspberry,
6430754,sweet,sweet,
6431475,citrus,citrus,
6431477,citrus,citrus,
6432254,flower,floral,
6432468,mint,mint,
6432473,minty aroma??,mint,
6432543,grass,grass,
6433214,mint,mint,
6433507,grassy,grass,
6435833,pineapple,pineapple,
6436486,fruity aroma??????,fruity,
6438070,jasmin,jasmine,
6441535,Balsamic,balsamic,
6450269,sweet,sweet,
6552009,camphoraceous aroma??????,camphoraceous,
6857383,mint,mint,
6857559,sweet,sweet,
6857681,sweet,sweet,
7058097,mint,mint,
9855795,grass,grass,
10104370,balsamic,balsamic,
10398656,oily,oily,
10608036,NA,no aroma,
10725569,milky,milky,
10726905,sweet,sweet,
10856614,sweet,sweet,
11196546,sweet aroma??????,sweet,
11276107,mint-like aroma??????,mint,
11572085,green aroma??????,green,
11830590,Fruity aroma??????,fruity,
11966264,sweet,sweet,
11976203,mint-like aroma,mint,
12205936,garlic-like,garlic,
12306048,oily,oily,
12309745,grass,grass,
12314318,balsamic,balsamic,
12315252,sweet,sweet,
12762300,fatty aroma??,fatty,
12956600,minty aroma??,mint,
13010742,pineapple,pineapple,
13428328,camphoraceous aroma??????,camphoraceous,
13918681,mint,mint,
14059042,sweet,sweet,
14344497,herbaceous aroma??,herbaceous,
15560252,balsamic,balsamic,
15560253,balsamic,balsamic,
15667721,garlic like aroma??,garlic,
15983960,grass,grass,
16204532,musty aroma,musty,
18373617,"sweet, floral",sweet;floral,
19352744,NA,no aroma,
19892555,fruity aroma??????,fruity,
20098061,peach/apricot,peach;apricot,
20327362,NA,no aroma,
20831821,sulfury aroma??????,sulfurous,
21149427,camphoraceous aroma??????,camphoraceous,
21289747,Bland aroma??,bland,
21651867,cherry,cherry,
21885377,nut-like aroma??,nutty,
22027117,Nutty aroma,nutty,
22235151,fruity,fruity,
23001441,NA,no aroma,
23617863,camphoraceous aroma??????,camphoraceous,
23623868,camphoraceous aroma??,camphoraceous,
24832090,camphoraceous aroma??????,camphoraceous,
24832102,"sweet, tenacious",sweet;tenacious,
25200724,pineapple aroma,pineapple,
40488241,mint,mint,
42608159,citrus,citrus,
44134911,rancid,rancid,
44390556,Sweet aroma??????,sweet,
45274957,fresh aroma,fresh,
53422473,fruity aroma,fruity,
53422899,sweet,sweet,
53423642,fruity aroma??,fruity,
54183030,sweet,sweet,
54421029,fruity,fruity,
56924101,minty,mint,
70678558,mint,mint,
71586808,citrus,citrus,
71587038,green aroma,green,
71587277,coumarin-like aroma??,coumarin,
71587538,fruity,fruity,
71587848,herbaceous aroma,herbaceous,
71752927,vanilla,vanilla,
73555259,fruity aroma??????,fruity,
86575103,sweet,sweet,
90797532,nutty aroma,nutty,
90887773,fruity,fruity,
91187616,butter-sweet,butter;sweet,
91554343,spicy aroma??????,spicy,
91746537,fruity,fruity,
91747196,citrus,citrus,
91748522,fruity,fruity,
