smiles,regression_binding_score
C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,4.81
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,4.59
C#CCCCOC(=O)C1CC(OC(C)=O)C(=O)C2C1(C)CCC1C(=O)OC(c3ccoc3)CC12C,6.68
C#CCN1CN(c2ccccc2)C2(CCN(C(c3ccccc3)c3ccccc3)CC2)C1=O,5.9
C#Cc1occc1C1CC2(C)C(CCC3(C)C(C(=O)OC)CC(OC(C)=O)C(=O)C32)C(=O)O1,10.72
C(=Cc1ccccc1)CSc1nnc(-c2ccccn2)n1Cc1ccco1,5.57
C1=C(c2ccccc2)c2ccccc2OC12CCNCC2,5.47
C1C2C3CC4C2C(NCC25C6C7C8C6C2C8C75)C2C1C3C42,6.09
C1CCC(C2CN3C(=NCC3C3CCCCC3)N2CCC2CC3CCC2C3)CC1,6.265000000000001
C1CCC(CCCN2C3=NCC(C4CCCCC4)N3CC2C2CCCCC2)CC1,5.35
C=C(C)C(=O)OC1CC(C(=O)OC)C2(C)CCC3C(=O)OC(c4ccoc4)CC3(C)C2C1=O,7.43
C=C(C)CC(=O)OC1CC(C(=O)OC)C2(C)CCC3C(=O)OC(c4ccoc4)CC3(C)C2C1=O,7.91
C=C(C)CN1CCC23c4c5ccc(O)c4OC2C(=O)C(=Cc2ccccc2)CC3(O)C1C5,5.35
C=C(C)CN1CCC23c4c5ccc(O)c4OC2C(=O)C2(Cc4ccccc4C2)CC3(O)C1C5,6.0
C=C(C)CN1CCC23c4c5ccc(O)c4OC2c2[nH]c4ccccc4c2CC3(O)C1C5,5.42
C=C(C)CN1CCC23c4c5ccc(O)c4OC2c2[nH]ncc2CC3(O)C1C5,7.42
C=C(C)CN1CCC23c4c5ccc(O)c4OC2c2oc4ccccc4c2CC3(O)C1C5,6.24
C=C(C)CN1CCC23c4c5ccc(OC)c4OC2c2[nH]ncc2CC3(O)C1C5,5.51
C=C1C2CCCC1(c1cccc(O)c1)CCN2CCc1ccccc1,8.469999999999999
C=C1CC23CCN(CC4CC4)C(Cc4ccc(OC)cc42)C3C2CC12,8.66
