smiles,regression_binding_score
C#CCCCC(=O)OCC(CO)OCCCCC=CCC=CCC=CCC=CCCCCC,7.07
C#CCn1c(C)c(C(C)(C)C)sc1=NS(=O)(=O)c1ccccc1,6.68
C#Cc1ccc2c(c1)c(=O)c(C(=O)NC13CC4CC(CC(C4)C1)C3)cn2CCCCC,8.06
C(=C1C=C(CCN2CCOCC2)c2ccccc21)c1cccc2ccccc12,7.725
C=C(C)C1CCC(C)=CC1c1c(O)cc(-c2ccc(C)cc2)cc1O,6.43
C=C(C)C1CCC(C)=CC1c1c(O)cc(-c2cccc3ccccc23)cc1O,6.65
C=C(C)C1CCC(C)=CC1c1c(O)cc(C2(C#N)CCCC2)cc1O,6.98
C=C(C)C1CCC(C)=CC1c1c(O)cc(C2(C#N)CCCCC2)cc1O,6.96
C=C(C)C1CCC(C)=CC1c1c(O)cc(C2(CCCCCC)CC2)cc1O,7.0
C=C(C)C1CCC(C)=CC1c1c(O)cc(C2(CCCCCC)SCCS2)cc1O,7.3
C=C(C)C1CCC(C)=CC1c1c(O)cc(CCCCC)cc1O,5.955
C=C(CCCCCC)c1cc(O)c2c(c1)OC(C)(C)C1CC=C(C)CC21,8.48
C=C1CCC2C(C1)c1c(O)cc(C(C)(C)CCCCCC)cc1OC2(C)C,9.24
C=C1CCC2C(C1)c1c(OC)cc(C(C)(C)CCCCCC)cc1OC2(C)C,7.78
C=C1CCC2C(c3c(O)cc(CCCCC)cc3OC2(C)C)C1O,6.89
C=C1CCC=CCCC2C1CC2(C)C,6.11
C=CCCN1C(=O)C(=CNC(C)(C)C)C(=O)c2cccc(C)c21,7.12
C=CCCN1C(=O)C(=CNC2CCCCC2)C(=O)c2cccc(C)c21,6.13
C=CCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c2cc(-c3ccco3)ccc21,8.36
C=CCCn1cc(CC(=O)NC23CC4CC(CC(C4)C2)C3)c2cc(-c3ccccc3)ccc21,7.75
C=CCN(CC=C)c1nc2n(CCCCC)cc(C(=O)NC34CC5CC(CC(C5)C3)C4)c(=O)n2n1,6.8
C=CCN(CC=C)c1nc2n(CCCCC)cc(C(=O)NC3CCCCC3)c(=O)n2n1,5.87
C=CCN(Cc1ccc(N(CC)CC)cc1)S(=O)(=O)c1ccc(C)cc1,7.18
C=CCN1Cc2c(n(S(=O)(=O)CC)c3ccc(C(=O)N4CCC(C)CC4)cc23)C1,8.86
C=CCNC(=O)CCCCCCCCCCOc1cc(O)cc(CCCCC)c1,7.79
C=CCNC(=O)CCCCCCCOc1cc(O)cc(C(C)(C)CCCCCC)c1,7.74
C=CCNCCCCCCCCCCCOc1cc(O)cc(CCCCC)c1,5.73
C=CCc1ccc(CN(Cc2ccccc2)S(=O)(=O)c2ccc(C)cc2)cc1,6.89
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,5.66
C=CCc1ccc(O)c(-c2ccc(O)c(CC=C)c2)c1,5.25
C=CCc1ccc(O)c(-c2ccc(OC)c(CC=C)c2)c1,7.36
C=CCc1ccc(O)c(-c2ccc(OCCCC)c(CC=C)c2)c1,6.99
C=CCc1ccc(OC)c(-c2ccc(OC)c(CC=C)c2)c1,5.86
C=CCc1ccc(OCCCC)c(-c2ccc(OCCCC)c(CC=C)c2)c1,5.75
C=CCn1c(C)c(C(C)(C)C)sc1=NS(=O)(=O)c1ccccc1,7.13
C=CCn1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)CN(C1CCCC1)C2,7.97
C=CCn1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)CN(CC1CC1)CC2,7.85
C=CCn1cc(C(=O)C(=O)NC23CC4CC(CC(C4)C2)C3)c2cc(-c3ccccc3)ccc21,7.6
C=CCn1cc(C(=O)C(=O)NC23CC4CC(CC(C4)C2)C3)c2cc(-c3ccco3)ccc21,7.99
C=CCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c2c(OC)ccc(OC)c21,8.04
C=CCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c2cc(-c3ccco3)ccc21,7.23
C=CCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c2cc(-c3ccc(O)cc3)ccc21,7.65
C=CCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c2cc(-c3ccccc3)ccc21,8.74
C=CCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c2cc(-c3ccco3)ccc21,8.24
C=CCn1cc(C(=O)NC2CCCCC2)c(=O)c2c(C)nn(C)c21,6.23
C=CCn1cc(CC(=O)NC23CC4CC(CC(C4)C2)C3)c2cc(-c3ccccc3)ccc21,7.3
C=CCn1cc(CC(=O)NC23CC4CC(CC(C4)C2)C3)c2cc(-c3ccco3)ccc21,7.3
C=CCn1cc(CC(=O)NC2CCCCC2)c2cc(OCc3cccc(OC)c3)ccc21,6.4
