smiles,regression_binding_score
C#CC(C#C)=C1CCC(N(CCC)CCC)CC1,4.92
C#CC1=CCC(N(CCC)CCC)CC1,5.84
C#CC1=CCC(N(CCC)CCCCNC(=O)c2cc3ccccc3s2)CC1,7.94
C#CC1=CCC(N(CCC)CCCCNC(=O)c2cc3ccccn3n2)CC1,7.375
C#CC1=CCC(N(CCC)CCCCNC(=O)c2ccc(-c3ccccc3)cc2)CC1,7.413333333333333
C#CC1=CCC(N(CCC)CCCCNC(=O)c2cnn3ccccc23)CC1,8.395
C#CC1=CCC(N(CCC)CCCCn2cc(-c3ccc(-c4ccccc4)cc3)nn2)CC1,6.5
C#CCN(CCCCN1CCN(c2ccccc2)CC1)C1CCc2ccc(O)cc2C1,7.33
C#CCN(CCN1CCN(c2ccccc2)CC1)C1CCc2ccc(O)cc2C1,6.61
C#CCN1CCCC(c2cccc(C#N)c2)C1,5.93
C#Cc1c[nH]c(CN2CCN(c3ccccc3)CC2)c1,6.18
C#Cc1cc(C(=O)NC2CCN(Cc3ccccc3)C2)c(OC)c2ccccc12,6.45
C#Cc1cc(CN2CCN(c3ccccc3OC)CC2)c2cccccc1-2,7.07
C#Cc1ccc(C(=O)NCCCCN2CCN(c3ccccc3OC)CC2)cc1,6.7
C#Cc1ccc2c(c1)CCN(CCCCN1CCN(c3ccccc3OC)CC1)C2=O,7.84
C#Cc1ccc2cc(C(=O)NCCCCN3CCN(c4ccccc4OC)CC3)sc2c1,6.7
C#Cc1ccc2sc(C(=O)NCCCCN3CCN(c4ccccc4OC)CC3)cc2c1,6.39
C#Cc1cccc(C(=O)NCCCCN2CCN(c3ccccc3OC)CC2)c1,6.98
C#Cc1cccn1C1CCN(Cc2ccccc2)CC1,5.19
C(#Cc1c[nH]c(CN2CCN(c3ccccc3)CC2)c1)c1ccccc1,6.19
C(#Cc1ccccc1)COC1CCN(CCc2ccccc2)CC1,5.87
C(#Cc1ccccc1)COCCC1CCN(CCc2ccccc2)CC1,6.88
C(#Cc1cccn1C1CCN(Cc2ccccc2)CC1)c1ccccc1,5.04
C(#Cc1cccnc1)CCN1CC=C(c2ccccc2)CC1,8.77
C(#Cc1ccncc1)CCN1CC=C(c2ccccc2)CC1,9.0
C(=Cc1ccccc1)C1=CCN(CCc2c[nH]c3ncccc23)CC1,6.55
C(=Cc1ccccc1)C1=CCN(CCc2cc3cccnc3[nH]2)CC1,5.89
C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,6.11
C(=Cc1ccccc1)COCC1CCN(CCCc2ccccc2)CC1,6.02
C(=Cc1ccccc1)COCC1CCN(CCc2ccccc2)CC1,6.62
C(COCC1CCN(Cc2ccccc2)CC1)=C(c1ccccc1)c1ccccc1,6.21
C1=C(c2c[nH]c3ccccc23)CCNC1,6.7
C1=C(c2ccccc2)CCN(CC2CCC=C(c3ccccc3)C2)C1,7.75
C1=C(c2ccccc2)CCN(CCC2CCC(Nc3ncccn3)CC2)C1,8.33
C1=C(c2ccccc2)CCN(CCc2c[nH]c3ncccc23)C1,7.68
C1=C(c2ccccc2)CCN(Cc2cn(-c3ccccc3)nn2)C1,6.81
C1=C(c2ccccc2)CCN(Cc2cnn(-c3ccccc3)c2)C1,7.89
C1=C(c2nc3ccccc3[nH]2)CCN(Cc2ccccc2)C1,5.85
C1=C(c2nc3ccccc3o2)CCN(Cc2ccccc2)C1,6.62
C1=C(c2nc3ccccc3s2)CCN(Cc2ccccc2)C1,6.22
C1C2C3CC4C2C(NCC25C6C7C8C6C2C8C75)C2C1C3C42,5.25
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CCCC)CC(O)C(C)C1O,5.3
C=C1c2ccccc2C=C(C2=CCN(C)CC2)c2ccccc21,6.6
C=C1c2ccccc2C=C(N2CCN(C)CC2)c2ccccc21,7.24
C=CCN(CC=C)CCc1c[nH]c2ccc(C)cc12,5.29
C=CCN1CC2CC2(c2ccc(NS(=O)(=O)c3ccc(C(C)C)cc3)cc2)C1,7.2
C=CCN1CCC2Cc3c(O)cccc3CC21,7.907499999999999
C=CCN1CCC2c3c(O)cccc3CCC21,7.21
