Stimulus,Labels
173,"['green', 'fruity', 'ethereal', 'apple', 'winey', 'plum']"
174,"['buttery', 'fruity', 'caramelic']"
175,"['green', 'floral', 'fruity', 'caramelic']"
176,"['herbaceous', 'floral', 'spicy', 'ambre']"
177,"['fruity', 'pineapple', 'winey', 'herbaceous', 'floral']"
178,"['caramelic', 'winey']"
179,"['fruity', 'caramelic', 'floral']"
180,"['herbaceous', 'winey', 'floral']"
181,"['leafy', 'green', 'fatty']"
182,"['citrus', 'waxy', 'fruity', 'banana', 'peachy']"
183,"['oily', 'green', 'fruity']"
184,"['green', 'fruity', 'banana']"
185,"['oily', 'green']"
186,"['oily', 'herbaceous', 'green', 'woody']"
187,"['oily', 'floral', 'herbaceous', 'green']"
188,"['fruity', 'winey', 'ethereal', 'caramelic']"
189,"['fatty', 'fruity', 'apricot', 'orange']"
190,"['oily', 'winey']"
191,"['oily', 'fatty']"
192,"['winey', 'caramelic']"
193,"['fruity', 'green', 'herbaceous']"
194,"['sulfuraceous', 'gassy']"
195,"['ethereal', 'fruity', 'apple', 'pineapple']"
196,"['fruity', 'green', 'berry', 'caramelic']"
197,['waxy']
198,"['ethereal', 'fruity', 'musty']"
199,"['ethereal', 'fruity']"
200,"['nutty', 'oily', 'fruity', 'apricot', 'floral', 'rose']"
201,"['green', 'fatty', 'oily']"
202,['oily']
203,[]
204,"['green', 'gassy']"
205,"['phenolic', 'medicinal', 'leather']"
206,"['green', 'fruity']"
207,"['fruity', 'green', 'woody']"
208,"['musk', 'animal', 'fruity', 'balsamic']"
209,"['earthy', 'floral', 'camphor', 'rose', 'hyacinth']"
210,"['rose', 'hyacinth', 'earthy', 'green']"
211,"['floral', 'hay', 'herbaceous']"
212,[]
213,"['fruity', 'apricot', 'pineapple']"
214,"['herbaceous', 'green', 'spicy']"
215,"['herbaceous', 'floral', 'tobacco', 'animal']"
216,"['floral', 'animal']"
217,"['ethereal', 'caramelic', 'fruity', 'floral']"
218,"['herbaceous', 'green', 'floral', 'woody', 'earthy']"
219,"['waxy', 'fatty']"
220,[]
221,"['aromatic', 'berry', 'grape', 'winey']"
222,"['brandy', 'fruity']"
223,"['woody', 'camphor']"
224,"['aromatic', 'herbaceous']"
225,"['herbaceous', 'winey']"
226,"['oily', 'rose', 'brandy']"
227,"['fatty', 'green', 'oily', 'fruity', 'apricot', 'floral', 'rose', 'brandy', 'winey', 'herbaceous']"
228,"['fruity', 'ethereal', 'apple']"
229,"['fruity', 'apple']"
230,"['balsamic', 'animal', 'floral']"
231,"['earthy', 'buttery', 'herbaceous', 'rose', 'hay']"
232,"['herbaceous', 'fruity', 'minty', 'buttery', 'citrus', 'geranium', 'rose']"
233,"['fruity', 'herbaceous', 'hay']"
234,[]
235,[]
236,"['herbaceous', 'anisic']"
237,['herbaceous']
238,"['spicy', 'caramelic', 'acid']"
239,"['herbaceous', 'tobacco']"
240,[]
241,"['floral', 'hay']"
242,[]
243,"['green', 'floral', 'lilac', 'hyacinth']"
244,"['floral', 'fruity', 'peachy']"
245,[]
246,['anisic']
247,"['fruity', 'floral', 'balsamic', 'vanillin', 'plum', 'lilac']"
248,"['floral', 'fruity', 'berry', 'powdery']"
249,"['floral', 'lilac', 'vanillin', 'balsamic']"
250,"['balsamic', 'floral']"
251,"['almondy', 'floral']"
252,"['floral', 'fruity', 'plum']"
253,"['floral', 'fruity']"
254,"['herbaceous', 'green', 'musty', 'vanillin', 'floral']"
255,"['fruity', 'peachy', 'apricot']"
256,"['floral', 'creamy']"
257,"['fruity', 'herbaceous', 'mimosa', 'honey']"
258,"['balsamic', 'rose', 'honey', 'floral', 'fruity']"
259,"['fruity', 'floral', 'vanillin']"
260,"['fruity', 'apricot']"
261,['herbaceous']
262,"['herbaceous', 'earthy']"
263,"['green', 'herbaceous', 'minty', 'woody']"
264,[]
265,"['herbaceous', 'minty']"
266,[]
267,"['woody', 'animal']"
268,['almondy']
269,"['green', 'almondy', 'herbaceous']"
270,"['herbaceous', 'floral']"
271,"['green', 'nut', 'almondy']"
272,[]
273,['almondy']
274,[]
275,"['musty', 'rose']"
276,[]
277,[]
278,['gassy']
279,[]
280,"['powdery', 'rose', 'geranium', 'metallic']"
281,['buttery']
282,['medicinal']
283,"['balsamic', 'vanillin']"
284,"['balsamic', 'spicy']"
285,"['balsamic', 'vanillin']"
286,"['floral', 'fruity', 'jasmin', 'lily']"
287,"['balsamic', 'herbaceous', 'fruity', 'ambre']"
288,"['floral', 'green']"
289,"['balsamic', 'floral']"
290,[]
291,"['floral', 'citrus']"
292,"['balsamic', 'floral']"
293,"['fruity', 'floral', 'plum']"
294,"['fruity', 'floral']"
295,['balsamic']
296,"['fatty', 'waxy', 'floral']"
297,"['fruity', 'green', 'apricot', 'floral']"
298,"['fruity', 'peachy', 'apricot', 'herbaceous', 'fatty']"
299,"['balsamic', 'floral']"
300,['rose']
301,"['herbaceous', 'spicy']"
302,"['herbaceous', 'green', 'floral']"
303,"['floral', 'jasmin', 'orange-blossom']"
304,[]
305,"['herbaceous', 'ethereal', 'fruity', 'spicy']"
306,"['fruity', 'plum', 'minty', 'herbaceous']"
307,['caramelic']
308,"['floral', 'fruity']"
309,['balsamic']
310,"['oily', 'herbaceous', 'earthy', 'fruity']"
311,"['spicy', 'hay']"
312,"['rose', 'balsamic', 'floral']"
313,"['floral', 'spicy', 'balsamic', 'rose']"
314,"['fruity', 'green', 'herbaceous', 'earthy', 'floral']"
315,[]
316,"['oily', 'green', 'floral']"
317,"['herbaceous', 'fruity']"
318,"['creamy', 'floral']"
319,"['floral', 'balsamic', 'herbaceous']"
320,"['oily', 'spicy', 'balsamic']"
321,"['fruity', 'berry']"
322,"['creamy', 'floral', 'balsamic', 'spicy']"
323,"['floral', 'earthy', 'mushroom']"
324,['fatty']
325,[]
326,"['herbaceous', 'rose']"
327,"['floral', 'hyacinth', 'green']"
328,"['fruity', 'floral', 'balsamic']"
329,"['jasmin', 'floral', 'fruity']"
330,[]
331,"['balsamic', 'fatty']"
332,"['honey', 'floral']"
333,"['nut', 'fruity', 'oily']"
334,"['floral', 'orris']"
335,"['floral', 'green']"
336,"['floral', 'almondy']"
337,"['floral', 'earthy', 'mossy', 'green', 'rose']"
338,"['fruity', 'floral', 'jasmin']"
339,"['green', 'herbaceous']"
340,"['floral', 'balsamic', 'musky', 'herbaceous']"
341,[]
342,"['green', 'herbaceous']"
343,[]
344,"['mushroom', 'rose']"
345,"['fruity', 'musky', 'animal', 'floral']"
346,"['fruity', 'herbaceous', 'musky', 'tobacco']"
347,"['medicinal', 'spicy', 'leathery', 'smoky', 'woody', 'tea']"
348,"['spicy', 'balsamic']"
349,['floral']
350,"['camphor', 'woody', 'peppery']"
351,"['woody', 'camphor', 'peppery']"
352,"['camphor', 'woody']"
353,"['herbaceous', 'piney', 'balsamic']"
354,"['oily', 'piney', 'balsamic', 'camphor']"
355,"['piney', 'balsamic']"
356,"['fruity', 'herbaceous', 'woody', 'mossy']"
357,"['earthy', 'nut', 'camphor']"
358,"['green', 'earthy', 'piney']"
359,"['green', 'earthy', 'herbaceous', 'camphor', 'piney', 'nut']"
360,"['woody', 'musty', 'sandalwood']"
361,[]
362,"['herbaceous', 'piney', 'fruity']"
363,"['fruity', 'herbaceous']"
364,['powdery']
365,"['fruity', 'herbaceous', 'camphor', 'piney']"
366,"['herbaceous', 'earthy', 'green']"
367,[]
368,"['herbaceous', 'camphor', 'green', 'woody']"
369,"['berry', 'citrus']"
370,"['gassy', 'floral', 'hyacinth']"
371,"['floral', 'gassy', 'hyacinth', 'green']"
372,['ethereal']
373,"['gassy', 'floral']"
374,"['green', 'floral', 'woody']"
375,"['floral', 'woody', 'winey', 'waxy']"
376,"['herbaceous', 'floral']"
377,"['herbaceous', 'balsamic', 'anisic', 'woody']"
378,"['green', 'floral', 'woody']"
379,"['gassy', 'green', 'earthy', 'floral']"
380,[]
381,[]
382,"['ethereal', 'fruity', 'pear', 'banana', 'berry']"
383,"['ethereal', 'fruity']"
384,"['winey', 'brandy', 'fruity']"
385,[]
386,"['woody', 'hay']"
387,"['balsamic', 'floral', 'herbaceous']"
388,"['oily', 'green']"
389,['winey']
390,[]
391,['oily']
392,"['camphor', 'minty']"
393,"['woody', 'green', 'oily', 'minty', 'earthy', 'rooty']"
394,['camphor']
395,"['herbaceous', 'winey', 'caramelic']"
396,"['herbaceous', 'winey', 'fruity']"
397,"['floral', 'mimosa']"
398,"['fruity', 'woody', 'floral', 'mimosa', 'banana']"
399,"['woody', 'floral', 'camphor']"
400,"['fruity', 'floral', 'orange-blossom']"
401,"['fruity', 'floral']"
402,"['herbaceous', 'spicy']"
403,"['floral', 'balsamic', 'woody', 'spicy']"
404,"['orris', 'green', 'rose', 'balsamic']"
405,"['camphor', 'earthy', 'aromatic']"
406,"['woody', 'sandalwood']"
407,"['green', 'floral', 'herbaceous']"
408,"['floral', 'fruity', 'green']"
409,"['floral', 'rose', 'geranium', 'metallic']"
410,"['floral', 'fruity', 'rose']"
411,"['herbaceous', 'spicy', 'woody']"
412,"['fruity', 'banana', 'pineapple']"
413,"['fruity', 'apple', 'banana', 'pineapple']"
414,"['ethereal', 'fruity', 'pear', 'pineapple', 'banana']"
415,"['fruity', 'pineapple', 'ethereal']"
416,"['anisic', 'ambre']"
417,"['sour', 'fruity']"
418,"['oily', 'brandy', 'fruity']"
419,"['fruity', 'pineapple']"
420,"['winey', 'fruity', 'pineapple']"
421,[]
422,"['herbaceous', 'woody', 'fruity', 'oily', 'winey']"
423,"['oily', 'balsamic', 'fruity', 'floral']"
424,"['herbaceous', 'balsamic', 'fruity', 'ambre']"
425,"['green', 'oily', 'herbaceous', 'floral']"
426,"['oily', 'fatty', 'herbaceous']"
427,"['waxy', 'fatty', 'floral', 'citrus']"
428,[]
429,"['woody', 'leathery']"
430,['leathery']
431,[]
432,"['camphor', 'piney', 'minty', 'tarry']"
433,"['woody', 'camphor', 'tarry', 'leathery']"
434,"['camphor', 'woody', 'musty']"
435,"['woody', 'camphor']"
436,"['camphor', 'minty', 'woody']"
437,"['fruity', 'berry']"
438,"['piney', 'woody', 'fruity', 'green']"
439,"['musty', 'leathery', 'woody', 'orris']"
440,"['creamy', 'woody', 'floral', 'orris']"
441,"['fruity', 'woody', 'orris']"
442,['fruity']
443,"['floral', 'woody', 'herbaceous']"
444,"['oily', 'fatty', 'fruity', 'peach', 'apricot', 'green']"
445,"['balsamic', 'floral']"
446,"['phenolic', 'woody', 'tarry']"
447,"['animal', 'woody']"
448,[]
449,['musky']
450,"['oily', 'winey']"
451,"['mossy', 'phenolic']"
452,['ethereal']
453,"['ethereal', 'berry']"
454,"['musty', 'floral', 'herbaceous', 'green']"
455,"['floral', 'herbaceous']"
456,"['brandy', 'woody', 'ethereal']"
457,"['fruity', 'winey', 'brandy', 'woody']"
458,"['brandy', 'woody']"
459,"['winey', 'brandy', 'woody']"
460,"['fatty', 'green', 'floral', 'fruity']"
461,"['violet', 'green', 'fatty']"
462,"['fruity', 'green', 'apple']"
463,"['fruity', 'winey', 'green']"
464,"['green', 'buttery', 'metallic']"
465,"['green', 'woody', 'floral', 'metallic']"
466,"['aromatic', 'woody', 'fruity']"
467,"['oily', 'fruity', 'herbaceous', 'winey', 'orange']"
468,"['root', 'musky', 'ambre', 'earthy', 'nut']"
469,['phenolic']
470,[]
471,[]
472,['green']
473,[]
474,"['caramelic', 'winey']"
475,"['herbaceous', 'rooty']"
476,"['herbaceous', 'spicy']"
477,['floral']
478,[]
479,"['fruity', 'winey', 'caramelic']"
480,['fruity']
481,"['buttery', 'fruity', 'caramelic']"
482,['oily']
483,"['caramelic', 'fruity', 'herbaceous']"
484,"['fruity', 'floral', 'woody']"
485,"['fruity', 'floral', 'apple']"
486,['winey']
487,"['ethereal', 'winey', 'fruity']"
488,['sulfuraceous']
489,"['gassy', 'ethereal', 'herbaceous', 'winey']"
490,"['woody', 'floral']"
491,"['musty', 'herbaceous']"
492,['herbaceous']
493,"['floral', 'fruity', 'grape']"
494,"['green', 'leafy', 'gassy']"
495,"['floral', 'green', 'lily', 'balsamic']"
496,"['floral', 'green']"
497,['sandalwood']
498,"['oily', 'fatty']"
499,"['mushroom', 'tobacco']"
500,['oily']
501,"['fruity', 'winey']"
502,"['oily', 'rose', 'fruity', 'apple', 'orange', 'apricot']"
503,"['floral', 'waxy']"
504,"['leathery', 'phenolic']"
505,"['herbaceous', 'honey']"
506,"['floral', 'green', 'woody']"
507,"['rose', 'honey', 'animal']"
508,['anisic']
509,"['musty', 'fruity']"
510,"['leafy', 'rose', 'musky', 'waxy', 'narcissus', 'animal', 'honey']"
511,"['floral', 'green', 'woody', 'orris']"
512,"['floral', 'woody']"
513,"['woody', 'fruity', 'green']"
514,"['metallic', 'anisic']"
515,"['floral', 'fruity', 'balsamic', 'animal', 'berry', 'rose', 'lily']"
516,[]
517,"['spicy', 'herbaceous']"
518,"['balsamic', 'floral']"
519,['ethereal']
520,"['ethereal', 'fruity']"
521,['floral']
522,"['green', 'woody', 'tobacco']"
523,"['woody', 'earthy', 'mossy', 'spicy', 'ambre']"
524,"['earthy', 'tarry', 'mossy', 'root']"
525,"['tobacco', 'floral']"
526,['tobacco']
527,"['earthy', 'spicy', 'woody']"
528,['oily']
529,"['herbaceous', 'floral']"
530,"['herbaceous', 'floral']"
531,['musky']
532,"['fatty', 'fruity']"
533,['musky']
534,[]
535,"['musky', 'woody', 'camphor', 'sandalwood']"
536,['green']
537,['green']
538,['green']
539,['fruity']
540,"['herbaceous', 'gassy', 'ethereal']"
541,"['buttery', 'fatty', 'winey', 'brandy']"
542,"['ethereal', 'fruity']"
543,[]
544,"['ethereal', 'fruity', 'apple']"
545,"['fruity', 'ethereal', 'apple', 'berry']"
546,"['tarry', 'leathery']"
547,"['fruity', 'banana', 'green']"
548,"['sour', 'fruity', 'banana']"
549,['sour']
550,"['sour', 'acid', 'buttery', 'fruity']"
551,[]
552,['aromatic']
553,"['buttery', 'creamy', 'nut', 'herbaceous']"
554,"['woody', 'floral', 'mimosa', 'oily']"
555,['musk']
556,"['ethereal', 'creamy', 'caramelic']"
557,"['woody', 'medicinal', 'tarry', 'spicy']"
558,[]
559,[]
560,[]
561,[]
562,"['oily', 'camphor']"
563,"['woody', 'sandalwood']"
564,"['green', 'woody']"
565,"['minty', 'ethereal']"
566,"['sandalwood', 'balsamic']"
567,['herbaceous']
568,"['ethereal', 'sulfuraceous', 'herbaceous', 'green']"
569,['leathery']
570,[]
571,['herbaceous']
572,[]
573,"['medicinal', 'phenolic', 'herbaceous', 'spicy', 'tarry']"
574,['aromatic']
575,"['herbaceous', 'woody', 'medicinal']"
576,"['spicy', 'herbaceous']"
577,"['green', 'spicy']"
578,['minty']
579,"['herbaceous', 'spicy', 'floral']"
580,"['herbaceous', 'spicy', 'floral', 'minty']"
581,"['herbaceous', 'spicy']"
582,"['green', 'minty', 'metallic']"
583,"['minty', 'herbaceous', 'fruity']"
584,"['woody', 'spicy']"
585,"['fruity', 'woody', 'green']"
586,"['earthy', 'mossy', 'spicy', 'minty', 'woody']"
587,['floral']
588,"['vanlilin', 'anisic']"
589,"['geranium', 'rose']"
590,"['rose', 'geranium']"
591,"['floral', 'anisic']"
592,"['floral', 'herbaceous', 'jasmin']"
593,"['woody', 'camphor', 'green']"
594,['woody']
595,"['woody', 'balsamic']"
596,['woody']
597,['woody']
598,['balsamic']
599,"['woody', 'green']"
600,"['woody', 'green']"
601,['woody']
602,"['woody', 'green', 'ambre']"
603,"['woody', 'floral']"
604,[]
605,[]
606,"['tarry', 'medicinal', 'phenolic']"
607,"['fruity', 'jasmin']"
608,['musk']
609,['ethereal']
610,"['floral', 'hyacinth']"
611,"['phenolic', 'spicy', 'fruity', 'anisic', 'narcissus', 'lily']"
612,"['floral', 'hyacinth']"
613,['medicinal']
614,['phenolic']
615,['camphor']
616,['camphor']
617,"['honey', 'balsamic']"
618,"['hyacinth', 'rose']"
619,"['spicy', 'balsamic']"
620,"['green', 'spicy', 'oily']"
621,[]
622,"['green', 'spicy', 'herbaceous']"
623,['spicy']
624,"['spicy', 'orange-blossom']"
625,[]
626,"['balsamic', 'floral', 'fruity', 'spicy']"
627,"['fruity', 'floral', 'rose']"
628,"['spicy', 'balsamic', 'musk']"
629,"['fruity', 'balsamic', 'floral']"
630,"['fruity', 'balsamic', 'banana', 'plum']"
631,"['fruity', 'green', 'spicy', 'banana']"
632,"['balsamic', 'winey', 'oily', 'fruity']"
633,"['balsamic', 'floral']"
634,[]
635,"['spicy', 'balsamic']"
636,"['green', 'herbaceous', 'balsamic', 'fruity']"
637,"['green', 'woody', 'earthy', 'floral', 'balsamic', 'fruity', 'hyacinth']"
638,"['floral', 'herbaceous']"
639,"['floral', 'balsamic', 'green']"
640,"['honey', 'herbaceous', 'tobacco']"
641,"['spicy', 'oily', 'floral']"
642,"['fruity', 'oily', 'orris']"
643,"['herbaceous', 'floral']"
644,"['fruity', 'balsamic', 'floral', 'rose']"
645,"['balsamic', 'rose', 'floral']"
646,"['floral', 'herbaceous', 'green']"
647,"['floral', 'rose', 'green']"
648,"['floral', 'rose', 'balsamic', 'tobacco']"
649,['citrus']
650,"['floral', 'citrus', 'lily']"
651,"['green', 'citrus', 'oily', 'fruity']"
652,"['oily', 'green', 'citrus']"
653,"['fruity', 'rose']"
654,[]
655,"['orange-blossom', 'orange', 'grape']"
656,"['citrus', 'orange', 'oily', 'green']"
657,[]
658,"['green', 'citrus', 'woody', 'fruity']"
659,"['green', 'herbaceous']"
660,"['citrus', 'green']"
661,"['green', 'citrus', 'oily']"
662,['floral']
663,"['green', 'citrus', 'herbaceous']"
664,"['floral', 'jasmin']"
665,"['floral', 'orange', 'orange-blossom']"
666,"['green', 'oily']"
667,"['spicy', 'camphor']"
668,"['camphor', 'minty', 'herbaceous']"
669,"['rose', 'floral']"
670,"['rose', 'leafy', 'waxy']"
671,"['rose', 'fruity', 'geranium']"
672,"['floral', 'rose', 'fruity']"
673,"['rose', 'woody']"
674,"['fruity', 'rose', 'leafy']"
675,"['citrus', 'rose', 'fruity']"
676,"['musk', 'fruity', 'pear', 'peachy', 'musk']"
677,"['floral', 'fruity', 'apple', 'pear', 'pineapple', 'rose']"
678,"['floral', 'oily']"
679,"['herbaceous', 'green', 'rose', 'winey']"
680,"['floral', 'rose']"
681,"['rose', 'honey']"
682,"['green', 'leafy', 'oily', 'fruity']"
683,"['leafy', 'green', 'fruity', 'rose', 'geranium', 'honey']"
684,"['rose', 'green', 'honey']"
685,"['green', 'leafy', 'geranium', 'rose']"
686,['rose']
687,"['floral', 'rose']"
688,"['green', 'rose', 'lily']"
689,"['rose', 'oily']"
690,"['herbaceous', 'rose', 'waxy', 'honey']"
691,"['fruity', 'rose', 'berry']"
692,"['fruity', 'rose']"
693,"['leafy', 'rose', 'floral', 'balsamic', 'herbaceous']"
694,"['fruity', 'herbaceous', 'rose', 'tobacco', 'honey']"
695,"['rose', 'herbaceous', 'tobacco']"
696,"['green', 'rose', 'geranium']"
697,"['herbaceous', 'pear', 'citrus', 'rose']"
698,"['herbaceous', 'fruity', 'gassy']"
