"Comparison.number","Mixture.number","Mixture.number.1","Average.rated.similarity","Experiment"
2021,8,12,42.63,"Exp2"
2022,8,11,56.58,"Exp2"
2023,8,10,49.82,"Exp2"
2024,9,2,62.48,"Exp2"
2025,9,6,51.02,"Exp2"
2026,9,8,52.02,"Exp2"
2027,9,13,40.97,"Exp2"
2028,12,1,23.82,"Exp2"
2029,12,3,47.08,"Exp2"
2030,12,5,47.65,"Exp2"
2031,11,2,28.43,"Exp2"
2032,11,4,29.37,"Exp2"
2033,11,12,52.27,"Exp2"
2034,11,14,54.5,"Exp2"
2035,10,9,34.61,"Exp2"
2036,10,11,52.61,"Exp2"
2037,13,1,24.58,"Exp2"
2038,13,5,67.98,"Exp2"
2039,13,7,61.91,"Exp2"
2040,13,12,62.72,"Exp2"
2041,13,10,50.15,"Exp2"
2042,14,1,33.72,"Exp2"
2043,14,3,43.33,"Exp2"
2044,14,4,29.38,"Exp2"
2045,14,6,46.25,"Exp2"
2046,14,12,48.66,"Exp2"
2047,1,1,86.35,"Exp2"
2048,2,2,88.77,"Exp2"
2049,11,11,87.1,"Exp2"
2050,12,12,86.03,"Exp2"
2051,1,2,36.36,"Exp2"
2052,1,4,72.32,"Exp2"
2053,1,5,37.87,"Exp2"
2054,1,6,53.61,"Exp2"
2055,1,9,42.08,"Exp2"
2056,1,10,32.74,"Exp2"
2057,2,4,32.69,"Exp2"
2058,2,12,19.41,"Exp2"
2059,2,10,22.75,"Exp2"
2060,2,13,17.71,"Exp2"
2061,2,14,31.67,"Exp2"
2062,3,7,61.45,"Exp2"
2063,3,8,53.04,"Exp2"
2064,3,9,48.17,"Exp2"
2065,3,11,53.93,"Exp2"
2066,3,10,44.81,"Exp2"
2067,3,13,55.33,"Exp2"
2068,4,5,27.14,"Exp2"
2069,4,6,34.71,"Exp2"
2070,4,8,34.58,"Exp2"
2071,4,12,16.73,"Exp2"
2072,4,10,28.72,"Exp2"
2073,4,13,24.27,"Exp2"
2074,5,8,54.21,"Exp2"
2075,5,9,32.66,"Exp2"
2076,5,11,77.27,"Exp2"
2077,6,7,28.27,"Exp2"
2078,6,12,30.6,"Exp2"
2079,6,11,30.86,"Exp2"
2080,6,13,28.5,"Exp2"
2081,7,8,80.55,"Exp2"
2082,7,9,47.18,"Exp2"
2083,7,12,51.43,"Exp2"
2084,7,11,59.58,"Exp2"
2085,7,10,51.59,"Exp2"
2086,7,14,49.96,"Exp2"
2087,8,13,49.31,"Exp2"
2088,8,14,47.4,"Exp2"
2089,9,12,27.27,"Exp2"
2090,9,11,37.15,"Exp2"
2091,9,14,41.44,"Exp2"
2092,12,10,61.63,"Exp2"
2093,11,13,65.32,"Exp2"
2094,10,14,71.11,"Exp2"
2095,13,14,46.04,"Exp2"
2096,14,14,82.22,"Exp2"
2097,13,13,87.33,"Exp2"
2098,3,3,89.02,"Exp2"
2099,4,4,88.41,"Exp2"
2100,7,7,89.5,"Exp2"
