"CID","Dilution1","Intensity1","Dilution2","Intensity2","Dilution3","Intensity3","Experiment"
"5281515","100.00%",34.53,"",NA,"",NA,"Exp3"
NA,"0.00%",6.83,"",NA,"",NA,"Exp3"
"7731","100.00%",62.11,"",NA,"",NA,"Exp3"
"7749","100.00%",37.24,"",NA,"",NA,"Exp3"
"637563","100.00%",53.5,"",NA,"",NA,"Exp3"
"11002","10.00%",64.6,"",NA,"",NA,"Exp3"
"31266","100.00%",55.94,"",NA,"",NA,"Exp3"
"6184","100.00%",62.3,"",NA,"",NA,"Exp3"
"31276","100.00%",54.3,"",NA,"",NA,"Exp3"
"7685","100.00%",46.34,"",NA,"",NA,"Exp3"
"8130","100.00%",60.37,"",NA,"",NA,"Exp3"
"7519","100.00%",62.89,"",NA,"",NA,"Exp3"
"637511","100.00%",57.38,"",NA,"",NA,"Exp3"
"7966","100.00%",50.51,"",NA,"",NA,"Exp3"
"8797","100.00%",60.43,"",NA,"",NA,"Exp3"
"22201","100.00%",71.16,"",NA,"",NA,"Exp3"
"326","100.00%",62.78,"",NA,"",NA,"Exp3"
"31252","100.00%",65.23,"",NA,"",NA,"Exp3"
"8129","100.00%",48.1,"",NA,"",NA,"Exp3"
"7710","100.00%",47.39,"",NA,"",NA,"Exp3"
"3314","100.00%",62.39,"",NA,"",NA,"Exp3"
"7762","100.00%",73.02,"",NA,"",NA,"Exp3"
"7799","100.00%",72.4,"",NA,"",NA,"Exp4,5"
"1068","10.00%",41.1,"",NA,"",NA,"Exp4,5"
"6590","1.00%",13.83,"",NA,"",NA,"Exp4,5"
"31244","100.00%",69.47,"",NA,"",NA,"Exp4,5"
"1031","10.00%",27.67,"",NA,"",NA,"Exp4,5"
"176","10.00%",67.3,"",NA,"",NA,"Exp4,5"
"180","10.00%",14.53,"",NA,"",NA,"Exp4,5"
"3776","100.00%",25,"",NA,"",NA,"Exp4,5"
"7363","10.00%",76.67,"",NA,"",NA,"Exp4,5"
"7150","100.00%",76.63,"",NA,"",NA,"Exp4,5"
"14286","100.00%",75.67,"",NA,"",NA,"Exp4,5"
"61138","100.00%",50,"",NA,"",NA,"Exp4,5"
"8025","100.00%",10.8,"",NA,"",NA,"Exp4,5"
"19310","100.00%",75.03,"",NA,"",NA,"Exp4,5"
"6561","1.00%",22.3,"",NA,"",NA,"Exp4,5"
"7793","100.00%",66.97,"",NA,"",NA,"Exp4,5"
"443158","100.00%",66.73,"",NA,"",NA,"Exp4,5"
"264","10.00%",79.5,"",NA,"",NA,"Exp4,5"
"11552","10.00%",34.33,"",NA,"",NA,"Exp4,5"
"12020","100.00%",40.87,"",NA,"",NA,"Exp4,5"
"22386","100.00%",9.5,"",NA,"",NA,"Exp4,5"
"62336","100.00%",57.67,"",NA,"",NA,"Exp4,5"
"527","10.00%",64.53,"",NA,"",NA,"Exp4,5"
"263","100.00%",29.07,"",NA,"",NA,"Exp4,5"
"9609","10.00%",41.17,"",NA,"",NA,"Exp4,5"
"6584","100.00%",11.77,"",NA,"",NA,"Exp4,5"
"1032","10.00%",44.57,"",NA,"",NA,"Exp4,5"
"6569","100.00%",13.93,"",NA,"",NA,"Exp4,5"
"84682","100.00%",10.63,"",NA,"",NA,"Exp4,5"
"8063","100.00%",49.37,"",NA,"",NA,"Exp4,5"
"6276","100.00%",29.17,"",NA,"",NA,"Exp4,5"
"10448","1.00%",79.17,"",NA,"",NA,"Exp4,5"
"8857","100.00%",11.27,"",NA,"",NA,"Exp4,5"
"7895","100.00%",27.53,"",NA,"",NA,"Exp4,5"
"7284","100.00%",55.2,"",NA,"",NA,"Exp4,5"
"11173","100.00%",34.37,"",NA,"",NA,"Exp4,5"
"261","10.00%",47.8,"",NA,"",NA,"Exp4,5"
"5284503","100.00%",60.8,"",NA,"",NA,"Exp4,5"
"5318042","100.00%",74.9,"",NA,"",NA,"Exp4,5"
"8103","100.00%",66.13,"",NA,"",NA,"Exp4,5"
"637566","100.00%",76.87,"",NA,"",NA,"Exp4,5"
"638011","100.00%",82.53,"",NA,"",NA,"Exp4,5"
"637776","10.00%",39.9,"",NA,"",NA,"Exp4,5"
"10890","100.00%",77.07,"",NA,"",NA,"Exp4,5"
"24915","100.00%",57.07,"",NA,"",NA,"Exp4,5"
"31266","100.00%",68.67,"",NA,"",NA,"Exp4,5"
"6184","100.00%",54.6,"",NA,"",NA,"Exp4,5"
"3314","100.00%",71.53,"",NA,"",NA,"Exp4,5"
"8842","100.00%",75.73,"",NA,"",NA,"Exp4,5"
"10430","10.00%",81.13,"",NA,"",NA,"Exp4,5"
NA,"100.00%",13.37,"",NA,"",NA,"Exp4,5"
"263","10.00%",39.03,"0.01",35.58840976,"0.10%",26.06041628,"Exp6"
"325","10.00%",40.5,"0.01",17.60339881,"0.10%",27.9161592,"Exp6"
"326","10.00%",60.14,"0.01",29.19025135,"0.10%",19.89307166,"Exp6"
"342","10.00%",70.4,"0.01",68.00389921,"0.10%",50.41588799,"Exp6"
"660","10.00%",49.54,"0.01",37.0563855,"0.10%",24.28776633,"Exp6"
"999","10.00%",54.41,"0.01",36.90866468,"0.10%",19.60686256,"Exp6"
"1213","10.00%",36.53,"0.01",25.69111421,"0.10%",30.49204115,"Exp6"
"2758","10.00%",64.42,"0.01",52.41935174,"0.10%",54.27294424,"Exp6"
"3314","10.00%",58.29,"0.01",64.06159959,"0.10%",52.93637463,"Exp6"
"6106","10.00%",22.45,"0.01",21.47183802,"0.10%",20.0777227,"Exp6"
"6305","10.00%",65.93,"0.01",58.41127787,"0.10%",45.45800766,"Exp6"
"6501","10.00%",46.62,"0.01",43.14986971,"0.10%",40.18622057,"Exp6"
"6544","10.00%",51.59,"0.01",34.16659678,"0.10%",27.28834567,"Exp6"
"6997","10.00%",26.65,"0.01",15.34142361,"0.10%",16.75400404,"Exp6"
"7059","10.00%",38.83,"0.01",26.41125325,"0.10%",16.37546941,"Exp6"
"7128","10.00%",52.14,"0.01",25.45106786,"0.10%",19.98539718,"Exp6"
"7406","10.00%",68.09,"0.01",59.60227705,"0.10%",43.60226474,"Exp6"
"7519","10.00%",71.48,"0.01",57.22951123,"0.10%",37.8226873,"Exp6"
"7600","10.00%",41.19,"0.01",24.60167309,"0.10%",17.2987246,"Exp6"
"7655","10.00%",52.26,"0.01",37.16717612,"0.10%",22.86595335,"Exp6"
"7685","10.00%",53.43,"0.01",44.73786862,"0.10%",26.85441573,"Exp6"
"7710","10.00%",55.5,"0.01",49.27105157,"0.10%",35.62533997,"Exp6"
"7731","10.00%",68.99,"0.01",54.58900142,"0.10%",28.61783314,"Exp6"
"7749","10.00%",42.54,"0.01",34.62822437,"0.10%",51.47763145,"Exp6"
"7888","10.00%",37.27,"0.01",35.68996783,"0.10%",31.9600169,"Exp6"
"7966","10.00%",67.04,"0.01",41.73728927,"0.10%",35.95771184,"Exp6"
"8042","10.00%",28.77,"0.01",24.62722033,"0.10%",14.27968015,"Exp6"
"8129","10.00%",57.78,"0.01",66.78520237,"0.10%",27.78690347,"Exp6"
"8130","10.00%",56.63,"0.01",57.05409275,"0.10%",41.25719658,"Exp6"
"8174","10.00%",54.45,"0.01",33.76959705,"0.10%",22.93981376,"Exp6"
"8797","10.00%",70.14,"0.01",62.51976343,"0.10%",45.05177538,"Exp6"
"8892","10.00%",22.37,"0.01",17.53877095,"0.10%",16.96635274,"Exp6"
"9017","10.00%",50.94,"0.01",22.56127914,"0.10%",24.91557986,"Exp6"
"10882","10.00%",62.41,"0.01",50.09274868,"0.10%",41.3125919,"Exp6"
"10890","10.00%",58.47,"0.01",29.56878597,"0.10%",21.97039582,"Exp6"
"11002","10.00%",73.54,"0.01",64.8832967,"0.10%",35.32066576,"Exp6"
"12265","10.00%",50.77,"0.01",42.61692065,"0.10%",18.31581713,"Exp6"
"13187","10.00%",52.93,"0.01",16.06936416,"0.10%",21.23226484,"Exp6"
"16666","10.00%",37.68,"0.01",17.41723595,"0.10%",12.69574356,"Exp6"
"18458","10.00%",71.61,"0.01",59.01208618,"0.10%",30.24172359,"Exp6"
"19310","10.00%",70.42,"0.01",68.98318444,"0.10%",71.74986863,"Exp6"
"22201","10.00%",59.43,"0.01",19.56910142,"0.10%",39.70047293,"Exp6"
"24686","10.00%",69.19,"0.01",35.01050972,"0.10%",26.49763531,"Exp6"
"26331","10.00%",65.89,"0.01",49.97898055,"0.10%",49.22228061,"Exp6"
"31252","10.00%",74.44,"0.01",65.86967945,"0.10%",37.42249081,"Exp6"
"31276","10.00%",13.22,"0.01",18.83604835,"0.10%",16.44771414,"Exp6"
"61072","10.00%",24.24,"0.01",39.67682606,"0.10%",42.67997898,"Exp6"
"61832","10.00%",22.6,"0.01",18.89910667,"0.10%",11.8602207,"Exp6"
"62240","10.00%",28.29,"0.01",18.67052023,"0.10%",15.28113505,"Exp6"
"62378","10.00%",52.96,"0.01",43.01103521,"0.10%",37.46190226,"Exp6"
"82227","10.00%",52.27,"0.01",34.04098792,"0.10%",18.78087231,"Exp6"
"82229","10.00%",62.91,"0.01",51.60273253,"0.10%",34.89227535,"Exp6"
"91497","10.00%",32.34,"0.01",17.35417761,"0.10%",26.00893326,"Exp6"
"93375","10.00%",64.5,"0.01",51.17708881,"0.10%",65.16815555,"Exp6"
"102562","10.00%",21.89,"0.01",15.96689438,"0.10%",12.51445087,"Exp6"
"102861","10.00%",33.88,"0.01",28.66526537,"0.10%",12.65633211,"Exp6"
"111418","10.00%",30.1,"0.01",12.6642144,"0.10%",17.62217551,"Exp6"
"439570","10.00%",51.68,"0.01",49.15133999,"0.10%",41.15869679,"Exp6"
"637511","10.00%",55.84,"0.01",54.05412507,"0.10%",26.868103,"Exp6"
"637563","10.00%",61.82,"0.01",46.68418287,"0.10%",26.75775092,"Exp6"
"638011","10.00%",61.38,"0.01",40.50446663,"0.10%",14.32737782,"Exp6"
"638014","10.00%",47.9,"0.01",39.70047294,"0.10%",32.5512349,"Exp6"
"1712087","10.00%",55.54,"0.01",52.35943248,"0.10%",29.05937993,"Exp6"
"5281167","10.00%",61.41,"0.01",18.41828692,"0.10%",14.18549658,"Exp6"
"5284503","10.00%",64.58,"0.01",54.53494482,"0.10%",26.04046243,"Exp6"
"5323652","10.00%",66.88,"0.01",56.67104572,"0.10%",44.39043616,"Exp6"
"5352438","10.00%",57.6,"0.01",37.98213347,"0.10%",19.82921702,"Exp6"
"5363233","10.00%",48.33,"0.01",26.09563847,"0.10%",15.84077772,"Exp6"
"5363374","10.00%",52.21,"0.01",28.15291645,"0.10%",25.80399369,"Exp6"
"5365049","10.00%",54.39,"0.01",18.68628481,"0.10%",14.60325801,"Exp6"
"5366074","10.00%",50.96,"0.01",38.34471887,"0.10%",25.74881766,"Exp6"
NA,"-",12.96,"-",11.74198634,"-",16.76300578,"Exp6"
