Type,Experiment,CID,ID,Compared To ID,ID In Exp 1,ID In Exp 2,Dilution1,Intensity1,Dilution2,Intensity2,Dilution3,Intensity3,PredictedDistance,Mix Component 1,Mix Component 2,Mix Component 3,Mix Component 4,Mix Component 5,Mix Component 6,Mix Component 7,Mix Component 8,Mix Component 9,Mix Component 10,Mix Component 11,Mix Component 12,Mix Component 13,Mix Component 14,Mix Component 15,Mix Component 16,Mix Component 17,Mix Component 18,Mix Component 19,Mix Component 20,Mix Component 21,Mix Component 22,Mix Component 23,Mix Component 24,Mix Component 25,Mix Component 26,Mix Component 27,Mix Component 28,Mix Component 29,Mix Component 30,,,,,
mono-molecule,Exp1,6544,,,43,,100.00%,40.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp1,8130,,,44,,100.00%,46.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp1,Blank,,,19,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,126,,,1,,Solid,9.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,325,,,2,,100.00%,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,Blank,,,-,,,6.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,2214,,,4,,Solid,25.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,6050,,,5,,100.00%,21.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,6560,,,6,,10.00%,39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,6997,,,7,,100.00%,85.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,6998,,,8,,10.00%,77.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,7122,,,9,,10.00%,62.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,7194,,,10,,1.00%,27.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,7593,,,11,,Solid,9.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,7601,,,12,,100.00%,45.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,7657,,,13,,100.00%,35.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,7765,,,14,,1.00%,57.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,8077,,,15,,1.00%,74.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,8180,,,16,,Solid,17.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,9012,,,17,,Solid,33.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,10925,,,18,,1.00%,86.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,11086,,,19,,100.00%,44.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,11980,,,20,,10.00%,62.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,14104,,,21,,10.00%,39.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,17121,,,22,,100.00%,76.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,18554,,,23,,10.00%,38.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,23642,,,24,,1.00%,75.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,24834,,,25,,100.00%,66.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,31219,,,26,,100.00%,73.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,61293,,,27,,100.00%,61.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,61331,,,28,,Solid,21.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,61670,,,29,,1.00%,68.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,61771,,,30,,100.00%,82.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,62351,,,31,,1.00%,64.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,89440,,,32,,10.00%,14.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,Blank,,,-,,,7.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,444972,,,34,,100.00%,10.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,520296,,,35,,100.00%,28.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,556940,,,36,,1.00%,51.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,565690,,,37,,100.00%,17.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,637776,,,38,,100.00%,41.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,778574,,,39,,100.00%,34.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,1550470,,,40,,100.00%,80.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,5273467,,,41,,100.00%,36.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,5363233,,,42,,10.00%,59.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,5364231,,,43,,100.00%,64.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,5365049,,,44,,10.00%,51.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp2,5367698,,,45,,100.00%,59.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,102861,,,1,,100.00%,9.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,6549,,,2,,100.00%,55.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,Blank,,,3,,0.00%,6.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,638014,,,4,,100.00%,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,638011,,,5,,100.00%,67.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,6054,,,6,,100.00%,42.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,637566,,,7,,100.00%,46.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,8842,,,8,,100.00%,44.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,7128,,,9,,100.00%,21.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,8042,,,10,,100.00%,7.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,1068,,,11,,10.00%,49.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,Blank,,,12,,0.00%,6.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,342,,,13,,100.00%,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,14286,,,14,,100.00%,34.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,Blank,,,15,,0.00%,6.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,8892,,,16,,100.00%,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,9609,,,17,,1.00%,48.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,7600,,,18,,100.00%,32.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,19310,,,19,,1.00%,67.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,10890,,,20,,100.00%,42.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,12265,,,21,,100.00%,54.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,439570,,,22,,100.00%,50.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,2758,,,23,,100.00%,62.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,5281515,,,24,,100.00%,34.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,Blank,,,25,,0.00%,6.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,7731,,,26,,100.00%,62.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,7749,,,27,,100.00%,37.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,637563,,,28,,100.00%,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,11002,,,29,,10.00%,64.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,31266,,,30,,100.00%,55.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,6184,,,31,,100.00%,62.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,31276,,,32,,100.00%,54.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,7685,,,33,,100.00%,46.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,8130,,,34,,100.00%,60.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,7519,,,35,,100.00%,62.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,637511,,,36,,100.00%,57.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,7966,,,37,,100.00%,50.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,8797,,,38,,100.00%,60.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,22201,,,39,,100.00%,71.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,326,,,40,,100.00%,62.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,31252,,,41,,100.00%,65.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,8129,,,42,,100.00%,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,7710,,,43,,100.00%,47.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,3314,,,44,,100.00%,62.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp3,7762,,,45,,100.00%,73.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",7799,,,1,,100.00%,72.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",1068,,,2,,10.00%,41.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",6590,,,3,,1.00%,13.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",31244,,,4,,100.00%,69.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",1031,,,5,,10.00%,27.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",176,,,6,,10.00%,67.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",180,,,7,,10.00%,14.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",3776,,,8,,100.00%,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",7363,,,9,,10.00%,76.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",7150,,,10,,100.00%,76.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",14286,,,11,,100.00%,75.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,"Exp4,5",61138,,,12,,100.00%,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
