Type,Experiment,CID,ID,Compared To ID,ID In Exp 1,ID In Exp 2,Dilution1,Intensity1,Dilution2,Intensity2,Dilution3,Intensity3,PredictedDistance,Mix Component 1,Mix Component 2,Mix Component 3,Mix Component 4,Mix Component 5,Mix Component 6,Mix Component 7,Mix Component 8,Mix Component 9,Mix Component 10,Mix Component 11,Mix Component 12,Mix Component 13,Mix Component 14,Mix Component 15,Mix Component 16,Mix Component 17,Mix Component 18,Mix Component 19,Mix Component 20,Mix Component 21,Mix Component 22,Mix Component 23,Mix Component 24,Mix Component 25,Mix Component 26,Mix Component 27,Mix Component 28,Mix Component 29,Mix Component 30,,,,,
mono-molecule,Exp6,325,,,2,,10.00%,40.5,0.01,17.60339881,0.10%,27.9161592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,326,,,3,,10.00%,60.14,0.01,29.19025135,0.10%,19.89307166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,342,,,4,,10.00%,70.4,0.01,68.00389921,0.10%,50.41588799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,660,,,5,,10.00%,49.54,0.01,37.0563855,0.10%,24.28776633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,999,,,6,,10.00%,54.41,0.01,36.90866468,0.10%,19.60686256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,1213,,,7,,10.00%,36.53,0.01,25.69111421,0.10%,30.49204115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,2758,,,8,,10.00%,64.42,0.01,52.41935174,0.10%,54.27294424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,3314,,,9,,10.00%,58.29,0.01,64.06159959,0.10%,52.93637463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,6106,,,10,,10.00%,22.45,0.01,21.47183802,0.10%,20.0777227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,6305,,,11,,10.00%,65.93,0.01,58.41127787,0.10%,45.45800766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,6501,,,12,,10.00%,46.62,0.01,43.14986971,0.10%,40.18622057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,6544,,,13,,10.00%,51.59,0.01,34.16659678,0.10%,27.28834567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,6997,,,14,,10.00%,26.65,0.01,15.34142361,0.10%,16.75400404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,7059,,,15,,10.00%,38.83,0.01,26.41125325,0.10%,16.37546941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,7128,,,16,,10.00%,52.14,0.01,25.45106786,0.10%,19.98539718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,7406,,,17,,10.00%,68.09,0.01,59.60227705,0.10%,43.60226474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,7519,,,18,,10.00%,71.48,0.01,57.22951123,0.10%,37.8226873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,7600,,,19,,10.00%,41.19,0.01,24.60167309,0.10%,17.2987246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,7655,,,20,,10.00%,52.26,0.01,37.16717612,0.10%,22.86595335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,7685,,,21,,10.00%,53.43,0.01,44.73786862,0.10%,26.85441573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,7710,,,22,,10.00%,55.5,0.01,49.27105157,0.10%,35.62533997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,7731,,,23,,10.00%,68.99,0.01,54.58900142,0.10%,28.61783314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,7749,,,24,,10.00%,42.54,0.01,34.62822437,0.10%,51.47763145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,7888,,,25,,10.00%,37.27,0.01,35.68996783,0.10%,31.9600169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,7966,,,26,,10.00%,67.04,0.01,41.73728927,0.10%,35.95771184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,8042,,,27,,10.00%,28.77,0.01,24.62722033,0.10%,14.27968015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,8129,,,28,,10.00%,57.78,0.01,66.78520237,0.10%,27.78690347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,8130,,,29,,10.00%,56.63,0.01,57.05409275,0.10%,41.25719658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,8174,,,30,,10.00%,54.45,0.01,33.76959705,0.10%,22.93981376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,8797,,,31,,10.00%,70.14,0.01,62.51976343,0.10%,45.05177538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,8892,,,32,,10.00%,22.37,0.01,17.53877095,0.10%,16.96635274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,9017,,,33,,10.00%,50.94,0.01,22.56127914,0.10%,24.91557986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,10882,,,34,,10.00%,62.41,0.01,50.09274868,0.10%,41.3125919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,10890,,,35,,10.00%,58.47,0.01,29.56878597,0.10%,21.97039582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,11002,,,36,,10.00%,73.54,0.01,64.8832967,0.10%,35.32066576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,12265,,,37,,10.00%,50.77,0.01,42.61692065,0.10%,18.31581713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,13187,,,38,,10.00%,52.93,0.01,16.06936416,0.10%,21.23226484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,16666,,,39,,10.00%,37.68,0.01,17.41723595,0.10%,12.69574356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,18458,,,40,,10.00%,71.61,0.01,59.01208618,0.10%,30.24172359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,19310,,,41,,10.00%,70.42,0.01,68.98318444,0.10%,71.74986863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,22201,,,42,,10.00%,59.43,0.01,19.56910142,0.10%,39.70047293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,24686,,,43,,10.00%,69.19,0.01,35.01050972,0.10%,26.49763531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,26331,,,44,,10.00%,65.89,0.01,49.97898055,0.10%,49.22228061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,31252,,,45,,10.00%,74.44,0.01,65.86967945,0.10%,37.42249081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,31276,,,46,,10.00%,13.22,0.01,18.83604835,0.10%,16.44771414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,61072,,,47,,10.00%,24.24,0.01,39.67682606,0.10%,42.67997898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,61832,,,48,,10.00%,22.6,0.01,18.89910667,0.10%,11.8602207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,62240,,,49,,10.00%,28.29,0.01,18.67052023,0.10%,15.28113505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,62378,,,50,,10.00%,52.96,0.01,43.01103521,0.10%,37.46190226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,82227,,,51,,10.00%,52.27,0.01,34.04098792,0.10%,18.78087231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,82229,,,52,,10.00%,62.91,0.01,51.60273253,0.10%,34.89227535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,91497,,,53,,10.00%,32.34,0.01,17.35417761,0.10%,26.00893326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,93375,,,54,,10.00%,64.5,0.01,51.17708881,0.10%,65.16815555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,102562,,,55,,10.00%,21.89,0.01,15.96689438,0.10%,12.51445087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,102861,,,56,,10.00%,33.88,0.01,28.66526537,0.10%,12.65633211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,111418,,,57,,10.00%,30.1,0.01,12.6642144,0.10%,17.62217551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,439570,,,58,,10.00%,51.68,0.01,49.15133999,0.10%,41.15869679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,637511,,,59,,10.00%,55.84,0.01,54.05412507,0.10%,26.868103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,637563,,,60,,10.00%,61.82,0.01,46.68418287,0.10%,26.75775092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,638011,,,61,,10.00%,61.38,0.01,40.50446663,0.10%,14.32737782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,638014,,,62,,10.00%,47.9,0.01,39.70047294,0.10%,32.5512349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,1712087,,,63,,10.00%,55.54,0.01,52.35943248,0.10%,29.05937993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,5281167,,,64,,10.00%,61.41,0.01,18.41828692,0.10%,14.18549658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,5284503,,,65,,10.00%,64.58,0.01,54.53494482,0.10%,26.04046243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,5323652,,,66,,10.00%,66.88,0.01,56.67104572,0.10%,44.39043616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,5352438,,,67,,10.00%,57.6,0.01,37.98213347,0.10%,19.82921702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,5363233,,,68,,10.00%,48.33,0.01,26.09563847,0.10%,15.84077772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,5363374,,,69,,10.00%,52.21,0.01,28.15291645,0.10%,25.80399369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,5365049,,,70,,10.00%,54.39,0.01,18.68628481,0.10%,14.60325801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,5366074,,,71,,10.00%,50.96,0.01,38.34471887,0.10%,25.74881766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mono-molecule,Exp6,Blank,,,72,,-,12.96,-,11.74198634,-,16.76300578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mixture,Exp1,,M1001,,1,28,100.00%,62.44,,,,,,326,26331,1140,11002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mixture,Exp1,,M1002,,2,27,100.00%,49.54,,,,,,7410,240,93009,8635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mixture,Exp1,,M1003,,3,26,100.00%,45.81,,,,,,6544,62433,7519,7685,3314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mixture,Exp1,,M1004,,4,25,100.00%,56.99,,,,,,31276,8148,7762,18827,7714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mixture,Exp1,,M1005,,5,24,100.00%,64.57,,,,,,7519,8148,31252,8103,7710,11002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mixture,Exp1,,M1006,,6,23,100.00%,65.24,,,,,,7410,326,2758,62444,7770,1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mixture,Exp1,,M1007,,7,22,100.00%,49.67,,,,,,240,637511,7731,2758,12178,62336,8635,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mixture,Exp1,,M1008,,8,21,100.00%,46.86,,,,,,31276,62433,8129,12178,7519,18827,10722,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mixture,Exp1,,M1009,,9,20,100.00%,45.06,,,,,,6544,93009,8130,8103,7710,7059,8918,7714,,,,,,,,,,,,,,,,,,,,,,,,,,,
mixture,Exp1,,M1010,,10,19,100.00%,60.96,,,,,,7410,5281168,8797,7519,8129,7710,6654,8030,,,,,,,,,,,,,,,,,,,,,,,,,,,
mixture,Exp1,,M1011,,11,18,100.00%,42.35,,,,,,62433,8797,2758,3314,8635,61138,11002,6054,10722,,,,,,,,,,,,,,,,,,,,,,,,,,
mixture,Exp1,,M1012,,12,17,100.00%,65.13,,,,,,5281168,637511,7685,12178,4133,7991,6054,7770,7714,,,,,,,,,,,,,,,,,,,,,,,,,,
mixture,Exp1,,M1013,,13,16,100.00%,42.65,,,,,,8797,7731,7966,3314,62336,7059,7991,61138,6054,11002,,,,,,,,,,,,,,,,,,,,,,,,,
mixture,Exp1,,M1014,,14,15,100.00%,46.7,,,,,,240,2758,8130,8129,7710,7059,4133,8918,957,6654,,,,,,,,,,,,,,,,,,,,,,,,,
mixture,Exp2,,M2001,,1,28,100.00%,69.27,,,,,,556940,7601,11086,61670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mixture,Exp2,,M2002,,2,27,100.00%,78.59,,,,,,62351,565690,10925,7593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mixture,Exp2,,M2003,,3,26,100.00%,50.83,,,,,,5363233,89440,126,11980,61293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mixture,Exp2,,M2004,,4,25,100.00%,64.35,,,,,,7194,520296,61670,637776,23642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mixture,Exp2,,M2005,,5,24,100.00%,67,,,,,,126,520296,7122,6050,5273467,5364231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mixture,Exp2,,M2006,,6,23,100.00%,67.68,,,,,,2214,556940,8180,8077,325,11086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mixture,Exp2,,M2007,,7,22,100.00%,51.01,,,,,,7601,778574,61331,8180,17121,24834,7593,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mixture,Exp2,,M2008,,8,21,100.00%,64.31,,,,,,7194,89440,6560,17121,126,637776,9012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mixture,Exp2,,M2009,,9,20,100.00%,76.36,,,,,,5363233,10925,5365049,6050,5273467,31219,7765,23642,,,,,,,,,,,,,,,,,,,,,,,,,,,
mixture,Exp2,,M2010,,10,19,100.00%,76.28,,,,,,62351,1550470,7657,6997,6560,5273467,18554,2214,,,,,,,,,,,,,,,,,,,,,,,,,,,
mixture,Exp2,,M2011,,11,18,100.00%,71.24,,,,,,89440,7657,7122,61293,7593,5367698,5364231,14104,9012,,,,,,,,,,,,,,,,,,,,,,,,,,
mixture,Exp2,,M2012,,12,17,100.00%,78.97,,,,,,1550470,778574,11980,61771,6998,444972,14104,325,23642,,,,,,,,,,,,,,,,,,,,,,,,,,
mixture,Exp2,,M2013,,13,16,100.00%,70.16,,,,,,7657,61331,61771,61293,24834,31219,444972,5367698,14104,5364231,,,,,,,,,,,,,,,,,,,,,,,,,
mixture,Exp2,,M2014,,14,15,100.00%,79.24,,,,,,565690,8180,5365049,6560,8077,31219,6998,7765,6997,18554,,,,,,,,,,,,,,,,,,,,,,,,,
mixture,"Exp4,5",,M1,M11,1,,100.00%,,,,,,0.05,7799,176,7363,14286,8025,6561,11552,12020,22386,9609,84682,8063,8857,7895,7284,11173,8103,637566,638011,10890,24915,3314,8842,10430,0,0,0,0,0,0,24,1,,24,24
mixture,"Exp4,5",,M2,M12,2,,100.00%,,,,,,0.05,7799,6590,61138,11552,62336,9609,6276,7895,7284,261,5284503,637566,31266,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,,14,16
mixture,"Exp4,5",,M3,M13,3,,100.00%,,,,,,0.05,7799,7150,14286,264,11552,62336,263,9609,7895,261,8103,8842,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,,13,19
mixture,"Exp4,5",,M4,M14,4,,100.00%,,,,,,0.05,7799,1068,3776,61138,7793,264,527,263,84682,10448,7284,11173,5318042,637566,638011,10890,24915,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,,17,10
mixture,"Exp4,5",,M5,M15,5,,100.00%,,,,,,0.05,1068,6590,1031,176,180,3776,7363,7150,14286,8025,6561,443158,22386,1032,6569,84682,8063,6276,8857,7895,261,5284503,5318042,8103,10890,24915,31266,10430,0,0,28,5,,28,16
mixture,"Exp4,5",,M6,M16,6,,100.00%,,,,,,0.05,7799,6590,31244,176,7150,8025,7793,443158,11552,1032,8063,7284,5284503,5318042,638011,24915,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,,17,14
mixture,"Exp4,5",,M7,M17,7,,100.00%,,,,,,0.05,31244,176,180,3776,7363,7150,14286,19310,443158,11552,22386,62336,263,9609,8063,7895,5284503,5318042,638011,637776,10430,0,0,0,0,0,0,0,0,0,21,7,,21,29
mixture,"Exp4,5",,M8,M18,8,,100.00%,,,,,,0.05,6590,31244,180,3776,7363,14286,61138,6561,443158,11552,12020,62336,263,84682,8063,6276,10448,7895,11173,261,5284503,5318042,638011,10890,8842,0,0,0,0,0,25,8,,25,20
mixture,"Exp4,5",,M9,M19,9,,100.00%,,,,,,0.05,7799,7363,61138,8025,443158,264,12020,527,263,1032,84682,10448,7895,7284,11173,8103,637566,638011,24915,31266,0,0,0,0,0,0,0,0,0,0,20,9,,20,25
mixture,"Exp4,5",,M10,M20,10,,100.00%,,,,,,0.05,7799,1068,6590,31244,7150,61138,7793,443158,22386,5284503,637566,10890,8842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,,13,14
mixture,"Exp4,5",,M11,M1,11,,100.00%,,,,,,0.05,7799,1068,6590,31244,176,180,7150,61138,8025,6561,443158,22386,62336,527,9609,1032,6569,84682,6276,10448,8857,7895,11173,5284503,5318042,8103,637566,638011,637776,10890,30,11,,30,18
mixture,"Exp4,5",,M12,M2,12,,100.00%,,,,,,0.05,1068,6590,31244,1031,176,180,3776,7363,7150,7793,12020,6584,1032,6569,8857,637566,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,,17,27
mixture,"Exp4,5",,M13,M3,13,,100.00%,,,,,,0.05,7799,1031,176,180,14286,8025,6561,7793,264,11552,12020,22386,263,6584,84682,8063,5284503,5318042,8103,3314,10430,0,0,0,0,0,0,0,0,0,21,13,,21,19
mixture,"Exp4,5",,M14,M4,14,,100.00%,,,,,,0.05,7799,6590,31244,1031,180,3776,7363,7150,14286,61138,19310,443158,264,12020,22386,62336,527,263,6584,1032,84682,6276,7895,7284,5284503,638011,637776,24915,31266,0,29,14,,29,14
mixture,"Exp4,5",,M15,M5,15,,100.00%,,,,,,0.05,1031,7363,14286,19310,12020,263,1032,6569,8063,6276,7895,7284,3314,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,,14,30
mixture,"Exp4,5",,M16,M6,16,,100.00%,,,,,,0.05,31244,7150,8025,11552,22386,6584,6569,6276,10448,7895,7284,261,5284503,638011,637776,8842,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16,,17,10
mixture,"Exp4,5",,M17,M7,17,,100.00%,,,,,,0.05,7799,1068,6590,1031,7150,61138,8025,19310,6561,7793,11552,12020,263,6276,10448,7895,261,5284503,5318042,638011,637776,8842,10430,0,0,0,0,0,0,0,23,17,,23,13
mixture,"Exp4,5",,M18,M8,18,,100.00%,,,,,,0.05,6590,31244,176,180,7363,7150,61138,8025,19310,6561,443158,11552,12020,62336,263,9609,1032,6276,10448,7895,7284,8103,638011,637776,24915,3314,0,0,0,0,26,18,,26,26
mixture,"Exp4,5",,M19,M9,19,,100.00%,,,,,,0.05,7799,6590,31244,1031,180,3776,7363,61138,8025,19310,6561,443158,264,22386,62336,527,263,6584,6569,10448,8857,7284,11173,261,5318042,8103,638011,637776,31266,3314,30,19,,30,21
mixture,"Exp4,5",,M20,M10,20,,100.00%,,,,,,0.05,7799,1068,6590,31244,176,180,3776,7150,14286,61138,19310,6561,443158,11552,527,9609,1032,6569,10448,8857,7895,7284,11173,261,637566,637776,10890,31266,3314,8842,30,20,,30,21
mixture,"Exp4,5",,M21,M31,21,,100.00%,,,,,,0.2,1068,1031,176,180,7363,61138,19310,443158,22386,62336,9609,6584,1032,6569,84682,8063,6276,5284503,8103,637566,638011,31266,3314,10430,0,0,0,0,0,0,24,21,,,
mixture,"Exp4,5",,M22,M32,22,,100.00%,,,,,,0.2,31244,176,3776,6561,264,9609,6584,84682,6276,11173,261,8103,637566,637776,24915,8842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,,,
mixture,"Exp4,5",,M23,M33,23,,100.00%,,,,,,0.2,6590,31244,3776,7150,61138,19310,7793,22386,62336,527,9609,6584,1032,8857,7895,5284503,8103,637566,8842,0,0,0,0,0,0,0,0,0,0,0,19,23,,,
mixture,"Exp4,5",,M24,M34,24,,100.00%,,,,,,0.2,6590,180,6561,22386,527,263,6569,10448,8857,637776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,,,
mixture,"Exp4,5",,M25,M35,25,,100.00%,,,,,,0.2,7799,176,7363,19310,6561,264,12020,62336,84682,8857,7895,7284,5318042,638011,24915,31266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,25,,,
mixture,"Exp4,5",,M26,M36,26,,100.00%,,,,,,0.2,6590,31244,7363,61138,19310,6561,264,1032,6569,84682,10448,261,5284503,5318042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,26,,,
mixture,"Exp4,5",,M27,M37,27,,100.00%,,,,,,0.2,6590,31244,176,180,61138,8025,19310,7793,443158,12020,527,263,1032,6569,84682,8063,7895,11173,261,5284503,5318042,637566,638011,637776,10890,31266,3314,8842,10430,0,29,27,,,
mixture,"Exp4,5",,M28,M38,28,,100.00%,,,,,,0.2,1031,176,7363,7150,8025,6561,7793,11552,527,6584,1032,10448,7895,7284,11173,5284503,637566,638011,10890,8842,0,0,0,0,0,0,0,0,0,0,20,28,,,
mixture,"Exp4,5",,M29,M39,29,,100.00%,,,,,,0.2,6590,31244,3776,7150,6561,7793,443158,264,12020,527,263,9609,8063,6276,8857,7895,7284,261,5318042,8103,638011,24915,31266,3314,10430,0,0,0,0,0,25,29,,,
mixture,"Exp4,5",,M30,M40,30,,100.00%,,,,,,0.2,7799,1031,176,3776,7793,22386,9609,8063,7895,11173,5318042,638011,31266,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,30,,,
mixture,"Exp4,5",,M31,M21,31,,100.00%,,,,,,0.2,6590,31244,1031,180,7363,61138,264,22386,527,263,10448,7284,5318042,8103,637776,10890,31266,3314,0,0,0,0,0,0,0,0,0,0,0,0,18,31,,,
mixture,"Exp4,5",,M32,M22,32,,100.00%,,,,,,0.2,7799,180,3776,7363,61138,8025,19310,6561,7793,264,12020,22386,527,263,6584,8063,8857,7895,7284,5284503,8103,638011,10890,24915,31266,3314,8842,0,0,0,27,32,,,
mixture,"Exp4,5",,M33,M23,33,,100.00%,,,,,,0.2,1068,6590,1031,3776,7150,14286,19310,12020,8063,6276,8857,7284,5318042,8103,637566,638011,10890,3314,8842,0,0,0,0,0,0,0,0,0,0,0,19,33,,,
mixture,"Exp4,5",,M34,M24,34,,100.00%,,,,,,0.2,6590,7150,14286,61138,7793,443158,11552,22386,263,9609,84682,8063,8857,31266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,34,,,
mixture,"Exp4,5",,M35,M25,35,,100.00%,,,,,,0.2,7799,1068,6590,31244,176,180,7150,61138,8025,6561,443158,22386,62336,527,9609,1032,6569,84682,6276,10448,8857,7895,11173,5284503,5318042,8103,637566,638011,637776,10890,30,35,,,
mixture,"Exp4,5",,M36,M26,36,,100.00%,,,,,,0.2,180,7363,1032,5284503,8103,637776,10890,24915,3314,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,36,,,
mixture,"Exp4,5",,M37,M27,37,,100.00%,,,,,,0.2,31244,3776,61138,19310,7793,12020,263,9609,6569,84682,8857,7284,5318042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,37,,,
mixture,"Exp4,5",,M38,M28,38,,100.00%,,,,,,0.2,7799,1068,6590,1031,176,61138,19310,7793,443158,11552,22386,9609,8063,6276,10448,8857,7895,11173,261,5284503,5318042,8103,637566,637776,24915,3314,0,0,0,0,26,38,,,
mixture,"Exp4,5",,M39,M29,39,,100.00%,,,,,,0.2,31244,1031,176,3776,443158,11552,22386,527,6584,6569,84682,8063,6276,8857,261,5284503,5318042,8103,638011,637776,31266,0,0,0,0,0,0,0,0,0,21,39,,,
mixture,"Exp4,5",,M40,M30,40,,100.00%,,,,,,0.2,7799,1031,176,180,14286,8025,6561,7793,264,11552,12020,22386,263,6584,84682,8063,5284503,5318042,8103,3314,10430,0,0,0,0,0,0,0,0,0,21,40,,,
mixture,"Exp4,5",,M41,M51,41,,100.00%,,,,,,0.025,7799,31244,7150,14286,8025,19310,7793,443158,11552,12020,22386,62336,527,84682,8063,6276,10448,7284,5284503,5318042,8103,637566,638011,24915,31266,10430,0,0,0,0,26,41,,,
mixture,"Exp4,5",,M42,M52,42,,100.00%,,,,,,0.025,7799,1068,31244,1031,176,7150,61138,7793,443158,11552,22386,527,263,6584,1032,84682,8063,6276,7284,11173,5318042,8103,637566,638011,637776,3314,8842,10430,0,0,28,42,,,
