CID,Ordinal#,Name,CAS,% v/v or g/ml,Phase,Solvent
10882,,ethyl pentanoate,539-82-2,0.025,liquid,"1,2-propanediol"
10890,10,amyl butyrate,540-18-1,1,liquid,"1,2-propanediol"
10976,,heptan-2-ol,543-49-7,5,liquid,"1,2-propanediol"
11002,23,butyl sulfide,544-40-1,0.15,liquid,mineral oil
11124,,methyl propanoate,554-12-1,2.5,liquid,"1,2-propanediol"
11509,,hexan-3-one,589-38-8,0.5,liquid,"1,2-propanediol"
11552,140,iso-valeraldehyde,590-86-3,0.0003,liquid,mineral oil
12020,,pent-1-en-3-ol,616-25-1,0.3,liquid,"1,2-propanediol"
12178,76,3-hexanol,623-37-0,0.4,liquid,mineral oil
12180,,methyl butanoate,623-42-7,0.15,liquid,"1,2-propanediol"
12232,,(methyldisulfanyl) methane,624-92-0,0.025,liquid,"1,2-propanediol"
12348,,pentyl acetate,628-63-7,0.75,liquid,"1,2-propanediol"
12367,,nonan-2-ol,628-99-9,1,liquid,"1,2-propanediol"
12741,,decan-2-one,693-54-9,100,liquid,
14286,3,ortho-acetyl pyridine,1122-62-9,0.001,liquid,"1,2-propanediol"
15380,,bis(methylsulfanyl)methane,1618-26-4,0.002,liquid,"1,2-propanediol"
16666,94,l-menthol,2216-51-5,3,solid,"1,2-propanediol"
17100,127,α-Terpineol,10482-56-1,50,solid,"1,2-propanediol"
18827,110,1- octen 3- ol,3391-86-4,0.04,liquid,mineral oil
19310,56,dimethyl trisulfide,3658-80-8,0.001,liquid,"1,2-propanediol"
20859,97,"methyl acetaldehydedimethyl acetal",462-95-3,0.15,liquid,"1,2-propanediol"
22201,53,"2,3-dimethyl pyrazine",5910-89-4,0.2,liquid,"1,2-propanediol"
22386,,pentan-2-ol,6032-29-7,4,liquid,"1,2-propanediol"
22873,,hexyl hexanoate,6378-65-0,26.66,liquid,"1,2-propanediol"
24915,51,"dimethyl benzyl carbinylbutyrate",10094-34-5,20,liquid,"1,2-propanediol"
26331,61,2-ethyl pyrazine,13925-00-3,0.4,liquid,mineral oil
31244,,4-methoxybenzaldehyde,123-11-5,3.3,liquid,"1,2-propanediol"
31249,,diethyl butanedioate,123-25-1,100,liquid,
31252,54,"2,5-dimethyl pyrazine",123-32-0,0.3,liquid,mineral oil
31265,,ethyl hexanoate,123-66-0,0.5,liquid,"1,2-propanediol"
31272,,butyl acetate,123-86-4,1,liquid,"1,2-propanediol"
31276,9,isoamyl acetate,123-92-2,0.1,liquid,mineral oil
31277,131,thioglycolic acid,123-93-3,10,solid,water
61016,93,melonal,106-72-9,1,liquid,mineral oil
61138,112,4-pentenoic acid,591-80-0,0.3,liquid,mineral oil
61199,1,abhexone,698-10-2,0.01,solid,water
62336,81,"2-phenylpropionaldehydedimethyl acetal",90-87-9,15,liquid,mineral oil
62433,13,pentyl valerate,2173-56-0,50,liquid,mineral oil
62444,103,S-(methyl thio) butyrate,2432-51-1,0.03,liquid,mineral oil
62465,,4-ethyl guaiacol,2785-89-9,0.1,liquid,"1,2-propanediol"
91497,104,musk galaxolide,1222-05-5,5,liquid,"1,2-propanediol"
93009,20,iso-bornyl acetate,5655-61-8,5,liquid,mineral oil
101977,,(R)-(+)-beta-citronellol,1117-61-9,100,liquid,
440917,,limonene,5989-27-5,5,liquid,mineral oil
440967,,laevo-beta-pinene,18172-67-3,10,liquid,"1,2-propanediol"
443158,89,linalool,126-91-0,2.5,liquid,mineral oil
637566,,geraniol,106-24-1,50,liquid,"1,2-propanediol"
5281168,77,trans-1-Hexanal,6728-26-3,0.1,liquid,mineral oil
5281515,27,caryophyllene,87-44-5,15,liquid,"1,2-propanediol"
5283349,47,"2,4-trans-trans-decadienal",25152-84-5,0.5,liquid,mineral oil
6259976,29,celeriax,17369-59-4,0.2,liquid,"1,2-propanediol"
