,"FRUITY,CITRUS",LEMON,GRAPEFRUIT,ORANGE,"FRUITY,OTHER THAN CITRUS",PINEAPPLE,GRAPE JUICE,STRAWBERRY,"APPLE, FRUIT",PEAR,"CANTALOUPE, HONEYDEW MELON",PEACH FRUIT,BANANA,FLORAL,ROSE,VIOLETS,LAVENDER,COLOGNE,MUSK,PERFUMERY,FRAGRANT,AROMATIC,HONEY,"CHERRY, BERRY",ALMOND,NAIL POLISH REMOVER,"NUTTY, WALNUT ETC.",SPICY,CLOVE,CINNAMON,LAUREL LEAVES,TEA LEAVES,SEASONING FOR MEAT,BLACK PEPPER,GREEN PEPPER,DILL,CARAWAY,"OAK WOOD,COGNAC","WOODY, RESINOUS",CEDARWOOD,MOTHBALLS,"MINTY, PEPPERMINT",CAMPHOR,EUCALYPTUS,CHOCOLATE,VANILLA,SWEET,MAPLE SYRUP,CARAMEL,MALTY,RAISINS,MOLASSES,COCONUT,"ANISE, LICORICE",ALCOHOLIC,"ETHERISH, ANAESTHETIC",CLEANING FLUID,"GASOLINE, SOLVENT","TURPENTINE, PINE OIL",GERANIUM LEAVES,CELERY,FRESH GREEN VEGETABLES,CRUSHED WEEDS,CRUSHED GRASS,"HERBAL, GREEN,CUTGRASS",RAW CUCUMBER,HAY,GRAINY (AS GRAIN),YEASTY,BAKERY (FRESH BREAD),SOUR MILK,"FERMENTED, ROTTEN FRUIT",BEERY,SOAPY,LEATHER,CARDBOARD,ROPE,WET PAPER,"WET WOOL,WET DOG",DIRTY LINEN,STALE,"MUSTY, EARTHY, MOLDY",RAW POTATO,MOUSE,MUSHROOM,PEANUT BUTTER,BEANY,"EGGY, FRESH EGGS","BARK,BIRCHBARK",CORK,"BURNT,SMOKY",FRESH TOBACCO SMOKE,INCENSE,COFFEE,STALE TOBACCO SMOKE,BURNT PAPER,BURNT MILK,BURNT RUBBER,TAR,CREOSOTE,"DISINFECTANT, CARBOLIC",MEDICINAL,CHEMICAL,BITTER,"SHARP, PUNGENT, ACID","SOUR, VINEGAR",SAUERKRAUT,AMMONIA,URINE,CAT URINE,FISHY,"KIPPERY,SMOKED FISH","SEMINAL, SPERM-LIKE",NEW RUBBER,SOOTY,BURNT CANDLE,KEROSENE,"OILY, FATTY","BUTTERY, FRESH BUTTER",PAINT,VARNISH,POPCORN,FRIED CHICKEN,"MEATY ( COOKED,GOOD)",SOUPY,COOKED VEGETABLES,RANCID,SWEATY,CHEESY,HOUSEHOLD GAS,SULFIDIC,"GARLIC, ONION",METALLIC,"BLOOD, RAW MEAT",ANIMAL,SEWER,"PUTRID, FOUL, DECAYED","FECAL, LIKE MANURE",CADAVEROUS,SICKENING,"DRY, POWDERY",CHALKY,LIGHT,HEAVY,"COOL,COOLING",WARM
108505,20.2,17.83,2.75,10.42,19.93,4.63,3.43,7.86,0.0,2.43,5.12,4.16,0.0,28.54,6.92,4.49,5.09,7.14,2.84,29.45,44.15,26.09,2.57,6.22,4.35,1.77,0.56,6.64,0.0,1.12,1.15,1.94,0.0,0.79,0.0,1.3,0.65,2.51,9.72,4.81,0.92,3.77,2.17,1.77,0.0,0.56,30.43,0.79,1.3,2.71,1.77,0.56,1.59,4.56,2.75,5.02,1.12,1.77,1.45,1.59,0.92,2.27,1.26,1.77,23.62,0.79,0.92,1.12,1.26,0.79,1.68,3.69,0.92,9.07,0.92,1.94,0.56,0.79,1.12,0.56,2.05,3.27,0.92,0.65,0.0,1.02,0.0,0.0,4.0,1.92,2.99,0.0,6.42,0.79,1.02,0.79,0.0,0.0,1.62,0.65,2.84,4.23,5.5,2.1,10.04,9.95,0.0,1.59,0.0,0.56,0.56,0.0,0.0,1.3,0.0,0.56,1.12,5.02,1.12,2.1,3.07,0.79,0.0,0.0,0.0,1.12,0.97,6.8,0.65,0.0,1.12,0.97,2.92,1.26,0.0,0.97,2.57,0.65,0.0,4.77,2.25,0.56,25.77,11.01,13.19,11.59
98492,3.53,2.18,0.0,1.34,10.63,2.99,0.0,2.04,0.0,2.04,1.89,1.34,0.67,13.96,4.17,3.4,5.86,7.23,2.44,15.35,23.65,12.94,4.72,1.89,2.59,0.39,1.09,3.4,0.0,0.39,1.44,0.77,0.94,0.0,0.0,0.0,0.67,0.39,8.81,2.73,0.0,2.86,1.64,2.67,0.39,0.39,25.8,0.0,1.09,0.39,1.49,0.0,0.0,0.39,1.49,3.11,0.0,2.73,1.64,2.99,0.0,2.44,1.64,3.55,8.57,0.39,1.09,0.55,0.67,0.0,0.39,0.55,0.77,3.27,1.49,0.94,1.22,1.09,2.59,0.0,2.31,7.0,0.0,0.55,1.64,0.0,0.0,0.55,0.94,0.94,0.0,0.0,1.89,0.0,0.77,1.09,0.0,0.77,0.0,0.0,1.89,5.0,6.77,0.55,8.96,8.99,0.0,1.89,6.84,5.56,0.67,0.0,0.55,0.0,0.39,0.77,2.04,7.09,0.0,2.44,2.18,0.77,0.0,0.39,0.0,0.0,0.0,5.97,11.4,0.67,0.0,2.56,2.18,2.78,0.55,2.18,0.39,2.83,3.13,0.55,14.02,4.22,0.0,17.25,9.9,10.9
62433,2.32,2.1,0.35,0.35,21.68,6.74,0.99,5.24,0.0,4.13,4.53,3.31,3.83,1.71,0.0,0.35,0.86,0.7,2.34,1.85,12.43,13.09,0.49,6.35,0.35,0.86,0.0,0.7,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.49,2.21,0.49,0.0,0.49,0.0,0.0,0.78,0.0,21.07,0.61,0.0,0.86,1.21,0.0,1.1,0.7,0.61,1.1,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.0,3.46,0.0,0.0,0.0,5.24,0.0,5.24,3.2,0.86,0.0,1.48,0.49,0.35,0.61,3.83,7.35,4.8,7.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,1.6,0.0,1.48,0.0,0.0,0.0,0.0,0.49,0.0,0.49,2.21,6.02,3.2,7.13,14.86,0.0,3.53,0.0,3.53,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,7.89,1.21,0.86,0.0,0.99,0.0,0.35,0.0,0.0,14.91,21.38,0.0,0.0,0.78,0.0,0.49,2.21,4.31,3.53,17.01,8.16,4.07,35.29,1.98,0.0,7.77,13.51,5.64,4.32
122510,0.89,0.89,0.0,0.51,0.81,0.36,0.0,0.73,0.0,0.36,0.73,0.0,0.0,6.78,2.41,2.7,1.89,2.18,3.73,6.93,25.07,23.08,0.89,1.41,0.89,1.78,0.36,9.24,1.63,0.36,0.0,0.36,1.03,1.03,0.36,0.0,0.0,2.7,41.35,51.61,6.71,4.11,10.15,6.49,0.0,0.0,11.3,0.89,0.0,0.36,0.0,0.0,0.36,0.36,4.19,6.55,3.71,2.44,6.68,0.0,0.0,0.51,2.3,1.15,6.52,0.0,0.36,0.51,0.0,0.0,0.0,0.0,0.0,0.89,1.26,0.0,0.51,0.0,0.36,0.0,1.67,8.45,0.0,0.0,0.0,0.0,0.0,0.36,5.34,0.73,5.14,0.36,6.94,0.51,1.03,0.36,0.36,0.0,0.36,1.63,5.27,7.07,8.09,0.63,5.75,1.41,0.0,1.41,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,2.18,1.92,0.0,3.33,4.6,0.51,0.0,0.0,0.0,0.36,0.51,0.36,0.0,0.0,1.03,0.36,0.36,0.63,0.51,0.0,0.36,0.36,0.0,3.33,5.86,0.36,6.9,12.6,9.24,10.06
637563,0.69,0.64,0.0,0.15,3.58,0.0,0.0,0.47,0.0,0.68,0.42,0.9,1.17,3.58,1.41,1.68,2.31,1.18,1.93,9.22,45.23,46.86,1.75,1.32,5.94,0.69,0.45,20.94,7.55,5.51,0.51,1.4,0.64,0.37,0.15,1.52,4.39,0.89,5.19,2.99,1.16,15.55,5.3,10.12,0.58,3.59,39.94,2.17,2.65,0.57,1.06,3.15,0.52,91.63,1.21,6.52,0.95,0.3,2.6,0.57,1.16,0.79,0.3,0.45,5.06,0.0,0.3,0.15,0.15,0.21,0.0,0.37,0.15,0.36,1.56,0.15,0.0,0.0,0.31,0.15,0.6,1.12,0.21,0.3,0.15,0.0,0.21,0.0,2.69,0.45,4.22,0.45,7.11,0.21,0.3,0.3,0.0,0.52,4.21,2.01,1.56,12.35,4.54,1.31,5.62,0.0,0.0,0.21,0.0,0.0,0.26,0.0,0.0,0.47,0.3,0.3,1.04,3.55,0.21,1.27,0.99,0.0,0.0,0.26,0.0,0.0,0.0,2.05,4.39,0.0,0.15,0.21,1.0,0.0,0.3,0.26,0.15,0.15,0.0,1.96,1.86,0.3,14.09,26.02,18.72,19.12
7519,0.0,0.35,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.5,0.0,0.0,0.0,1.0,3.34,9.41,17.18,0.0,0.61,2.23,18.6,0.86,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,5.85,0.7,5.96,0.7,3.23,0.35,0.0,0.35,5.53,0.0,0.0,0.35,0.0,0.0,0.0,0.0,9.24,21.71,17.52,31.31,16.25,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.5,0.35,0.5,0.0,0.0,0.0,0.0,0.7,1.49,0.35,0.86,0.35,1.49,0.0,1.22,2.11,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.7,2.23,0.0,0.0,0.0,0.0,0.35,0.0,2.95,6.35,7.4,17.2,9.83,34.23,1.0,15.7,3.86,0.0,2.11,0.0,0.0,0.0,0.0,0.35,7.29,0.35,0.5,5.03,4.23,0.0,22.75,13.81,0.0,0.0,0.7,0.0,1.22,2.23,1.73,0.0,3.11,0.0,0.35,3.45,0.35,0.61,1.0,3.11,0.0,0.35,10.02,3.95,0.5,9.08,19.06,7.18,4.06
98118,9.3,1.39,0.0,4.05,25.1,2.26,13.42,7.52,0.0,0.72,0.88,1.6,0.36,27.68,8.1,6.7,6.67,15.99,2.26,32.52,46.48,22.71,2.65,8.59,2.77,0.623,0.0,5.81,1.43,0.88,0.51,1.75,0.0,0.0,0.0,0.0,0.0,0.36,3.28,1.64,0.51,6.05,1.75,2.99,0.0,1.39,42.96,0.36,0.36,0.0,0.0,0.36,0.36,0.88,1.64,0.72,3.14,0.0,1.52,0.0,0.36,0.0,0.62,0.0,8.97,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.8,12.19,0.62,0.0,0.51,0.0,0.0,0.62,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,2.48,0.72,0.36,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.51,0.88,3.16,5.88,2.4,0.88,1.34,0.62,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.72,0.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.36,3.1,0.0,0.51,0.36,0.0,2.58,0.0,0.0,0.0,0.88,0.0,0.0,3.1,5.54,0.0,16.78,8.98,11.65,8.65
240,3.07,1.9,0.32,0.91,18.0,1.37,0.32,2.73,0.0,0.64,0.64,2.61,1.61,8.39,2.41,1.29,3.34,4.19,0.64,18.04,47.46,48.7,4.32,30.32,64.49,0.32,7.96,17.14,1.44,7.98,0.0,0.46,0.0,0.0,0.0,0.0,0.64,2.16,8.63,2.41,0.97,7.05,2.23,2.36,0.0,11.03,46.53,1.44,2.09,1.82,0.64,0.32,3.4,5.68,2.82,2.69,0.56,0.32,1.11,0.64,0.0,0.0,0.0,0.79,7.05,0.0,0.0,0.0,0.32,1.29,0.0,0.91,0.0,2.03,0.79,0.64,0.0,0.0,0.32,0.0,0.32,1.76,0.0,0.0,0.0,0.0,0.0,0.64,1.58,0.64,1.82,0.0,4.21,0.0,0.0,0.46,0.0,0.0,0.97,0.64,2.16,6.56,6.46,2.23,5.12,2.49,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,5.79,1.58,0.32,0.64,0.0,0.0,0.32,0.0,0.0,0.64,1.85,0.64,0.0,0.0,0.0,0.56,0.46,0.0,0.0,0.32,0.0,0.0,3.4,3.07,0.32,14.08,19.93,9.09,14.42
660,0.7,0.0,0.0,0.49,4.32,0.86,1.48,0.35,0.0,0.0,1.21,0.7,0.35,8.5,2.21,1.48,1.21,1.85,4.42,15.43,27.99,22.79,2.92,3.2,17.68,0.35,2.21,13.53,3.09,12.09,0.86,0.7,0.0,0.0,0.0,0.35,0.49,0.0,17.9,6.78,4.07,3.92,2.57,2.21,0.7,6.52,28.78,1.48,2.84,1.56,1.71,0.99,18.26,1.71,1.82,4.94,4.84,1.35,1.35,0.35,0.0,0.0,0.61,1.31,10.22,0.0,2.21,0.78,0.35,0.0,0.0,0.78,0.0,4.42,0.61,1.21,0.0,0.35,0.0,0.0,0.0,4.19,0.0,0.7,0.0,0.0,1.1,0.0,1.48,1.35,2.59,1.91,6.17,0.0,0.35,0.86,0.0,0.0,1.48,2.32,8.73,8.15,6.85,0.61,6.78,2.21,0.0,0.86,0.61,0.0,0.0,0.0,0.0,0.61,0.35,0.7,0.86,7.16,0.35,3.56,1.71,0.0,0.0,0.0,0.0,0.0,1.31,2.47,0.49,0.49,1.35,0.35,0.0,0.35,0.99,0.0,0.35,0.0,0.0,2.57,6.13,0.35,14.64,13.48,6.55,10.38
6448,1.56,1.56,0.32,0.55,2.02,0.45,0.32,0.32,0.0,0.0,0.64,0.0,0.0,11.41,1.36,2.6,3.38,5.87,4.07,22.27,42.74,29.41,1.24,0.0,0.96,4.74,0.64,5.19,1.89,0.32,0.45,0.0,0.55,0.64,0.0,0.32,0.0,2.47,26.05,26.55,7.68,8.92,26.55,8.81,0.32,0.55,12.3,0.0,0.0,0.0,0.0,0.0,0.32,1.43,1.69,6.52,9.34,3.03,23.63,1.69,0.32,0.0,0.78,1.43,19.17,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.34,1.36,0.64,0.32,0.64,0.64,0.0,0.64,2.67,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.78,2.02,0.0,12.9,0.32,0.32,0.55,0.0,0.32,1.56,0.32,19.27,12.72,9.6,0.55,6.89,0.64,0.0,4.6,0.32,0.0,0.0,0.0,0.0,0.32,0.0,1.11,0.64,2.14,0.0,3.5,5.08,0.0,0.0,0.0,0.0,0.0,0.45,1.28,0.0,0.0,0.0,0.0,1.01,0.0,0.45,0.0,0.0,0.0,0.0,1.24,9.09,1.46,18.12,12.45,19.98,11.34
264,0.0,0.32,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,3.48,2.12,5.98,10.76,0.0,0.32,0.0,0.0,0.64,1.11,0.0,0.0,0.0,0.0,0.0,0.55,0.64,0.64,0.0,0.0,2.02,0.0,0.0,0.0,0.32,0.0,0.0,0.0,2.93,0.0,0.0,1.69,0.0,0.0,0.0,0.0,0.32,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.64,0.0,0.32,0.0,12.27,0.0,20.55,5.64,1.01,0.32,0.45,0.45,1.24,0.78,5.86,10.72,8.99,16.95,0.0,2.37,0.64,0.45,0.0,0.0,0.9,0.64,1.56,0.0,0.0,0.0,1.36,0.0,0.64,0.55,0.9,0.0,0.32,1.2,3.27,4.79,30.32,29.14,1.92,1.24,8.68,7.34,4.84,1.36,1.36,0.0,0.32,0.0,0.0,15.68,4.97,0.32,0.0,0.32,0.0,1.24,0.0,0.0,38.18,33.89,0.0,1.24,6.44,2.86,1.92,4.16,13.19,12.54,38.69,27.39,10.33,55.15,0.78,0.0,2.21,32.19,0.0,8.94
263,1.38,1.0,0.42,0.79,1.06,0.42,0.0,0.58,0.22,0.74,0.0,0.37,0.95,1.1,0.15,0.64,0.8,1.01,3.78,1.58,11.83,19.85,0.42,0.58,3.88,8.9,2.56,2.01,0.68,0.38,0.0,0.15,0.31,0.52,0.85,0.69,0.52,3.26,13.49,4.09,2.97,1.53,7.54,1.86,0.21,0.68,7.48,1.15,0.58,1.55,0.37,0.58,0.0,2.21,17.27,19.72,7.54,10.0,8.63,0.0,0.74,0.9,1.26,0.42,4.34,0.0,0.37,1.89,2.5,0.0,2.94,2.93,1.32,1.11,3.63,1.57,1.18,1.2,2.76,2.88,5.25,10.69,0.3,0.8,0.37,0.52,0.3,0.37,2.0,3.05,6.95,0.59,0.91,0.47,1.98,0.42,0.48,0.47,2.78,5.46,10.78,16.49,26.72,3.27,22.18,10.51,0.3,4.14,3.96,1.06,2.72,0.15,1.02,1.6,0.73,1.16,5.18,11.67,2.07,17.3,9.07,0.0,0.0,1.07,0.22,0.46,13.0,19.67,0.52,1.55,3.15,1.07,5.25,2.72,2.99,3.06,10.0,2.94,2.39,22.74,1.78,0.3,10.75,26.22,6.96,8.38
103401,0.66,0.66,0.0,0.0,1.87,0.0,0.0,0.0,0.38,1.75,0.54,1.71,0.0,0.66,0.0,0.0,0.0,0.0,3.38,1.87,5.8,13.68,0.0,0.0,1.87,0.0,3.86,4.63,0.0,0.0,2.42,1.75,0.38,2.54,15.32,0.38,0.94,2.2,29.33,4.41,0.0,0.38,2.76,1.21,0.0,0.0,3.97,0.0,0.0,0.66,0.0,0.0,0.0,0.0,1.75,2.81,1.08,4.68,3.35,2.7,4.32,5.06,11.54,10.93,22.82,2.56,6.04,0.94,0.0,0.0,0.0,0.94,0.0,0.0,2.81,3.38,2.76,1.87,0.94,1.75,7.17,32.85,4.83,0.76,2.42,0.94,1.21,0.0,8.22,0.0,17.43,0.54,3.82,0.0,5.25,5.0,0.0,3.38,5.62,1.75,1.87,1.87,14.1,3.11,10.59,4.05,0.0,0.0,1.21,0.94,1.53,0.0,1.21,3.78,2.54,3.86,7.29,0.54,6.62,3.5,0.54,0.0,1.32,0.38,4.74,6.4,4.13,0.94,0.0,4.05,6.21,4.32,1.75,2.56,2.96,7.17,1.53,1.32,19.74,8.37,2.2,6.89,21.74,5.62,7.83,0.0
11002,1.16,1.29,0.0,0.0,0.82,0.33,0.0,0.0,0.0,0.0,0.67,0.0,0.67,4.13,0.67,0.67,0.47,1.0,1.53,4.33,8.5,13.03,0.0,0.0,1.77,1.16,0.67,7.67,0.94,0.0,1.25,0.47,0.94,1.29,1.63,7.12,0.94,0.33,7.76,2.59,0.67,0.0,1.68,2.79,0.0,0.0,6.46,0.33,0.0,0.33,0.33,0.33,0.0,1.16,0.33,7.28,2.71,11.29,6.72,1.77,1.42,5.06,4.43,7.28,17.25,4.23,2.24,0.0,0.82,0.0,0.33,1.63,0.33,0.82,1.06,0.82,0.33,0.33,1.77,0.0,3.42,6.72,0.33,0.67,1.89,0.33,1.73,0.0,3.06,0.33,7.66,0.0,1.89,0.0,0.47,1.49,0.47,1.89,5.78,4.36,1.97,5.53,14.26,2.59,17.88,11.54,0.67,2.79,0.67,2.59,2.48,0.33,0.0,0.82,0.67,0.82,6.16,9.2,0.0,7.54,3.06,0.67,0.0,0.0,0.0,2.59,10.01,6.72,0.94,4.95,11.03,22.06,3.4,2.83,0.58,3.18,7.49,1.73,0.0,24.37,3.06,0.0,12.45,19.46,6.06,5.48
2537,1.22,0.0,0.0,0.0,1.83,0.0,0.0,0.0,0.0,0.53,0.43,0.0,0.0,1.29,0.86,0.43,0.3,0.96,2.98,3.65,21.39,26.7,0.53,0.0,0.0,7.17,0.0,8.06,2.55,1.18,0.61,0.86,0.3,0.53,0.0,1.18,0.75,3.97,25.98,17.45,12.07,11.62,52.37,23.25,0.0,0.53,9.25,0.0,0.0,1.05,0.68,0.0,0.0,0.96,3.76,18.48,7.1,6.45,13.12,1.05,0.3,0.0,1.92,1.05,8.32,0.43,0.61,0.0,1.58,0.0,0.0,0.0,0.0,1.83,1.49,1.49,0.91,1.29,1.05,0.0,1.92,11.58,0.0,0.53,0.43,0.0,0.0,0.0,5.48,1.22,3.76,0.0,4.08,0.0,0.68,1.58,0.0,0.68,0.75,2.72,15.48,39.08,17.39,2.72,12.47,3.53,0.0,4.08,0.61,0.0,0.86,0.68,0.0,0.3,0.0,2.26,1.97,5.69,0.0,7.62,4.91,0.0,0.0,0.0,0.0,0.0,1.83,4.3,0.75,0.75,0.0,0.53,4.28,0.0,0.43,0.53,1.49,0.0,0.3,4.51,3.44,0.43,14.27,18.09,24.31,12.38
439570,2.52,1.16,0.0,0.15,6.53,0.48,0.51,1.0,0.0,0.9,0.85,1.0,0.67,5.86,1.84,1.03,1.96,1.74,1.44,8.86,51.33,43.48,1.27,0.72,2.23,1.27,0.63,15.04,6.68,3.45,1.16,4.44,0.37,0.57,0.3,2.81,6.92,0.73,4.81,3.9,1.29,82.48,7.27,8.24,0.15,1.89,32.5,0.48,0.36,0.21,0.58,0.36,0.41,7.36,2.01,5.87,0.15,0.73,1.93,2.54,1.9,0.97,3.33,3.22,17.99,0.52,0.73,0.3,0.47,0.3,0.0,0.42,0.0,1.0,1.34,0.47,0.15,0.62,0.0,0.3,0.0,2.15,0.26,0.0,0.0,0.15,0.3,0.0,2.22,0.15,1.97,0.15,2.74,0.15,0.0,0.0,0.0,0.73,0.52,0.64,1.35,8.24,2.75,0.68,3.26,0.95,0.0,0.21,0.21,0.0,0.26,0.0,0.0,0.3,0.0,0.45,0.0,2.81,0.85,0.57,0.3,0.0,0.0,0.0,0.0,0.21,0.0,1.94,6.92,0.26,0.58,0.21,1.69,0.0,0.21,0.26,0.0,0.21,0.26,0.78,2.3,0.21,27.13,11.51,50.52,6.69
5281522,0.63,1.16,0.0,0.9,6.6,0.52,0.52,0.37,0.0,0.73,0.63,0.37,0.0,7.51,3.76,2.11,3.63,2.72,0.63,8.92,25.21,25.06,0.37,0.9,0.52,1.16,0.63,27.29,16.06,23.56,0.52,2.2,0.9,0.52,0.0,0.9,0.0,1.8,21.36,17.63,2.2,12.98,5.31,2.69,0.0,0.9,20.28,0.52,1.04,0.52,1.68,0.0,0.52,5.56,0.37,1.04,0.73,2.17,4.79,1.56,0.37,2.2,1.42,0.9,9.97,0.52,1.27,0.0,0.52,0.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.63,0.0,2.43,6.34,0.52,0.0,0.0,0.9,0.0,0.0,3.36,0.9,5.57,0.37,4.67,0.0,1.27,0.37,0.0,0.37,0.52,0.73,2.17,3.81,3.36,3.48,5.3,4.11,0.37,0.52,0.0,0.0,0.73,3.37,0.0,0.0,0.37,0.0,1.1,0.73,0.37,2.69,1.42,0.0,0.0,0.0,0.0,0.0,0.0,3.07,0.0,0.0,0.52,0.37,1.27,0.0,0.52,0.0,0.63,0.0,0.0,2.07,4.02,0.37,15.71,5.5,13.32,8.4
92292,4.4,2.6,0.32,1.24,5.52,0.0,1.01,1.75,0.0,0.0,0.45,0.32,0.32,25.04,5.76,3.26,10.16,17.37,17.52,42.75,57.59,36.14,0.32,3.61,2.07,1.11,1.69,15.33,1.81,2.67,0.32,0.64,1.36,2.67,0.0,0.9,0.32,3.26,18.58,17.67,2.12,3.27,7.42,4.16,0.0,0.9,28.85,0.55,0.78,1.36,1.2,0.0,0.45,0.0,1.11,7.0,2.86,2.35,8.78,1.56,0.0,0.78,1.28,1.75,14.74,0.0,1.56,1.69,0.0,0.0,0.0,0.0,0.32,18.17,2.07,1.81,0.78,0.78,0.0,0.55,2.71,5.52,0.0,0.0,0.0,0.45,0.0,1.28,3.71,1.36,5.19,0.32,20.93,0.0,0.0,1.36,0.0,0.0,0.32,2.71,3.61,5.9,6.2,2.12,8.35,1.24,0.0,1.66,1.36,0.0,0.9,0.0,0.45,0.0,0.32,1.11,1.24,3.16,0.32,3.26,2.35,0.55,0.0,0.0,0.0,0.32,0.45,1.89,0.32,0.0,1.2,0.45,3.16,0.45,1.24,0.32,0.9,0.0,0.0,3.13,16.97,1.56,19.19,21.46,10.2,14.9
28500,0.0,0.36,0.51,0.0,1.26,0.89,0.0,0.36,0.63,0.0,0.51,0.0,0.36,1.03,1.54,0.0,0.51,0.73,3.09,1.26,13.28,19.59,4.75,0.0,6.17,0.89,12.45,11.66,0.89,2.41,0.0,1.26,3.73,2.57,0.51,2.06,0.63,0.0,14.91,3.33,0.0,2.3,0.51,0.0,3.78,4.45,25.27,27.35,14.37,7.06,0.0,12.8,0.36,1.82,0.81,1.03,0.0,1.54,1.67,1.41,22.3,8.45,4.11,3.56,10.15,1.26,1.63,0.89,0.36,1.54,0.36,0.51,0.36,1.03,1.92,2.44,0.0,0.63,0.36,0.36,0.73,7.97,0.0,0.51,0.51,0.89,0.36,1.15,4.08,1.45,17.72,0.73,0.73,3.73,2.93,4.75,0.36,1.41,1.92,0.89,1.36,3.56,3.78,0.89,6.19,1.63,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,1.41,0.51,6.15,1.03,3.21,1.54,0.63,0.0,3.98,0.63,4.11,1.92,0.0,0.63,0.63,1.26,1.41,0.73,0.0,0.73,0.36,0.89,0.0,0.0,4.6,4.36,0.0,5.14,22.04,0.73,12.28
6982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.38,0.0,0.94,0.0,0.0,0.0,3.65,1.48,5.41,7.57,0.38,0.0,1.15,0.0,0.66,4.87,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.38,0.38,8.37,2.29,9.36,1.15,4.32,1.32,0.0,0.76,4.19,0.0,0.0,0.54,0.38,0.0,0.0,0.0,0.76,4.87,5.38,7.06,3.78,0.0,0.0,0.38,2.56,1.15,5.81,0.0,0.54,0.94,1.08,0.0,0.0,0.38,0.0,2.56,2.42,1.87,1.62,2.83,4.83,0.38,5.27,11.08,0.0,1.21,0.66,0.0,0.0,0.66,1.08,1.32,5.27,0.38,1.21,0.0,0.76,0.38,0.0,4.05,6.34,2.42,5.95,8.92,11.24,2.16,7.57,4.83,1.08,1.48,0.0,0.38,0.0,0.0,9.25,1.87,1.32,2.96,8.46,0.0,3.24,1.71,0.0,0.0,0.54,0.38,0.0,4.17,5.41,0.38,3.08,3.65,7.17,4.32,0.94,1.87,0.94,5.54,4.59,1.32,12.99,7.33,0.38,20.77,8.82,4.59,7.67,0.0
637511,1.11,1.69,0.32,0.64,3.95,0.64,0.9,0.9,0.0,1.89,0.32,1.36,0.45,9.04,3.16,1.36,2.93,3.05,3.73,11.74,47.17,42.5,4.52,3.16,12.87,0.45,3.73,52.35,23.69,69.14,1.01,0.32,0.55,0.45,1.43,0.0,0.32,1.89,9.26,5.52,0.9,14.23,3.13,3.61,0.32,3.59,43.25,2.26,2.24,0.45,3.05,0.9,0.96,4.63,0.55,4.37,0.0,0.64,1.11,0.78,0.0,0.55,1.56,0.78,6.43,0.0,0.55,0.32,0.32,0.45,0.0,0.45,0.0,1.69,1.11,0.45,0.0,0.0,0.0,0.0,1.36,2.67,0.45,0.0,0.0,0.32,0.0,0.0,4.4,0.45,2.67,0.0,7.79,0.0,0.32,0.0,0.0,0.32,0.32,0.64,1.11,5.73,3.13,0.96,9.79,0.32,0.0,0.32,0.0,0.0,1.46,0.0,0.32,0.32,0.0,1.36,0.0,5.4,1.01,0.45,2.58,0.64,0.0,0.32,0.0,0.0,0.9,3.32,0.32,0.0,0.0,0.0,0.78,0.0,0.32,0.32,0.32,0.45,0.0,1.46,2.93,0.0,14.99,17.7,7.32,24.94
