Stimulus,"FRUITY,CITRUS",LEMON,GRAPEFRUIT,ORANGE,"FRUITY,OTHER THAN CITRUS",PINEAPPLE,GRAPE JUICE,STRAWBERRY,"APPLE, FRUIT",PEAR,"CANTALOUPE, HONEYDEW MELON",PEACH FRUIT,BANANA,FLORAL,ROSE,VIOLETS,LAVENDER,COLOGNE,MUSK,PERFUMERY,FRAGRANT,AROMATIC,HONEY,"CHERRY, BERRY",ALMOND,NAIL POLISH REMOVER,"NUTTY, WALNUT ETC.",SPICY,CLOVE,CINNAMON,LAUREL LEAVES,TEA LEAVES,SEASONING FOR MEAT,BLACK PEPPER,GREEN PEPPER,DILL,CARAWAY,"OAK WOOD,COGNAC","WOODY, RESINOUS",CEDARWOOD,MOTHBALLS,"MINTY, PEPPERMINT",CAMPHOR,EUCALYPTUS,CHOCOLATE,VANILLA,SWEET,MAPLE SYRUP,CARAMEL,MALTY,RAISINS,MOLASSES,COCONUT,"ANISE, LICORICE",ALCOHOLIC,"ETHERISH, ANAESTHETIC",CLEANING FLUID,"GASOLINE, SOLVENT","TURPENTINE, PINE OIL",GERANIUM LEAVES,CELERY,FRESH GREEN VEGETABLES,CRUSHED WEEDS,CRUSHED GRASS,"HERBAL, GREEN,CUTGRASS",RAW CUCUMBER,HAY,GRAINY (AS GRAIN),YEASTY,BAKERY (FRESH BREAD),SOUR MILK,"FERMENTED, ROTTEN FRUIT",BEERY,SOAPY,LEATHER,CARDBOARD,ROPE,WET PAPER,"WET WOOL,WET DOG",DIRTY LINEN,STALE,"MUSTY, EARTHY, MOLDY",RAW POTATO,MOUSE,MUSHROOM,PEANUT BUTTER,BEANY,"EGGY, FRESH EGGS","BARK,BIRCHBARK",CORK,"BURNT,SMOKY",FRESH TOBACCO SMOKE,INCENSE,COFFEE,STALE TOBACCO SMOKE,BURNT PAPER,BURNT MILK,BURNT RUBBER,TAR,CREOSOTE,"DISINFECTANT, CARBOLIC",MEDICINAL,CHEMICAL,BITTER,"SHARP, PUNGENT, ACID","SOUR, VINEGAR",SAUERKRAUT,AMMONIA,URINE,CAT URINE,FISHY,"KIPPERY,SMOKED FISH","SEMINAL, SPERM-LIKE",NEW RUBBER,SOOTY,BURNT CANDLE,KEROSENE,"OILY, FATTY","BUTTERY, FRESH BUTTER",PAINT,VARNISH,POPCORN,FRIED CHICKEN,"MEATY ( COOKED,GOOD)",SOUPY,COOKED VEGETABLES,RANCID,SWEATY,CHEESY,HOUSEHOLD GAS,SULFIDIC,"GARLIC, ONION",METALLIC,"BLOOD, RAW MEAT",ANIMAL,SEWER,"PUTRID, FOUL, DECAYED","FECAL, LIKE MANURE",CADAVEROUS,SICKENING,"DRY, POWDERY",CHALKY,LIGHT,HEAVY,"COOL,COOLING",WARM
Abhexone_high,0.0,0.0,0.0,0.0,1.48,0.0,0.74,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.74,22.22,21.48,4.44,0.74,18.52,0.0,12.59,16.3,1.48,2.22,0.0,0.74,9.63,4.44,0.0,2.22,2.22,3.7,15.56,1.48,0.74,0.74,2.22,0.0,3.7,10.37,28.89,28.89,22.22,9.63,1.48,11.85,3.7,2.96,2.22,2.22,1.48,0.74,1.48,0.0,10.37,2.96,0.74,0.74,5.19,0.74,0.74,0.74,0.0,0.0,0.0,1.48,0.0,0.74,1.48,1.48,0.74,1.48,1.48,0.0,3.7,5.93,0.74,0.0,0.74,1.48,0.74,0.74,2.96,2.22,23.7,0.0,0.0,9.63,3.7,8.15,0.0,0.74,5.19,1.48,1.48,3.7,7.41,3.7,10.37,5.93,0.74,1.48,0.0,0.0,2.96,4.44,0.0,0.0,1.48,2.96,0.74,3.7,6.67,0.74,0.74,2.22,0.0,4.44,0.74,2.22,2.22,3.7,2.22,0.0,2.22,2.96,0.74,0.74,0.0,1.48,2.96,0.74,0.74,10.37,7.41,0.0,19.26,23.7,2.96,11.85
Acetophenone_high,2.34,0.67,0.34,0.67,11.71,1.0,2.01,3.01,0.0,2.01,1.0,1.34,2.68,23.74,11.38,9.7,11.04,9.36,11.03,29.09,52.85,53.51,4.35,14.72,44.82,12.05,4.68,21.41,7.02,9.37,0.67,0.33,0.0,0.34,0.33,1.67,0.0,4.35,27.1,17.39,24.09,9.7,20.08,11.04,0.34,6.36,41.48,1.34,2.35,1.34,1.34,1.0,1.67,6.02,7.03,22.41,13.38,13.71,17.4,3.01,0.67,1.34,2.34,2.34,20.07,0.33,3.35,0.0,1.34,0.0,0.0,1.0,0.67,8.36,4.01,2.67,0.67,0.33,2.34,1.0,4.01,12.04,0.0,0.34,0.34,0.0,0.0,0.0,7.02,0.67,10.37,0.34,15.05,0.0,0.67,1.0,0.0,2.68,10.04,14.73,18.4,23.74,29.11,4.68,17.74,4.35,0.0,3.01,1.67,2.0,1.0,0.0,0.34,3.68,0.0,3.01,3.35,14.39,1.34,14.72,14.05,0.33,0.0,1.0,0.0,0.33,3.34,9.7,0.0,0.67,2.0,1.0,6.69,0.34,2.0,1.0,2.68,1.0,1.0,14.39,6.02,0.0,16.38,39.15,15.72,25.76
AcetylPyridine_high,0.0,0.71,0.0,0.0,0.71,0.0,0.0,2.14,0.0,0.0,0.0,0.0,0.0,0.71,0.71,0.0,0.0,0.0,4.29,0.71,12.86,12.14,0.0,0.0,22.86,0.71,24.29,14.29,0.0,0.0,0.0,0.0,6.43,5.0,2.86,1.43,0.71,0.71,17.86,2.14,0.71,0.0,0.0,0.71,2.14,2.17,7.86,0.71,0.0,5.0,0.0,0.71,0.0,0.0,0.71,0.71,1.43,0.0,0.0,0.71,0.0,2.14,2.14,2.14,3.57,0.71,5.0,18.57,7.14,4.29,0.0,0.71,0.71,1.43,2.86,3.57,1.43,0.71,5.0,5.0,14.29,23.57,3.57,3.57,5.0,20.71,4.29,0.0,3.57,3.57,32.14,1.43,1.43,1.43,3.57,6.43,2.86,0.71,3.57,1.43,2.86,2.14,5.71,3.57,10.0,2.86,1.43,2.14,0.71,0.0,1.43,0.71,0.0,0.0,2.14,2.86,0.0,33.57,12.14,1.43,0.0,44.29,3.57,10.71,2.14,8.57,15.0,16.43,0.71,0.71,5.71,7.14,2.14,4.29,5.0,2.86,8.57,1.43,2.14,16.43,15.71,3.57,6.43,30.0,0.0,19.29
Adoxal_high,6.9,5.17,1.72,6.03,5.17,5.17,0.0,1.72,0.86,1.72,6.03,1.72,0.86,15.52,4.31,2.59,2.59,7.76,0.86,13.79,23.28,20.69,0.86,3.45,0.86,0.0,0.0,8.62,0.0,0.0,1.72,3.45,0.0,0.86,0.0,1.72,0.0,3.45,17.24,4.31,1.72,1.72,1.72,0.86,0.0,0.0,19.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,9.48,2.59,3.45,5.17,6.03,4.31,7.76,7.76,7.76,18.1,2.59,0.0,0.0,0.86,0.0,0.0,1.72,0.0,12.93,0.0,0.86,2.59,0.86,3.45,2.59,3.45,17.24,0.86,0.0,0.86,0.0,0.86,2.59,1.72,3.45,15.52,0.0,4.31,0.0,3.45,4.31,0.0,2.59,0.0,1.72,2.59,5.17,12.07,4.31,20.69,10.34,0.0,0.86,1.72,1.72,1.72,0.0,0.0,0.0,4.31,13.79,2.59,6.9,0.0,3.45,2.59,0.0,0.0,0.0,0.86,0.86,10.34,6.03,0.0,0.0,5.17,1.72,6.03,0.86,1.72,1.72,3.45,0.0,0.0,25.0,6.03,2.59,23.28,15.52,8.62,12.93
AldehydeC-16highcon_high,15.08,5.56,0.0,9.52,61.11,11.11,13.49,39.68,0.79,7.14,10.32,10.32,3.97,19.05,7.14,3.17,2.38,3.17,1.59,20.63,53.17,37.3,3.97,26.19,5.56,0.79,0.0,4.76,0.79,1.59,0.79,1.59,0.0,0.0,0.0,0.0,0.0,0.0,3.17,0.79,0.0,1.59,0.0,0.0,0.0,3.97,68.25,0.0,0.0,1.59,2.38,1.59,1.59,2.38,2.38,0.79,0.0,0.0,0.0,0.79,0.0,0.0,0.79,0.0,9.52,0.0,0.0,0.0,0.79,0.0,1.59,2.38,3.17,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.79,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59,0.0,6.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.79,0.0,4.76,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.79,0.79,0.0,0.0,0.0,0.79,0.0,1.59,3.17,0.0,0.0,0.0,0.0,1.59,0.79,0.79,0.0,0.79,0.0,0.0,2.38,0.79,0.79,28.57,7.14,15.87,6.35
AldehydeC-16lowcon_low,18.5,12.86,0.71,11.43,70.71,12.14,35.0,42.86,0.0,10.71,7.14,12.14,5.71,22.86,5.0,6.43,5.71,4.29,2.86,31.43,70.71,51.43,6.43,39.29,3.57,0.0,0.71,10.0,2.14,0.71,0.0,0.71,0.0,0.0,0.0,0.0,0.0,2.14,3.57,1.43,0.71,7.86,0.71,0.71,0.71,5.0,78.57,0.71,2.86,0.71,2.14,0.71,2.86,2.14,0.71,2.86,0.0,1.43,0.71,0.71,0.0,0.0,0.71,0.71,2.14,0.0,0.0,0.0,0.0,0.0,0.71,1.43,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,12.14,0.0,0.71,0.0,0.0,0.0,0.0,0.0,2.14,2.14,5.71,1.43,5.71,8.57,0.0,0.0,0.71,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,3.57,0.0,0.71,2.14,0.0,0.71,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.71,0.71,0.71,1.43,0.71,5.0,5.71,0.71,29.29,12.86,15.0,13.57
AldehydeC-18_high,3.94,1.57,0.0,0.0,18.9,3.94,0.0,1.57,0.0,1.57,0.79,4.72,3.15,7.87,2.36,0.0,0.79,0.79,3.94,10.24,44.88,37.8,1.57,1.57,17.32,0.0,5.51,3.94,0.79,1.57,0.0,0.79,0.79,0.79,0.0,0.0,0.0,1.57,11.02,0.79,0.0,2.36,1.57,0.79,1.57,19.69,59.06,3.15,3.94,4.72,0.79,0.79,72.44,1.57,1.57,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.0,0.79,0.72,0.0,2.36,3.15,0.0,2.36,0.0,0.79,0.0,4.72,3.15,1.57,0.79,1.57,0.79,0.79,2.36,5.51,0.0,0.79,0.0,0.79,0.0,0.79,1.57,2.36,2.36,0.0,5.51,0.79,0.79,2.36,0.0,0.0,0.79,0.79,1.57,1.57,1.57,1.57,7.87,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,4.72,0.0,14.17,3.94,3.94,0.0,0.79,0.0,0.0,0.0,0.79,2.36,1.57,0.0,0.0,1.57,0.0,1.57,0.0,0.79,0.0,1.57,0.0,0.0,3.94,7.09,3.15,11.81,27.56,7.87,19.69
AllylCaproate_high,29.53,20.81,6.04,18.12,63.09,48.99,6.71,14.77,0.67,18.12,14.77,12.08,6.71,24.83,2.68,2.68,4.03,4.7,0.67,21.48,63.76,44.97,4.7,20.81,2.68,0.67,0.0,11.41,2.68,3.36,1.34,0.67,1.34,0.67,0.67,0.67,0.0,0.67,4.7,2.68,1.34,16.11,3.36,4.7,0.67,3.36,59.73,0.67,0.0,0.67,0.67,1.34,4.03,3.36,2.01,4.03,0.67,0.67,1.34,0.0,0.67,2.01,0.67,0.36,14.77,0.0,0.0,0.0,0.67,0.0,0.0,4.7,0.67,0.67,1.34,0.0,0.0,0.0,0.67,0.67,1.34,1.34,0.67,0.0,0.0,0.0,0.0,0.0,5.37,0.67,1.34,0.0,0.38,0.0,0.7,0.0,0.0,0.0,0.67,0.67,1.34,3.36,6.04,1.34,8.05,7.38,0.0,0.67,0.67,0.67,1.34,0.0,0.0,0.0,0.0,0.0,0.67,4.7,0.67,0.0,1.34,0.0,0.0,0.0,0.67,0.0,0.67,2.01,0.0,0.0,0.0,0.0,3.36,0.0,0.67,0.67,2.01,0.0,0.67,0.67,3.36,0.67,39.6,8.72,24.83,8.05
AmylAcetateiso-amylAcetat_high,7.91,2.88,0.72,5.04,51.8,10.79,2.16,4.32,0.0,11.51,9.35,5.04,43.17,13.67,1.44,0.0,0.72,3.6,0.0,20.14,47.48,41.73,2.88,9.35,2.88,28.06,0.72,7.19,0.0,0.0,0.72,0.72,0.0,0.0,0.0,0.72,0.0,1.44,7.19,1.44,0.72,7.91,0.72,1.44,0.0,3.6,54.68,0.0,0.0,2.16,2.88,1.44,5.04,2.88,7.91,15.11,7.19,10.07,9.35,0.72,0.72,0.72,0.0,0.72,3.6,0.0,0.72,0.72,0.0,0.0,0.0,2.16,1.44,0.72,0.72,0.72,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,1.44,0.0,0.72,4.32,0.0,0.0,0.72,0.0,0.0,1.44,0.0,4.32,2.16,15.83,0.0,5.76,0.72,0.0,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16,5.04,0.72,16.55,8.63,0.0,0.0,0.0,0.0,0.72,0.0,0.72,0.0,0.72,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,2.88,2.88,0.0,24.46,13.67,11.51,11.51
AmylButyrate_high,6.0,6.67,2.0,2.67,31.4,13.33,4.67,9.33,1.33,6.67,4.07,6.0,8.67,9.33,3.33,2.0,3.33,0.67,2.67,14.0,31.33,28.67,2.67,9.33,2.67,2.0,0.67,6.67,1.33,0.67,1.33,0.67,2.67,0.0,0.67,2.0,0.0,2.0,8.67,4.67,2.0,5.33,2.67,2.0,1.33,2.0,27.4,0.0,0.67,2.73,2.0,0.0,0.67,0.67,4.07,6.67,2.0,2.67,1.33,2.67,0.0,2.0,2.0,2.0,8.0,0.0,0.0,1.33,4.73,0.0,5.4,6.67,1.33,1.33,1.33,3.4,0.0,1.33,0.67,2.07,5.33,10.0,1.4,0.67,1.33,0.0,0.0,0.67,4.67,0.67,2.73,0.0,2.0,0.0,0.0,0.67,0.0,0.0,0.67,0.0,4.0,4.0,11.33,4.0,19.33,18.0,1.33,0.67,0.67,2.0,0.67,1.33,0.0,0.0,0.67,1.33,0.0,10.07,5.33,5.33,2.67,0.67,0.67,0.67,1.33,1.33,25.53,19.47,0.0,0.0,4.0,1.33,5.33,4.73,3.33,4.0,14.8,10.67,2.67,24.13,6.67,0.73,19.33,14.8,10.0,8.67
