CID,I_max,C,D
8363,7.2,-2.78,0.6
8365,45.06,-0.58,0.48
8369,37.51,-1.32,0.41
8432,40.98,1.37,0.41
8438,29.56,0.23,0.41
8467,43.45,-1.06,0.45
8469,30.43,-0.65,0.09
8499,17.84,0.64,0.12
8635,30.49,1.36,0.59
8785,35.31,0.74,0.43
8797,35.62,0.95,0.68
8821,48.08,0.42,0.85
8842,32.29,0.72,0.53
8857,35.06,2.95,0.35
8868,44.94,1.36,0.45
8878,40.73,0.69,0.69
8908,48.92,1.66,0.84
8914,29.81,1.18,0.34
9017,39.95,0.08,0.39
9024,34.97,1.21,0.45
10353,44.64,1.54,0.46
10795,66.44,3.02,0.92
10947,2.9,-1.71,0.37
11463,41.83,1.08,0.68
12180,61.9,1.27,0.89
12756,51.21,1.71,0.53
12810,40.11,-0.91,0.1
12813,25.69,-0.83,0.24
12844,27.46,-1.83,0.35
14235,34.34,1.46,0.49
14489,72.19,1.94,0.7
14896,44.33,2.08,0.6
15406,52.15,1.04,0.42
16299,15.2,-1.2,0.11
16441,56.27,0.93,0.56
16666,33.06,0.66,0.46
16821,28.3,-1.18,0.14
17100,51.35,0.66,0.58
17100,34.59,0.83,0.48
17121,54.08,1.66,0.87
17525,45.58,1.24,0.56
17617,45.18,0.96,0.49
17739,34.34,1.7,0.17
18698,35.68,0.01,0.19
18756,46.66,2.22,0.57
18827,41.28,0.93,0.62
18938,41.11,1.76,0.38
19089,50.53,1.26,0.79
20487,29.65,-0.54,0.49
20739,49.73,0.98,0.46
21059,49.29,-1.59,0.61
21648,21.91,-0.52,0.35
21895,40.75,-1.85,0.55
22310,40.96,1.51,0.6
22311,52.62,1.71,0.5
22629,7.79,-1.72,0.68
24020,77.55,0.63,1.21
24117,24.82,-0.02,0.25
24915,32.43,0.47,0.3
25612,19.69,-0.98,0.37
26447,46.69,1.27,0.6
27866,50.32,1.26,0.69
29096,45.47,0.88,0.83
31209,30.79,-1.86,0.34
31219,34.24,0.86,0.28
31225,34.3,0.87,0.32
31234,41.32,0.02,0.38
31244,39.89,0.67,0.4
31251,33.54,1.48,0.18
31253,49.14,1.05,0.8
31260,48.56,1.42,0.78
31265,71.87,2.67,0.88
31266,61.79,1.6,0.8
31272,81.23,2.54,0.89
31276,84.97,3.07,0.9
31289,52.35,1.35,0.82
32052,47.67,-0.15,0.49
36081,39.71,1.3,0.63
60985,24.9,0.65,0.44
60995,41.82,0.26,0.58
61005,28.83,-0.47,0.21
61007,29.82,-1.19,0.45
61016,45.92,-0.64,0.95
61031,48.3,0.67,0.53
61040,39.82,0.3,0.62
61041,48.97,0.29,0.71
61079,14.76,-0.9,0.35
61204,32.98,-1.23,0.13
61334,48.78,-0.94,0.56
61585,14.74,-2.03,0.38
62098,8.37,-1.98,0.47
62334,30.91,1.21,0.44
62341,38.9,1.86,0.45
62378,39.88,-0.06,0.44
62902,70.38,1.26,1.22
64685,43.67,-0.07,0.52
64805,23.06,-1.91,0.47
64813,35.03,-0.57,0.23
65575,6.73,-0.8,0.14
80865,42.03,1.05,0.63
83268,42.89,0.76,0.58
86579,31.74,0.06,0.61
87453,25.86,-0.19,0.08
89440,13.89,-0.66,0.58
90978,31.42,-0.34,0.51
91497,16.67,-1.14,0.56
91604,25.22,-2.18,0.09
92292,35.04,0.95,0.63
92606,54.96,-0.06,0.97
93199,34.47,-0.18,0.27
93375,73.42,1.4,0.88
94111,8.9,-0.51,0.67
95560,60.08,1.17,0.63
101330,10.07,-1.09,0.51
101604,24.1,1.3,0.38
102844,42.75,1.58,0.49
102861,15.83,-0.7,0.37
102916,38.22,1.65,0.5
105512,42.47,0.33,0.36
105664,26.92,0.37,0.55
106714,23.26,3.4,0.64
106729,59.5,0.15,0.6
106745,30.73,0.21,0.59
106748,40.01,0.56,0.49
106866,41.75,-0.43,0.61
107166,23.86,-0.67,0.11
107381,41.51,0.22,0.48
108242,29.16,-0.18,0.43
108312,28.72,-0.72,0.7
108443,43.92,1.12,0.66
109116,38.94,0.63,0.33
109418,29.91,1.34,0.43
110655,41.15,0.71,0.54
110914,26.79,-0.96,0.37
111037,40.69,0.09,0.5
111418,19.89,-0.16,0.44
111727,36.2,-1.08,0.4
113514,41.03,0.84,0.51
116699,23.3,-0.46,0.75
118134,22.65,-0.5,0.14
118201,51.12,1.22,0.58
118292,26.06,-0.21,0.39
120101,44.56,-0.65,0.46
157342,44.72,1.18,0.69
159055,51.04,1.47,0.51
160641,38.02,-0.38,0.4
162268,14.5,-2.48,0.27
162413,30.08,2.05,0.38
163588,31.66,1.65,0.29
164422,6.93,0.05,0.37
166523,25.54,1.71,0.36
225700,37.09,-0.64,0.61
228987,35.47,-0.67,0.26
234237,41.77,-0.6,0.37
235414,6.29,-1.36,0.18
249494,8.53,-1.61,0.14
439570,48.78,1.31,0.69
440968,47.36,2.08,0.79
517827,29.71,-0.7,0.44
519382,29.83,0.64,0.45
522514,43.19,2.39,0.96
637511,40.44,0.62,0.07
637520,39.82,0.01,0.44
637566,29.88,0.17,0.35
637758,26.9,-1.52,0.56
637776,37.97,-1.75,0.44
638011,44.11,0.66,0.66
638014,53.35,-0.09,0.68
643820,29.66,0.68,0.52
853433,39.34,-0.54,0.31
876160,29.42,-2.35,0.54
1268142,27.13,-2.24,0.36
1549018,40.15,-0.35,0.28
1549025,29.85,-0.08,0.4
1549026,25.52,-0.43,0.35
2733294,48.31,1.44,0.44
3017432,35.09,0.73,0.53
3017783,39.7,1.87,0.59
3782139,36.42,0.3,0.23
5281167,57.45,0.85,0.59
5281168,70.22,1.3,0.7
5281515,20.21,1.71,0.1
5282108,37.15,1.31,0.19
5282110,41.42,-1.39,0.62
5283345,20.82,1.39,0.76
5283361,47.26,-1.39,0.38
5284507,39.68,-0.88,0.49
5315892,34.87,-1.61,0.36
5318042,51.49,1.74,0.68
5325830,39.89,1.87,0.44
5352438,50.27,0.97,0.71
5352481,9.25,-0.06,0.11
5352539,56.99,1.89,0.43
5352543,49.56,0.71,0.58
5355856,38.1,-0.61,0.26
5362620,60.69,0.42,0.77
5362720,59.93,-0.19,0.87
5362792,26.97,-0.65,0.47
5362814,79.63,-0.06,0.7
5362833,47.41,-0.27,0.6
5363388,71.83,1.35,0.84
5365699,54.43,0.87,0.57
5365916,50.03,0.6,0.72
5365976,30.67,-0.57,0.26
5366074,55.82,-1.5,0.44
5366077,49.33,0.35,0.54
5367706,34.77,-1.53,0.52
5371102,23.36,-1.17,0.13
