Test UID,Answer,Components in mixtures,Components that differ,% mixture overlap,Stimulus dilution,Molecule 1,Molecule 2,Molecule 3,Molecule 4,Molecule 5,Molecule 6,Molecule 7,Molecule 8,Molecule 9,Molecule 10,Molecule 11,Molecule 12,Molecule 13,Molecule 14,Molecule 15,Molecule 16,Molecule 17,Molecule 18,Molecule 19,Molecule 20,Molecule 21,Molecule 22,Molecule 23,Molecule 24,Molecule 25,Molecule 26,Molecule 27,Molecule 28,Molecule 29,Molecule 30
18,right,30,20,33.33,0.25,8048,5281168,7888,6448,1031,440917,7762,7150,31249,8892,16666,7799,7654,5283349,7583,31272,4133,460,61016,176,12741,1060,12180,62444,22201,7600,443162,10882,6654,261
18,wrong,30,20,33.33,0.5,8048,5281168,7888,6448,1031,440917,7762,7150,31249,8892,62433,7714,2879,2969,7410,7731,10821,14286,10976,7921,7848,91497,62465,8635,61138,5281515,6561,8030,11509,22386
18,wrong,30,20,33.33,1.0,8048,5281168,7888,6448,1031,440917,7762,7150,31249,8892,62433,7714,2879,2969,7410,7731,10821,14286,10976,7921,7848,91497,62465,8635,61138,5281515,6561,8030,11509,22386
19,right,30,10,66.67,0.5,7463,31244,12348,62465,91497,31276,7059,8148,6982,26331,7991,8635,7583,8025,11002,19310,7344,2879,8091,443162,454,4133,15380,8797,1060,637511,6654,6590,10430,177
19,wrong,30,10,66.67,1.0,7463,31244,12348,62465,91497,31276,7059,8148,6982,26331,7991,8635,7583,8025,11002,19310,7344,2879,8091,443162,1068,12020,7685,7966,62433,7799,7363,7519,22201,7600
19,wrong,30,10,66.67,0.25,7463,31244,12348,62465,91497,31276,7059,8148,6982,26331,7991,8635,7583,8025,11002,19310,7344,2879,8091,443162,1068,12020,7685,7966,62433,7799,7363,7519,22201,7600
20,right,30,10,66.67,0.5,8186,326,26331,22201,22873,6184,12178,7710,177,8797,62433,61016,7793,7059,1060,10882,10560,7848,31244,637511,240,798,7749,3314,7731,31265,2969,10890,6736,7583
20,wrong,30,10,66.67,0.25,8186,326,26331,22201,22873,6184,12178,7710,177,8797,62433,61016,7793,7059,1060,10882,10560,7848,31244,637511,7410,7632,179,6561,6590,11124,11002,15380,31249,31272
20,wrong,30,10,66.67,1.0,8186,326,26331,22201,22873,6184,12178,7710,177,8797,62433,61016,7793,7059,1060,10882,10560,7848,31244,637511,7410,7632,179,6561,6590,11124,11002,15380,31249,31272
21,right,10,4,60.0,0.25,7059,7714,10722,7710,1127,7921,179,3314,22386,26331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,wrong,10,4,60.0,1.0,7059,7714,10722,7710,1127,7921,11552,7749,8091,6501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,wrong,10,4,60.0,0.5,7059,7714,10722,7710,1127,7921,11552,7749,8091,6501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,right,20,15,25.0,0.5,7344,2879,999,31244,10722,1060,443158,12348,7150,7600,7848,8918,443162,1068,8048,8635,440967,6184,179,6501,0,0,0,0,0,0,0,0,0,0
22,wrong,20,15,25.0,1.0,7344,2879,999,31244,10722,7519,6054,326,24915,6654,180,8130,7583,10821,10882,6736,5283349,7762,12367,11509,0,0,0,0,0,0,0,0,0,0
22,wrong,20,15,25.0,0.25,7344,2879,999,31244,10722,7519,6054,326,24915,6654,180,8130,7583,10821,10882,6736,5283349,7762,12367,11509,0,0,0,0,0,0,0,0,0,0
23,right,10,4,60.0,0.25,4133,7799,6590,8148,7714,10976,180,11124,22386,8918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,wrong,10,4,60.0,1.0,4133,7799,6590,8148,7714,10976,440967,3314,26331,6736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,wrong,10,4,60.0,0.5,4133,7799,6590,8148,7714,10976,440967,3314,26331,6736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,right,30,10,66.67,1.0,8130,7966,7731,8103,3776,62336,8025,10976,12232,612,31265,12020,326,7600,443162,454,7685,22873,11124,7460,179,5283349,5373603,6590,8030,6054,1031,637511,7848,7583
24,wrong,30,10,66.67,0.5,8130,7966,7731,8103,3776,62336,8025,10976,12232,612,31265,12020,326,7600,443162,454,7685,22873,11124,7460,176,26331,12178,7749,7991,22201,31276,7150,8918,6654
