CID,MolecularWeight,IsomericSMILES,IUPACName,name,Odorant name,C.A.S.,% odorant,Solvent
6989,150.22,CC1=CC(=C(C=C1)C(C)C)O,5-methyl-2-propan-2-ylphenol,thymol,thymol,89-83-8,1.0,"1,2-propanediol"
7059,143.18,CC1=CC2=C(C=C1)N=CC=C2,6-methylquinoline,6-methylquinoline,para-methyl quinoline,91-62-3,0.25,"1,2-propanediol"
7150,136.15,COC(=O)C1=CC=CC=C1,methyl benzoate,methyl benzoate,methyl benzoate,93-58-3,0.5,"1,2-propanediol"
7165,150.17,CCOC(=O)C1=CC=CC=C1,ethyl benzoate,ethyl benzoate,ethyl benzoate,93-89-0,0.005,"1,2-propanediol"
7344,118.13,CCOC(=O)C(C)O,ethyl 2-hydroxypropanoate,ethyl lactate,ethyl 2-hydroxypropanoate,97-64-3,20.0,"1,2-propanediol"
7363,114.17,C1=COC(=C1)CS,furan-2-ylmethanethiol,furfuryl mercaptan,furfuryl mercaptan,98-02-2,0.001,"1,2-propanediol"
7410,120.15,CC(=O)C1=CC=CC=C1,1-phenylethanone,acetophenone,acetophenone,98-86-2,0.15,mineral oil
7460,136.23,CC1=CCC(C=C1)C(C)C,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",alpha-phellandrene,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",99-83-2,0.5,mineral oil
7463,134.22,CC1=CC=C(C=C1)C(C)C,1-methyl-4-propan-2-ylbenzene,p-cymene,1-Isopropyl-4-methylbenzene,99-87-6,0.5,"1,2-propanediol"
7519,108.14,COC1=CC=CC=C1,anisole,anisole,anisole,100-66-3,0.2,"1,2-propanediol"
7583,170.21,C1=CC=C(C=C1)OC2=CC=CC=C2,phenoxybenzene,diphenyl ether,diphenyl oxide,101-84-8,1.0,mineral oil
7600,206.28,CC(C)CCOC(=O)CC1=CC=CC=C1,3-methylbutyl 2-phenylacetate,isoamyl phenylacetate,iso-pentyl phenyl acetate,102-19-2,0.5,mineral oil
7632,164.24,CC(C)(CCC1=CC=CC=C1)O,2-methyl-4-phenylbutan-2-ol,2-methyl-4-phenyl-2-butanol,muguet carbinol,103-05-9,100.0,"1,2-propanediol"
7654,164.2,CC(=O)OCCC1=CC=CC=C1,2-phenylethyl acetate,phenethyl acetate,2-phenylethyl acetate,103-45-7,100.0,None
7685,178.23,CC1=CC=C(C=C1)OC(=O)C(C)C,(4-methylphenyl) 2-methylpropanoate,p-tolyl isobutyrate,p-cresyl-iso-butyrate,103-93-5,10.0,mineral oil
7710,156.22,CCCCCC1CCC(=O)O1,5-pentyloxolan-2-one,gamma-nonalactone,gamma-nonalactone,104-61-0,0.5,mineral oil
7714,184.27,CCCCCCCC1CCC(=O)O1,5-heptyloxolan-2-one,gamma-undecalactone,gamma-undecalactone,104-67-6,10.0,mineral oil
7731,122.16,CC1=CC=C(C=C1)OC,1-methoxy-4-methylbenzene,4-methylanisole,4-methyl anisole,104-93-8,0.15,mineral oil
7749,102.13,CCC(=O)OCC,ethyl propanoate,ethyl propionate,ethyl propionate,105-37-3,0.25,mineral oil
7762,116.16,CCCC(=O)OCC,ethyl butanoate,ethyl butyrate,ethyl butyrate,105-54-4,0.01,mineral oil
7793,156.26,C[C@@H](CCC=C(C)C)CCO,"(3S)-3,7-dimethyloct-6-en-1-ol",7540-51-4,"(3S)-3,7-dimethyloct-6-en-1-ol",7540-51-4,1.0,"1,2-propanediol"
7799,172.26,CCCCCCCC(=O)OCC,ethyl octanoate,ethyl octanoate,ethyl octanoate,106-32-1,1.0,"1,2-propanediol"
7848,76.16,CCCS,propane-1-thiol,1-propanethiol,propane-1-thiol,107-03-9,0.0005,"1,2-propanediol"
7888,172.26,CC(CCCC(C)(C)O)CC=O,"7-hydroxy-3,7-dimethyloctanal",hydroxycitronellal,hydroxy citronellal,107-75-5,50.0,mineral oil
7921,100.12,CC1CCC(=O)O1,5-methyloxolan-2-one,gamma-valerolactone,gamma-valerolactone,108-29-2,0.2,"1,2-propanediol"
7966,100.16,C1CCC(CC1)O,cyclohexanol,cyclohexanol,cyclohexanol,108-93-0,0.4,mineral oil
7991,102.13,CCCCC(=O)O,pentanoic acid,valeric acid,pentanoic acid,109-52-4,0.1,mineral oil
8025,74.08,CCOC=O,ethyl formate,ethyl formate,ethyl formate,109-94-4,8.33,"1,2-propanediol"
8030,84.14,C1=CSC=C1,thiophene,thiophene,thiophene,110-02-1,2.5,mineral oil
8048,200.32,CCCCCCCCCC(=O)OCC,ethyl decanoate,ethyl decanoate,ethyl decanoate,110-38-3,100.0,None
8051,114.19,CCCCCC(=O)C,heptan-2-one,2-heptanone,heptan-2-one,110-43-0,0.33,"1,2-propanediol"
8091,158.24,CCCCCCCC(=O)OC,methyl octanoate,methyl octanoate,methyl octanoate,111-11-5,3.5,"1,2-propanediol"
8103,102.17,CCCCCCO,hexan-1-ol,1-hexanol,1-hexanol,111-27-3,1.0,mineral oil
8118,118.24,CCCSCCC,1-propylsulfanylpropane,propyl sulfide,propyl sulfide,111-47-7,0.1,mineral oil
8130,114.19,CCCCCCC=O,heptanal,heptanal,heptanal,111-71-7,0.04,mineral oil
8148,129.24,CCCCNCCCC,N-butylbutan-1-amine,dibutylamine,dibutyl amine,111-92-2,3.0,"1,2-propanediol"
8186,170.29,CCCCCCCCCCC=O,undecanal,undecanal,undecanal,112-44-7,0.2,"1,2-propanediol"
8635,151.16,COC(=O)C1=CC=CC=C1N,methyl 2-aminobenzoate,methyl anthranilate,methyl anthranilate,134-20-3,0.35,mineral oil
8797,150.17,CC1=CC=C(C=C1)OC(=O)C,(4-methylphenyl) acetate,p-tolyl acetate,p-cresyl acetate,140-39-6,0.03,mineral oil
8858,98.14,CC(=CC(=O)C)C,4-methylpent-3-en-2-one,mesityl oxide,4-methylpent-3-en-2-one,141-79-7,1.0,"1,2-propanediol"
8892,116.16,CCCCCC(=O)O,hexanoic acid,hexanoic acid,hexanoic acid,142-62-1,2.0,"1,2-propanediol"
8918,186.29,CCCCCCCCCOC(=O)C,nonyl acetate,nonyl acetate,nonyl acetate,143-13-5,25.0,mineral oil
10430,102.13,CC(C)CC(=O)O,3-methylbutanoic acid,isovaleric acid,iso-valeric acid,503-74-2,0.01,mineral oil
10560,90.19,CCC(C)S,butane-2-thiol,2-butanethiol,butane-2-thiol,513-53-1,0.0005,"1,2-propanediol"
10722,120.15,CC1=CC=CC=C1C=O,2-methylbenzaldehyde,2-methylbenzaldehyde,ortho-tolualdehyde,529-20-4,0.1,mineral oil
10821,102.13,C#CC1=CC=CC=C1,ethynylbenzene,ethynylbenzene,phenyl acetylene,536-74-3,0.3,mineral oil
10882,130.18,CCCCC(=O)OCC,ethyl pentanoate,ethyl pentanoate,ethyl pentanoate,539-82-2,0.025,"1,2-propanediol"
10890,158.24,CCCCCOC(=O)CCC,pentyl butanoate,pentyl butyrate,amyl butyrate,540-18-1,1.0,"1,2-propanediol"
10976,116.2,CCCCCC(C)O,heptan-2-ol,2-heptanol,heptan-2-ol,543-49-7,5.0,"1,2-propanediol"
11002,146.3,CCCCSCCCC,1-butylsulfanylbutane,dibutyl sulfide,butyl sulfide,544-40-1,0.15,mineral oil
11124,88.11,CCC(=O)OC,methyl propanoate,methyl propionate,methyl propanoate,554-12-1,2.5,"1,2-propanediol"
11509,100.16,CCCC(=O)CC,hexan-3-one,3-hexanone,hexan-3-one,589-38-8,0.5,"1,2-propanediol"
11552,86.13,CC(C)CC=O,3-methylbutanal,3-methylbutanal,iso-valeraldehyde,590-86-3,0.0003,mineral oil
12020,86.13,CCC(C=C)O,pent-1-en-3-ol,1-penten-3-ol,pent-1-en-3-ol,616-25-1,0.3,"1,2-propanediol"
12178,102.17,CCCC(CC)O,hexan-3-ol,3-hexanol,3-hexanol,623-37-0,0.4,mineral oil
12180,102.13,CCCC(=O)OC,methyl butanoate,methyl butyrate,methyl butanoate,623-42-7,0.15,"1,2-propanediol"
12232,94.2,CSSC,(methyldisulfanyl)methane,dimethyl disulfide,(methyldisulfanyl) methane,624-92-0,0.025,"1,2-propanediol"
12348,130.18,CCCCCOC(=O)C,pentyl acetate,amyl acetate,pentyl acetate,628-63-7,0.75,"1,2-propanediol"
12367,144.25,CCCCCCCC(C)O,nonan-2-ol,2-nonanol,nonan-2-ol,628-99-9,1.0,"1,2-propanediol"
12741,156.26,CCCCCCCCC(=O)C,decan-2-one,2-decanone,decan-2-one,693-54-9,100.0,None
14286,121.14,CC(=O)C1=CC=CC=N1,1-pyridin-2-ylethanone,2-acetylpyridine,ortho-acetyl pyridine,1122-62-9,0.001,"1,2-propanediol"
15380,108.23,CSCSC,bis(methylsulfanyl)methane,bis(methylthio)methane,bis(methylsulfanyl)methane,1618-26-4,0.002,"1,2-propanediol"
16666,156.26,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",l-menthol,l-menthol,2216-51-5,3.0,"1,2-propanediol"
18827,128.21,CCCCCC(C=C)O,oct-1-en-3-ol,1-octen-3-ol,1-octen-3-ol,3391-86-4,0.04,mineral oil
19310,126.3,CSSSC,(methyltrisulfanyl)methane,dimethyl trisulfide,dimethyl trisulfide,3658-80-8,0.001,"1,2-propanediol"
