Test UID,Components in mixtures,Components that differ,% mixture overlap,Stimulus dilution,Answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,subject 1,subject 2,subject 3,subject 4,subject 5,subject 6,subject 7,subject 8,subject 9,subject 10,subject 11,subject 12,subject 13,subject 14,subject 15,subject 16,subject 17,subject 18,subject 19,subject 20,subject 21,subject 22,subject 23,subject 24,subject 25,subject 26
74,30,30,0,not diluted,wrong,(methyldisulfanyl) methane,gamma-nonalactone,dimethyl trisulfide,limonene,celeriax,butyl sulfide,1-hexanol,eucalyptol,hydroxy citronellal,propan-2-ol,heptan-2-ol,geraniol,ethyl pentanoate,ethyl 2-hydroxypropanoate,ortho-tolualdehyde,p-cresyl acetate,eugenol,propane-1-thiol,decanoic acid,propan-2-one,"2,4-trans-trans-decadienal",skatole,ethyl hexanoate,para-methyl quinoline,guaiacol,thiolane,hexyl hexanoate,caryophyllene,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",cyclohexanol,wrong,wrong,right,right,wrong,right,right,right,right,right,wrong,right,wrong,right,right,wrong,wrong,right,right,right,right,right,right,right,right,right
74,30,30,0,1/2,right,methyl salicylate,indole,phenyl acetylene,4-methyl anisole,decan-2-one,gamma-undecalactone,nonan-2-ol,toluene,benzaldehyde,cuminic aldehyde,ethyl butyrate,musk galaxolide,_-terpineol,2-phenyl propionaldehyde dimethyl acetal,heptan-2-one,iso-phorone,thiophene,heptanal,2-methylpropanal,methyl anthranilate,iso-bornyl acetate,4-ethyl guaiacol,S-(methyl thio) butyrate,iso-valeraldehyde,pent-1-en-3-ol,2-ethyl pyrazine,melonal,bis(methylsulfanyl)methane,4-pentenoic acid,dimethyl benzyl carbinyl butyrate,,,,,,,,,,,,,,,,,,,,,,,,,,
78,30,30,0,1/2,wrong,phenyl acetylene,cyclohexanol,iso-valeric acid,ethyl propionate,ethyl formate,dibutyl amine,undecanal,pentanoic acid,_-terpineol,acetoin,l-menthol,ethyl decanoate,methyl salicylate,4-ethyl guaiacol,nonan-2-ol,phenyl ethanol,eucalyptol,p-cresyl acetate,heptanal,decan-2-one,hexanoic acid,acetic acid,limonene,iso-valeraldehyde,acetaldehyde,gamma-valerolactone,cinnamic aldehyde,propyl sulfide,4-pentenoic acid,2-phenyl propionaldehyde dimethyl acetal,,,,,,,,,,,,,,,,,,,,,,,,,,
78,30,30,0,1/4,wrong,phenyl acetylene,cyclohexanol,iso-valeric acid,ethyl propionate,ethyl formate,dibutyl amine,undecanal,pentanoic acid,_-terpineol,acetoin,l-menthol,ethyl decanoate,methyl salicylate,4-ethyl guaiacol,nonan-2-ol,phenyl ethanol,eucalyptol,p-cresyl acetate,heptanal,decan-2-one,hexanoic acid,acetic acid,limonene,iso-valeraldehyde,acetaldehyde,gamma-valerolactone,cinnamic aldehyde,propyl sulfide,4-pentenoic acid,2-phenyl propionaldehyde dimethyl acetal,right,right,right,wrong,wrong,wrong,wrong,right,right,right,right,right,right,wrong,right,right,right,right,right,right,right,right,right,right,right,right
78,30,30,0,not diluted,right,geraniol,ethyl 2-hydroxypropanoate,2-oxopropanoic acid,butyl acetate,3-hexanol,toluene,iso-phorone,iso-bornyl acetate, 1-Isopropyl-4-methylbenzene,iso-pentyl phenyl acetate,"(3S)-3,7-dimethyloct-6-en-1-ol",2-hydroxypropanoic acid,dimethyl trisulfide,trans-2-hexenal,"2,4-trans-trans-decadienal",benzaldehyde,4-methyl anisole,cuminic aldehyde,heptan-2-one,nonyl acetate,methylsulfanylmethane,celeriax,furfuryl mercaptan,strawberry aldehyde,indole,thiophene,ortho-acetyl pyridine,diphenyl oxide,undecylenic acid,S-(methyl thio) butyrate,,,,,,,,,,,,,,,,,,,,,,,,,,
91,30,30,0,not diluted,wrong,ethyl benzoate,iso-valeric acid,"2,3-dimethyl pyrazine",eucalyptol,para-methyl quinoline,dimethyl benzyl carbinyl butyrate,hydroxy citronellal,2-oxopropanoic acid,pentanoic acid,2-phenylethyl acetate,octanal,chlorothymol,p-cresyl acetate,gamma-valerolactone,diphenyl oxide,toluene,decan-2-one,propan-1-ol,_-terpineol,acetophenone,nonan-2-ol,musk galaxolide,2-ethyl pyrazine,ethyl propionate,thiophene,skatole,S-(methyl thio) butyrate,iso-pentyl phenyl acetate,ethyl butyrate,dibutyl amine,,,,,,,,,,,,,,,,,,,,,,,,,,
91,30,30,0,1/4,wrong,ethyl benzoate,iso-valeric acid,"2,3-dimethyl pyrazine",eucalyptol,para-methyl quinoline,dimethyl benzyl carbinyl butyrate,hydroxy citronellal,2-oxopropanoic acid,pentanoic acid,2-phenylethyl acetate,octanal,chlorothymol,p-cresyl acetate,gamma-valerolactone,diphenyl oxide,toluene,decan-2-one,propan-1-ol,_-terpineol,acetophenone,nonan-2-ol,musk galaxolide,2-ethyl pyrazine,ethyl propionate,thiophene,skatole,S-(methyl thio) butyrate,iso-pentyl phenyl acetate,ethyl butyrate,dibutyl amine,wrong,wrong,right,right,wrong,right,wrong,right,right,right,right,right,right,right,right,right,right,right,right,right,wrong,right,right,right,right,right
91,30,30,0,1/2,right,cinnamic aldehyde,laevo-beta-pinene,bis(methylsulfanyl)methane,propan-2-ol,hexanoic acid,iso-valeraldehyde,undecylenic acid,phenyl ethanol,hexan-3-one,thiolane,butane-2-thiol,muguet carbinol,4-methyl anisole,ortho-tolualdehyde,propan-2-one,acetoin,ethyl pentanoate,dimethyl trisulfide,indole,celeriax,"(3S)-3,7-dimethyloct-6-en-1-ol",melonal,alpha-pinene,hexyl hexanoate,nonyl acetate,eugenol,decanoic acid,butanal,(methyldisulfanyl) methane,geraniol,,,,,,,,,,,,,,,,,,,,,,,,,,
96,30,30,0,not diluted,wrong,pentyl valerate,ethyl formate,pentanoic acid,nonyl acetate,skatole,thiolane,p-cresyl acetate,pentyl acetate,geraniol,propan-2-ol,undecanal,phenyl acetylene,guaiacol,(methyldisulfanyl) methane,phenyl ethanol,chlorothymol,hexan-3-one,heptan-2-one,1-hexanol,4-methoxybenzaldehyde,2-oxopropanoic acid,pentan-2-ol,3-hexanol,diethyl butanedioate,propan-1-ol,gamma-nonalactone,octanal,acetaldehyde,ethyl propionate,p-cresyl-iso-butyrate,,,,,,,,,,,,,,,,,,,,,,,,,,
96,30,30,0,1/2,wrong,pentyl valerate,ethyl formate,pentanoic acid,nonyl acetate,skatole,thiolane,p-cresyl acetate,pentyl acetate,geraniol,propan-2-ol,undecanal,phenyl acetylene,guaiacol,(methyldisulfanyl) methane,phenyl ethanol,chlorothymol,hexan-3-one,heptan-2-one,1-hexanol,4-methoxybenzaldehyde,2-oxopropanoic acid,pentan-2-ol,3-hexanol,diethyl butanedioate,propan-1-ol,gamma-nonalactone,octanal,acetaldehyde,ethyl propionate,p-cresyl-iso-butyrate,right,wrong,wrong,right,right,right,wrong,right,right,right,right,wrong,wrong,right,right,right,right,right,wrong,right,wrong,right,right,right,right,right
96,30,30,0,1/4,right,muguet carbinol,melonal,cyclohexanol,laevo-beta-pinene,amyl butyrate,trans-2-hexenal, 1-Isopropyl-4-methylbenzene,trimethyl amine,benzaldehyde,propyl sulfide,4-Methyl-3-penten-2-one,methyl propanoate,gamma-valerolactone,2-methylpropanoic acid,eucalyptol,isoamyl acetate,limonene,ethyl octanoate,hydroxy citronellal,2-phenyl propionaldehyde dimethyl acetal,pent-1-en-3-ol,musk galaxolide,strawberry aldehyde,undecylenic acid,butanal,bis(methylsulfanyl)methane,p-cresol,alpha-pinene,cuminic aldehyde,acetoin,,,,,,,,,,,,,,,,,,,,,,,,,,
