Test UID,Components in mixtures,Components that differ,% mixture overlap,Stimulus dilution,Answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,subject 1,subject 2,subject 3,subject 4,subject 5,subject 6,subject 7,subject 8,subject 9,subject 10,subject 11,subject 12,subject 13,subject 14,subject 15,subject 16,subject 17,subject 18,subject 19,subject 20,subject 21,subject 22,subject 23,subject 24,subject 25,subject 26
255,30,20,33.33,not diluted,wrong,methyl salicylate,undecylenic acid,butyl acetate,bis(methylsulfanyl)methane,hexanoic acid,propane-1-thiol,"2,4-trans-trans-decadienal",diethyl butanedioate,4-ethyl guaiacol,p-cresyl acetate,thiophene,hydroxy citronellal,phenyl acetic acid,heptanal,musk galaxolide,octanal,gamma-undecalactone,methylsulfanylmethane,decan-2-one,limonene,undecanal,ethyl pentanoate,iso-pentyl phenyl acetate,diphenyl oxide,acetophenone,amyl butyrate,phenyl ethanol,butane-2-thiol,4-Methyl-3-penten-2-one,acetoin,right,right,right,right,right,wrong,right,wrong,right,wrong,right,right,right,right,right,right,right,right,right,right,right,wrong,right,right,right,right
255,30,20,33.33,1/4,right,methyl salicylate,undecylenic acid,butyl acetate,bis(methylsulfanyl)methane,hexanoic acid,propane-1-thiol,"2,4-trans-trans-decadienal",diethyl butanedioate,4-ethyl guaiacol,p-cresyl acetate,"(3S)-3,7-dimethyloct-6-en-1-ol",ethyl decanoate,laevo-beta-pinene,phenyl acetylene,ethyl formate,2-hydroxypropanoic acid,iso-phorone,2-phenyl propionaldehyde dimethyl acetal,ethyl 2-hydroxypropanoate,pent-1-en-3-ol,decanoic acid,ethyl octanoate,ortho-acetyl pyridine,eucalyptol,strawberry aldehyde,hexyl hexanoate,guaiacol,methyl butanoate,propan-1-ol,2-methylpropanoic acid,,,,,,,,,,,,,,,,,,,,,,,,,,
264,30,20,33.33,1/2,wrong,decanoic acid,butanoic acid,ethyl decanoate,phenyl ethanol,methyl salicylate,methyl anthranilate,butane-2-thiol,pentyl acetate,thiolane,ethyl pentanoate,"(3S)-3,7-dimethyloct-6-en-1-ol",p-cresol,4-ethyl guaiacol,propan-1-ol,4-methoxybenzaldehyde,strawberry aldehyde,ethyl benzoate,4-Methyl-3-penten-2-one,decan-2-one,hexyl hexanoate,cyclohexanol,pentan-2-ol,iso-phorone,methyl propanoate,pentyl valerate,para-methyl quinoline,heptan-2-ol,propan-2-one,ortho-acetyl pyridine,hexanal,,,,,,,,,,,,,,,,,,,,,,,,,,
264,30,20,33.33,1/4,wrong,decanoic acid,butanoic acid,ethyl decanoate,phenyl ethanol,methyl salicylate,methyl anthranilate,butane-2-thiol,pentyl acetate,thiolane,ethyl pentanoate,"(3S)-3,7-dimethyloct-6-en-1-ol",p-cresol,4-ethyl guaiacol,propan-1-ol,4-methoxybenzaldehyde,strawberry aldehyde,ethyl benzoate,4-Methyl-3-penten-2-one,decan-2-one,hexyl hexanoate,cyclohexanol,pentan-2-ol,iso-phorone,methyl propanoate,pentyl valerate,para-methyl quinoline,heptan-2-ol,propan-2-one,ortho-acetyl pyridine,hexanal,right,right,wrong,right,right,wrong,wrong,right,right,right,right,right,right,right,right,right,right,right,right,wrong,wrong,right,right,right,right,right
264,30,20,33.33,not diluted,right,decanoic acid,butanoic acid,ethyl decanoate,phenyl ethanol,methyl salicylate,methyl anthranilate,butane-2-thiol,pentyl acetate,thiolane,ethyl pentanoate,celeriax,ethyl formate,dimethyl benzyl carbinyl butyrate,2-phenyl propionaldehyde dimethyl acetal,nonyl acetate,4-pentenoic acid,"2,4-trans-trans-decadienal",butyl sulfide,gamma-valerolactone,acetic acid,thymol,musk galaxolide,muguet carbinol,undecylenic acid,iso-bornyl acetate,laevo-beta-pinene,anisole,skatole,hydroxy citronellal,diethyl butanedioate,,,,,,,,,,,,,,,,,,,,,,,,,,
5,30,10,66.67,1/2,wrong,methyl salicylate,para-methyl quinoline,strawberry aldehyde,propan-1-ol,methyl butanoate,methyl propanoate,iso-bornyl acetate,propan-2-one,ortho-acetyl pyridine,iso-phorone,4-ethyl guaiacol,cinnamic aldehyde,heptan-2-one,hydroxy citronellal,hexanoic acid,p-cresol,(methyldisulfanyl) methane,diethyl butanedioate,1-hexanol,butyl acetate,furfuryl mercaptan,amyl butyrate,pentanoic acid,chlorothymol,benzaldehyde,ethyl decanoate,hexyl hexanoate,l-menthol,linalool,ethyl butyrate,,,,,,,,,,,,,,,,,,,,,,,,,,
5,30,10,66.67,1/4,wrong,methyl salicylate,para-methyl quinoline,strawberry aldehyde,propan-1-ol,methyl butanoate,methyl propanoate,iso-bornyl acetate,propan-2-one,ortho-acetyl pyridine,iso-phorone,4-ethyl guaiacol,cinnamic aldehyde,heptan-2-one,hydroxy citronellal,hexanoic acid,p-cresol,(methyldisulfanyl) methane,diethyl butanedioate,1-hexanol,butyl acetate,furfuryl mercaptan,amyl butyrate,pentanoic acid,chlorothymol,benzaldehyde,ethyl decanoate,hexyl hexanoate,l-menthol,linalool,ethyl butyrate,wrong,right,right,wrong,wrong,wrong,wrong,right,right,wrong,right,wrong,right,right,right,wrong,wrong,right,right,wrong,right,right,wrong,right,right,right
5,30,10,66.67,not diluted,right,methyl salicylate,para-methyl quinoline,strawberry aldehyde,propan-1-ol,methyl butanoate,methyl propanoate,iso-bornyl acetate,propan-2-one,ortho-acetyl pyridine,iso-phorone,4-ethyl guaiacol,cinnamic aldehyde,heptan-2-one,hydroxy citronellal,hexanoic acid,p-cresol,(methyldisulfanyl) methane,diethyl butanedioate,1-hexanol,butyl acetate,"2,4-trans-trans-decadienal",trimethyl amine,decanoic acid,gamma-undecalactone,thymol,indole,4-methoxybenzaldehyde,octanal,methyl anthranilate,methyl octanoate,,,,,,,,,,,,,,,,,,,,,,,,,,
8,30,10,66.67,1/2,wrong,geraniol,iso-phorone,"(3S)-3,7-dimethyloct-6-en-1-ol",eugenol,4-methoxybenzaldehyde,1-hexanol,pent-1-en-3-ol,iso-valeraldehyde,4-Methyl-3-penten-2-one,thiolane,musk galaxolide,ethyl decanoate,2-hydroxypropanoic acid,decanoic acid,benzaldehyde,ethyl formate,diphenyl oxide,ethyl hexanoate,2-oxopropanoic acid,nonan-2-ol,acetic acid,pentyl acetate,3-hexanol,acetaldehyde,acetophenone,methyl octanoate,butyl acetate,propan-2-one,indole,phenyl acetylene,,,,,,,,,,,,,,,,,,,,,,,,,,
8,30,10,66.67,1/4,wrong,geraniol,iso-phorone,"(3S)-3,7-dimethyloct-6-en-1-ol",eugenol,4-methoxybenzaldehyde,1-hexanol,pent-1-en-3-ol,iso-valeraldehyde,4-Methyl-3-penten-2-one,thiolane,musk galaxolide,ethyl decanoate,2-hydroxypropanoic acid,decanoic acid,benzaldehyde,ethyl formate,diphenyl oxide,ethyl hexanoate,2-oxopropanoic acid,nonan-2-ol,acetic acid,pentyl acetate,3-hexanol,acetaldehyde,acetophenone,methyl octanoate,butyl acetate,propan-2-one,indole,phenyl acetylene,right,right,right,wrong,right,right,wrong,right,right,right,right,wrong,right,right,right,right,right,right,wrong,right,wrong,right,right,right,wrong,right
8,30,10,66.67,not diluted,right,geraniol,iso-phorone,"(3S)-3,7-dimethyloct-6-en-1-ol",eugenol,4-methoxybenzaldehyde,1-hexanol,pent-1-en-3-ol,iso-valeraldehyde,4-Methyl-3-penten-2-one,thiolane,musk galaxolide,ethyl decanoate,2-hydroxypropanoic acid,decanoic acid,benzaldehyde,ethyl formate,diphenyl oxide,ethyl hexanoate,2-oxopropanoic acid,nonan-2-ol,cinnamic aldehyde,heptanal,thymol,propan-2-ol,methyl benzoate,gamma-nonalactone,alpha-pinene,methylsulfanylmethane,caryophyllene,p-cresol,,,,,,,,,,,,,,,,,,,,,,,,,,
19,30,10,66.67,not diluted,wrong, 1-Isopropyl-4-methylbenzene,4-methoxybenzaldehyde,pentyl acetate,4-ethyl guaiacol,musk galaxolide,isoamyl acetate,para-methyl quinoline,dibutyl amine,chlorothymol,2-ethyl pyrazine,pentanoic acid,methyl anthranilate,diphenyl oxide,ethyl formate,butyl sulfide,dimethyl trisulfide,ethyl 2-hydroxypropanoate,p-cresol,methyl octanoate,_-terpineol,methylsulfanylmethane,pent-1-en-3-ol,p-cresyl-iso-butyrate,cyclohexanol,pentyl valerate,ethyl octanoate,furfuryl mercaptan,anisole,"2,3-dimethyl pyrazine",iso-pentyl phenyl acetate,,,,,,,,,,,,,,,,,,,,,,,,,,
19,30,10,66.67,1/4,wrong, 1-Isopropyl-4-methylbenzene,4-methoxybenzaldehyde,pentyl acetate,4-ethyl guaiacol,musk galaxolide,isoamyl acetate,para-methyl quinoline,dibutyl amine,chlorothymol,2-ethyl pyrazine,pentanoic acid,methyl anthranilate,diphenyl oxide,ethyl formate,butyl sulfide,dimethyl trisulfide,ethyl 2-hydroxypropanoate,p-cresol,methyl octanoate,_-terpineol,methylsulfanylmethane,pent-1-en-3-ol,p-cresyl-iso-butyrate,cyclohexanol,pentyl valerate,ethyl octanoate,furfuryl mercaptan,anisole,"2,3-dimethyl pyrazine",iso-pentyl phenyl acetate,wrong,right,wrong,wrong,right,wrong,right,right,wrong,right,wrong,right,wrong,wrong,right,right,right,wrong,right,wrong,right,right,right,wrong,right,right
19,30,10,66.67,1/2,right, 1-Isopropyl-4-methylbenzene,4-methoxybenzaldehyde,pentyl acetate,4-ethyl guaiacol,musk galaxolide,isoamyl acetate,para-methyl quinoline,dibutyl amine,chlorothymol,2-ethyl pyrazine,pentanoic acid,methyl anthranilate,diphenyl oxide,ethyl formate,butyl sulfide,dimethyl trisulfide,ethyl 2-hydroxypropanoate,p-cresol,methyl octanoate,_-terpineol,octanal,methyl salicylate,bis(methylsulfanyl)methane,p-cresyl acetate,2-oxopropanoic acid,cinnamic aldehyde,alpha-pinene,2-methylpropanoic acid,iso-valeric acid,acetaldehyde,,,,,,,,,,,,,,,,,,,,,,,,,,
20,30,10,66.67,1/4,wrong,undecanal,cuminic aldehyde,2-ethyl pyrazine,"2,3-dimethyl pyrazine",hexyl hexanoate,hexanal,3-hexanol,gamma-nonalactone,acetaldehyde,p-cresyl acetate,pentyl valerate,melonal,"(3S)-3,7-dimethyloct-6-en-1-ol",para-methyl quinoline,2-oxopropanoic acid,ethyl pentanoate,butane-2-thiol,propane-1-thiol,4-methoxybenzaldehyde,cinnamic aldehyde,acetophenone,muguet carbinol,acetoin,2-methylpropanal,2-methylpropanoic acid,methyl propanoate,butyl sulfide,bis(methylsulfanyl)methane,diethyl butanedioate,butyl acetate,,,,,,,,,,,,,,,,,,,,,,,,,,
20,30,10,66.67,not diluted,wrong,undecanal,cuminic aldehyde,2-ethyl pyrazine,"2,3-dimethyl pyrazine",hexyl hexanoate,hexanal,3-hexanol,gamma-nonalactone,acetaldehyde,p-cresyl acetate,pentyl valerate,melonal,"(3S)-3,7-dimethyloct-6-en-1-ol",para-methyl quinoline,2-oxopropanoic acid,ethyl pentanoate,butane-2-thiol,propane-1-thiol,4-methoxybenzaldehyde,cinnamic aldehyde,acetophenone,muguet carbinol,acetoin,2-methylpropanal,2-methylpropanoic acid,methyl propanoate,butyl sulfide,bis(methylsulfanyl)methane,diethyl butanedioate,butyl acetate,wrong,right,wrong,right,right,wrong,right,right,wrong,wrong,right,right,right,right,wrong,right,right,right,wrong,right,wrong,wrong,right,right,right,wrong
20,30,10,66.67,1/2,right,undecanal,cuminic aldehyde,2-ethyl pyrazine,"2,3-dimethyl pyrazine",hexyl hexanoate,hexanal,3-hexanol,gamma-nonalactone,acetaldehyde,p-cresyl acetate,pentyl valerate,melonal,"(3S)-3,7-dimethyloct-6-en-1-ol",para-methyl quinoline,2-oxopropanoic acid,ethyl pentanoate,butane-2-thiol,propane-1-thiol,4-methoxybenzaldehyde,cinnamic aldehyde,benzaldehyde,indole,ethyl propionate,eugenol,4-methyl anisole,ethyl hexanoate,decanoic acid,amyl butyrate,skatole,diphenyl oxide,,,,,,,,,,,,,,,,,,,,,,,,,,
24,30,10,66.67,1/2,wrong,heptanal,cyclohexanol,4-methyl anisole,1-hexanol,propan-2-ol,2-phenyl propionaldehyde dimethyl acetal,ethyl formate,heptan-2-ol,(methyldisulfanyl) methane,2-hydroxypropanoic acid,ethyl hexanoate,pent-1-en-3-ol,cuminic aldehyde,iso-pentyl phenyl acetate,_-terpineol,octanal,p-cresyl-iso-butyrate,hexyl hexanoate,methyl propanoate,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",acetic acid,2-ethyl pyrazine,3-hexanol,ethyl propionate,pentanoic acid,"2,3-dimethyl pyrazine",isoamyl acetate,methyl benzoate,nonyl acetate,alpha-pinene,,,,,,,,,,,,,,,,,,,,,,,,,,
24,30,10,66.67,1/4,wrong,heptanal,cyclohexanol,4-methyl anisole,1-hexanol,propan-2-ol,2-phenyl propionaldehyde dimethyl acetal,ethyl formate,heptan-2-ol,(methyldisulfanyl) methane,2-hydroxypropanoic acid,ethyl hexanoate,pent-1-en-3-ol,cuminic aldehyde,iso-pentyl phenyl acetate,_-terpineol,octanal,p-cresyl-iso-butyrate,hexyl hexanoate,methyl propanoate,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",acetic acid,2-ethyl pyrazine,3-hexanol,ethyl propionate,pentanoic acid,"2,3-dimethyl pyrazine",isoamyl acetate,methyl benzoate,nonyl acetate,alpha-pinene,wrong,right,right,right,wrong,wrong,right,right,right,right,wrong,right,right,right,right,right,wrong,right,right,right,right,right,right,right,right,right
24,30,10,66.67,not diluted,right,heptanal,cyclohexanol,4-methyl anisole,1-hexanol,propan-2-ol,2-phenyl propionaldehyde dimethyl acetal,ethyl formate,heptan-2-ol,(methyldisulfanyl) methane,2-hydroxypropanoic acid,ethyl hexanoate,pent-1-en-3-ol,cuminic aldehyde,iso-pentyl phenyl acetate,_-terpineol,octanal,p-cresyl-iso-butyrate,hexyl hexanoate,methyl propanoate,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",acetoin,"2,4-trans-trans-decadienal",celeriax,2-methylpropanoic acid,thiophene,phenyl ethanol,propan-1-ol,cinnamic aldehyde,propane-1-thiol,diphenyl oxide,,,,,,,,,,,,,,,,,,,,,,,,,,
51,30,10,66.67,not diluted,wrong,furfuryl mercaptan,iso-phorone,gamma-undecalactone,l-menthol,acetophenone,p-cresyl-iso-butyrate,trans-2-hexenal,benzaldehyde,p-cresyl acetate,iso-pentyl phenyl acetate,hexanal,undecanal,ortho-acetyl pyridine,4-ethyl guaiacol,musk galaxolide,4-Methyl-3-penten-2-one,eugenol,ortho-tolualdehyde,methyl salicylate,phenyl ethanol,cinnamic aldehyde,thiophene,amyl butyrate,limonene,methyl octanoate,butyl sulfide,ethyl formate,cuminic aldehyde,iso-valeric acid,isoamyl acetate,,,,,,,,,,,,,,,,,,,,,,,,,,
51,30,10,66.67,1/2,wrong,furfuryl mercaptan,iso-phorone,gamma-undecalactone,l-menthol,acetophenone,p-cresyl-iso-butyrate,trans-2-hexenal,benzaldehyde,p-cresyl acetate,iso-pentyl phenyl acetate,hexanal,undecanal,ortho-acetyl pyridine,4-ethyl guaiacol,musk galaxolide,4-Methyl-3-penten-2-one,eugenol,ortho-tolualdehyde,methyl salicylate,phenyl ethanol,cinnamic aldehyde,thiophene,amyl butyrate,limonene,methyl octanoate,butyl sulfide,ethyl formate,cuminic aldehyde,iso-valeric acid,isoamyl acetate,wrong,right,wrong,right,wrong,right,right,right,right,right,right,right,right,wrong,right,right,right,right,right,right,wrong,right,right,right,wrong,right
51,30,10,66.67,1/4,right,furfuryl mercaptan,iso-phorone,gamma-undecalactone,l-menthol,acetophenone,p-cresyl-iso-butyrate,trans-2-hexenal,benzaldehyde,p-cresyl acetate,iso-pentyl phenyl acetate,hexanal,undecanal,ortho-acetyl pyridine,4-ethyl guaiacol,musk galaxolide,4-Methyl-3-penten-2-one,eugenol,ortho-tolualdehyde,methyl salicylate,phenyl ethanol,hydroxy citronellal,ethyl pentanoate,undecylenic acid,geraniol,diethyl butanedioate,propan-2-ol,methyl anthranilate,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",4-methoxybenzaldehyde,diphenyl oxide,,,,,,,,,,,,,,,,,,,,,,,,,,
54,30,10,66.67,1/4,wrong,acetophenone,iso-phorone,2-methylpropanoic acid,anisole,methyl benzoate,methyl octanoate,4-methoxybenzaldehyde,propan-2-ol,phenyl acetylene,dibutyl amine,"(3S)-3,7-dimethyloct-6-en-1-ol",toluene,nonyl acetate,iso-valeric acid,laevo-beta-pinene,heptan-2-one,acetic acid,ethyl hexanoate,methylsulfanylmethane,butanoic acid,pentyl valerate,ortho-acetyl pyridine,decanoic acid,bis(methylsulfanyl)methane,cyclohexanol,chlorothymol,amyl butyrate,acetoin,butanal,melonal,,,,,,,,,,,,,,,,,,,,,,,,,,
54,30,10,66.67,not diluted,wrong,acetophenone,iso-phorone,2-methylpropanoic acid,anisole,methyl benzoate,methyl octanoate,4-methoxybenzaldehyde,propan-2-ol,phenyl acetylene,dibutyl amine,"(3S)-3,7-dimethyloct-6-en-1-ol",toluene,nonyl acetate,iso-valeric acid,laevo-beta-pinene,heptan-2-one,acetic acid,ethyl hexanoate,methylsulfanylmethane,butanoic acid,pentyl valerate,ortho-acetyl pyridine,decanoic acid,bis(methylsulfanyl)methane,cyclohexanol,chlorothymol,amyl butyrate,acetoin,butanal,melonal,wrong,right,wrong,right,right,wrong,right,right,right,right,wrong,wrong,wrong,wrong,wrong,wrong,right,wrong,wrong,right,right,wrong,wrong,wrong,wrong,right
54,30,10,66.67,1/2,right,acetophenone,iso-phorone,2-methylpropanoic acid,anisole,methyl benzoate,methyl octanoate,4-methoxybenzaldehyde,propan-2-ol,phenyl acetylene,dibutyl amine,"(3S)-3,7-dimethyloct-6-en-1-ol",toluene,nonyl acetate,iso-valeric acid,laevo-beta-pinene,heptan-2-one,acetic acid,ethyl hexanoate,methylsulfanylmethane,butanoic acid,guaiacol,l-menthol,butane-2-thiol, 1-Isopropyl-4-methylbenzene,2-phenylethyl acetate,(methyldisulfanyl) methane,propan-2-one,"2,3-dimethyl pyrazine",S-(methyl thio) butyrate,para-methyl quinoline,,,,,,,,,,,,,,,,,,,,,,,,,,
111,30,10,66.67,1/2,wrong,chlorothymol,propan-1-ol,S-(methyl thio) butyrate,laevo-beta-pinene,methyl salicylate,2-hydroxypropanoic acid,caryophyllene,ethyl benzoate,p-cresol,4-methyl anisole,celeriax,2-oxopropanoic acid,dimethyl trisulfide,4-Methyl-3-penten-2-one,"2,4-trans-trans-decadienal",l-menthol,nonan-2-ol,propyl sulfide,nonyl acetate,alpha-pinene,heptanal,iso-valeric acid,heptan-2-one,2-ethyl pyrazine,2-phenyl propionaldehyde dimethyl acetal,amyl butyrate,methyl propanoate,octanal,1-hexanol,acetaldehyde,,,,,,,,,,,,,,,,,,,,,,,,,,
111,30,10,66.67,1/4,wrong,chlorothymol,propan-1-ol,S-(methyl thio) butyrate,laevo-beta-pinene,methyl salicylate,2-hydroxypropanoic acid,caryophyllene,ethyl benzoate,p-cresol,4-methyl anisole,celeriax,2-oxopropanoic acid,dimethyl trisulfide,4-Methyl-3-penten-2-one,"2,4-trans-trans-decadienal",l-menthol,nonan-2-ol,propyl sulfide,nonyl acetate,alpha-pinene,heptanal,iso-valeric acid,heptan-2-one,2-ethyl pyrazine,2-phenyl propionaldehyde dimethyl acetal,amyl butyrate,methyl propanoate,octanal,1-hexanol,acetaldehyde,right,right,wrong,right,wrong,right,right,wrong,wrong,wrong,right,wrong,right,right,right,right,right,right,right,right,right,right,right,right,right,right
111,30,10,66.67,not diluted,right,chlorothymol,propan-1-ol,S-(methyl thio) butyrate,laevo-beta-pinene,methyl salicylate,2-hydroxypropanoic acid,caryophyllene,ethyl benzoate,p-cresol,4-methyl anisole,celeriax,2-oxopropanoic acid,dimethyl trisulfide,4-Methyl-3-penten-2-one,"2,4-trans-trans-decadienal",l-menthol,nonan-2-ol,propyl sulfide,nonyl acetate,alpha-pinene,ethyl propionate,phenyl acetic acid,4-methoxybenzaldehyde,methyl anthranilate,muguet carbinol,cyclohexanol,gamma-undecalactone,pent-1-en-3-ol,ethyl pentanoate,phenyl acetylene,,,,,,,,,,,,,,,,,,,,,,,,,,
121,30,10,66.67,1/4,wrong, 1-Isopropyl-4-methylbenzene,S-(methyl thio) butyrate,dibutyl amine,pentyl acetate,dimethyl benzyl carbinyl butyrate,ethyl propionate,iso-valeric acid,ethyl octanoate,ethyl hexanoate,amyl butyrate,ethyl 2-hydroxypropanoate,butanal,2-hydroxypropanoic acid,"(3S)-3,7-dimethyloct-6-en-1-ol",pentanoic acid,iso-pentyl phenyl acetate,diphenyl oxide,hexyl hexanoate,melonal,heptan-2-one,p-cresol,thymol,decanoic acid,isoamyl acetate,butyl sulfide,acetic acid,heptanal,furfuryl mercaptan,decan-2-one,hydroxy citronellal,,,,,,,,,,,,,,,,,,,,,,,,,,
121,30,10,66.67,not diluted,wrong, 1-Isopropyl-4-methylbenzene,S-(methyl thio) butyrate,dibutyl amine,pentyl acetate,dimethyl benzyl carbinyl butyrate,ethyl propionate,iso-valeric acid,ethyl octanoate,ethyl hexanoate,amyl butyrate,ethyl 2-hydroxypropanoate,butanal,2-hydroxypropanoic acid,"(3S)-3,7-dimethyloct-6-en-1-ol",pentanoic acid,iso-pentyl phenyl acetate,diphenyl oxide,hexyl hexanoate,melonal,heptan-2-one,p-cresol,thymol,decanoic acid,isoamyl acetate,butyl sulfide,acetic acid,heptanal,furfuryl mercaptan,decan-2-one,hydroxy citronellal,wrong,wrong,wrong,wrong,wrong,wrong,wrong,wrong,right,wrong,wrong,wrong,wrong,right,wrong,wrong,wrong,wrong,right,wrong,wrong,right,wrong,wrong,wrong,wrong
121,30,10,66.67,1/2,right, 1-Isopropyl-4-methylbenzene,S-(methyl thio) butyrate,dibutyl amine,pentyl acetate,dimethyl benzyl carbinyl butyrate,ethyl propionate,iso-valeric acid,ethyl octanoate,ethyl hexanoate,amyl butyrate,ethyl 2-hydroxypropanoate,butanal,2-hydroxypropanoic acid,"(3S)-3,7-dimethyloct-6-en-1-ol",pentanoic acid,iso-pentyl phenyl acetate,diphenyl oxide,hexyl hexanoate,melonal,heptan-2-one,(methyldisulfanyl) methane,pentyl valerate,pentan-2-ol,1-octen-3-ol,indole,l-menthol,heptan-2-ol,cinnamic aldehyde,celeriax,4-Methyl-3-penten-2-one,,,,,,,,,,,,,,,,,,,,,,,,,,
140,30,10,66.67,not diluted,wrong,heptan-2-one,4-pentenoic acid,iso-valeraldehyde,acetic acid,limonene,2-phenylethyl acetate,acetaldehyde,2-phenyl propionaldehyde dimethyl acetal,trimethyl amine,p-cresyl-iso-butyrate,ethyl propionate,butyl sulfide,cuminic aldehyde,geraniol,4-methyl anisole,"(3S)-3,7-dimethyloct-6-en-1-ol",hexanal,methyl butanoate,methyl octanoate,propan-2-ol,2-hydroxypropanoic acid,4-methoxybenzaldehyde,diethyl butanedioate,isoamyl acetate,acetoin,ethyl benzoate,phenyl ethanol,thymol,melonal,toluene,,,,,,,,,,,,,,,,,,,,,,,,,,
140,30,10,66.67,1/2,wrong,heptan-2-one,4-pentenoic acid,iso-valeraldehyde,acetic acid,limonene,2-phenylethyl acetate,acetaldehyde,2-phenyl propionaldehyde dimethyl acetal,trimethyl amine,p-cresyl-iso-butyrate,ethyl propionate,butyl sulfide,cuminic aldehyde,geraniol,4-methyl anisole,"(3S)-3,7-dimethyloct-6-en-1-ol",hexanal,methyl butanoate,methyl octanoate,propan-2-ol,2-hydroxypropanoic acid,4-methoxybenzaldehyde,diethyl butanedioate,isoamyl acetate,acetoin,ethyl benzoate,phenyl ethanol,thymol,melonal,toluene,wrong,right,wrong,right,right,right,wrong,right,wrong,right,right,wrong,right,right,wrong,right,wrong,wrong,right,wrong,right,right,right,wrong,right,right
140,30,10,66.67,1/4,right,heptan-2-one,4-pentenoic acid,iso-valeraldehyde,acetic acid,limonene,2-phenylethyl acetate,acetaldehyde,2-phenyl propionaldehyde dimethyl acetal,trimethyl amine,p-cresyl-iso-butyrate,ethyl propionate,butyl sulfide,cuminic aldehyde,geraniol,4-methyl anisole,"(3S)-3,7-dimethyloct-6-en-1-ol",hexanal,methyl butanoate,methyl octanoate,propan-2-ol,2-methylpropanal,thiophene,ethyl decanoate,2-oxopropanoic acid,propan-1-ol,decan-2-one,p-cresol,cyclohexanol,nonan-2-ol,diphenyl oxide,,,,,,,,,,,,,,,,,,,,,,,,,,
144,30,10,66.67,not diluted,wrong,_-terpineol,heptan-2-ol,nonyl acetate,butane-2-thiol,toluene,diethyl butanedioate,cuminic aldehyde,methyl butanoate,propan-2-ol,diphenyl oxide,p-cresyl-iso-butyrate,furfuryl mercaptan,butanoic acid,isoamyl acetate,methyl benzoate,dimethyl benzyl carbinyl butyrate,ethyl propionate,2-hydroxypropanoic acid,ethyl benzoate,para-methyl quinoline,celeriax,limonene,chlorothymol,pentyl valerate,alpha-pinene,1-octen-3-ol,ethyl decanoate,methylsulfanylmethane,melonal,p-cresyl acetate,,,,,,,,,,,,,,,,,,,,,,,,,,
144,30,10,66.67,1/4,wrong,_-terpineol,heptan-2-ol,nonyl acetate,butane-2-thiol,toluene,diethyl butanedioate,cuminic aldehyde,methyl butanoate,propan-2-ol,diphenyl oxide,p-cresyl-iso-butyrate,furfuryl mercaptan,butanoic acid,isoamyl acetate,methyl benzoate,dimethyl benzyl carbinyl butyrate,ethyl propionate,2-hydroxypropanoic acid,ethyl benzoate,para-methyl quinoline,celeriax,limonene,chlorothymol,pentyl valerate,alpha-pinene,1-octen-3-ol,ethyl decanoate,methylsulfanylmethane,melonal,p-cresyl acetate,right,wrong,wrong,right,wrong,right,wrong,right,wrong,wrong,wrong,wrong,right,wrong,wrong,wrong,wrong,right,right,right,right,wrong,wrong,wrong,right,wrong
144,30,10,66.67,1/2,right,_-terpineol,heptan-2-ol,nonyl acetate,butane-2-thiol,toluene,diethyl butanedioate,cuminic aldehyde,methyl butanoate,propan-2-ol,diphenyl oxide,p-cresyl-iso-butyrate,furfuryl mercaptan,butanoic acid,isoamyl acetate,methyl benzoate,dimethyl benzyl carbinyl butyrate,ethyl propionate,2-hydroxypropanoic acid,ethyl benzoate,para-methyl quinoline,pentanoic acid,3-hexanol,p-cresol,phenyl acetic acid,pentan-2-ol,hexan-3-one,(methyldisulfanyl) methane,thiolane,methyl propanoate,nonan-2-ol,,,,,,,,,,,,,,,,,,,,,,,,,,
157,30,10,66.67,not diluted,wrong,butanal,propan-2-one,dimethyl benzyl carbinyl butyrate,bis(methylsulfanyl)methane,2-hydroxypropanoic acid,octanal,laevo-beta-pinene,1-hexanol,ethyl decanoate,S-(methyl thio) butyrate,gamma-valerolactone,trimethyl amine,nonan-2-ol,butanoic acid,1-octen-3-ol,pentyl valerate,(methyldisulfanyl) methane,pentan-2-ol,undecylenic acid,anisole,hydroxy citronellal,guaiacol,pent-1-en-3-ol,pentyl acetate,acetoin,4-methyl anisole,heptanal,iso-bornyl acetate,butane-2-thiol,4-ethyl guaiacol,,,,,,,,,,,,,,,,,,,,,,,,,,
157,30,10,66.67,1/4,wrong,butanal,propan-2-one,dimethyl benzyl carbinyl butyrate,bis(methylsulfanyl)methane,2-hydroxypropanoic acid,octanal,laevo-beta-pinene,1-hexanol,ethyl decanoate,S-(methyl thio) butyrate,gamma-valerolactone,trimethyl amine,nonan-2-ol,butanoic acid,1-octen-3-ol,pentyl valerate,(methyldisulfanyl) methane,pentan-2-ol,undecylenic acid,anisole,hydroxy citronellal,guaiacol,pent-1-en-3-ol,pentyl acetate,acetoin,4-methyl anisole,heptanal,iso-bornyl acetate,butane-2-thiol,4-ethyl guaiacol,wrong,wrong,right,wrong,wrong,wrong,right,right,right,wrong,right,right,wrong,wrong,wrong,wrong,right,wrong,right,right,right,right,right,wrong,right,right
