Stimulus,Decriptors,Modifiers
2346.0,horseradish;oily;cabbage;dusty;medicinal;watercress,
2537.0,aromatic;medicinal;camphoraceous;minty,penetrating
2682.0,wax;clean;oily;floral;greasy;fruity,
2758.0,sweet;citrus;fresh;herbaceous;cooling;fruity;eucalyptus;medicinal;woody;camphoraceous;pepper;vanilla;minty,strong
2879.0,animal;smoky;sweet;narcissus;phenolic;medicinal;tarry;mimosa,
2969.0,wax;cheese;fatty;sour;citrus;rancid;unpleasant;soapy,
2998.0,bland,
3102.0,sweet;rose;metallic;geranium;apricot;herbaceous;balsamic;peach;powdery,
3283.0,sweet;pungent;ethereal,
3314.0,bacon;clove;cinnamyl;pungent;sweet;honey;smoky;floral;phenolic;ham;woody;spicy;dry;warm;allspice;savory,strong
3485.0,fruity;medicinal;pungent;sweet,
3611.0,mossy;woody;phenolic,
3776.0,pleasant;musty;woody;buttery;alcoholic,
3893.0,wax;fatty;metallic;coconut;bay,weak
4133.0,sweet;wintergreen;root beer;aromatic;phenolic;beer;vanilla;peppermint;spicy;camphoraceous;minty,
4276.0,woody;balsamic;spicy;warm,
4685.0,characteristic;aromatic;mothball,penetrating;strong
4837.0,ammonical,
4943.0,phenolic,
5054.0,characteristic;phenolic;vanilla;musty;nutty;creamy;hawthorn,
5144.0,anisic;sweet;floral;woody;spicy;sassafras;warm,
5192.0,characteristic,
5281.0,wax;fatty;oily;tallow;lard;fried;savory,
5541.0,clean;fatty;fruity;tropical;creamy;acidic,mild
5610.0,meaty;phenolic;rubbery;dirty;cooked,mild
5634.0,wax;woody;soapy;sweet,
5780.0,caramel;sweet,
5862.0,sulfurous,
5950.0,sweet,
5961.0,cocoa;milky;custard;oily,
5971.0,pungent;mustard;onion;sulfurous;garlic,penetrating;sharp
6050.0,wax;cheese;fatty;fruity;caramel;buttery;creamy;acidic,
6054.0,honey;rose;sweet;floral;lilac;aromatic;bready;fresh;dried;spicy,
6140.0,,faint
6184.0,clean;fatty;tallow;leafy;sweaty;vegetable;green;fresh;fruity;grassy;woody;unripe fruit;aldehydic,penetrating;strong;sharp
6202.0,sour;bitter;characteristic,mild
6213.0,sulfurous;burnt,
6274.0,fishy,
6276.0,winey;oily;pungent;sweet;fusel;bready;vanilla;balsamic;solvent;yeasty;fermented;chemical;alcoholic;ethereal,
6322.0,,faint
6328.0,medicinal;pungent;ethereal,
6329.0,fishy;ammonical;pungent,
6341.0,cheese;fishy;ammonical;ripe,
6343.0,meaty;alliaceous;onion;vegetable;rubbery;sulfurous;fruity;garlic;skunk;tropical;leek;coffee,penetrating
6363.0,fishy;ammonical,
6364.0,chicken;meaty;gassy;ripe;alliaceous;pungent;onion;brothy;sulfurous;skunk;unpleasant,sharp
6386.0,camphoraceous,
6387.0,sulfurous;offensive;skunk,
6425.0,bready;woody;earthy;warm;patchouli,
6448.0,pine;sweet;citrus;herbaceous;pleasant;woody;balsamic;camphoraceous;earthy;soapy,
6493.0,fruity;green;leafy,powerful
6501.0,fatty;berry;honey;sweet;floral;candy;fruity;strawberry,strong
6505.0,herbaceous;winey;sweet,
6506.0,fruity;winey,
6514.0,sulfurous;roasted;acrid,strong
6532.0,berry;juicy;sweet;citrus;lavender;apple;fresh;fruity;woody;bergamot,
6544.0,berry;vegetable;citrus;green;tobacco;wax;cooling;camphoraceous;winey;herbaceous;fruity;woody;peppermint;nutty;sweet;cedar;musty;leathery,sharp
6548.0,fatty;oily;rosewood;sweet;rose;floral;lilac;citrus;lily;fresh;woody;earthy;tea,
6549.0,wax;petitgrain;rosewood;sweet;rose;orange;floral;lavender;citrus;green;fresh;blueberry;woody;terpenic;spicy;lemon,
6558.0,cheese;ammonical;ripe;malty;shellfish;fishy,
6560.0,winey;bitter;sweet;fusel;fruity;musty;whiskey;disagreeable;ethereal,penetrating;suffocating
6561.0,cheese;malty;pungent;banana;floral;green;fresh;pleasant;fruity;chocolate;aldehydic,sharp
6562.0,hyacinth;pungent;high;foliage;floral;green,
6568.0,winey;sweet;apricot;pleasant;fruity,strong
6569.0,pungent;sweet;pleasant;fruity;acetone;camphoraceous;solvent;minty;ketonic;ethereal,
6584.0,winey;sweet;pleasant;fruity;cognac;rummy;solvent;estery;ethereal,
6590.0,cheese;stench;dairy;pungent;sour;rancid;buttery;acidic;strawberry,sharp
6616.0,pine;citrus;green;insipid;herbaceous;fir needle;cooling;woody;terpenic;camphoraceous;spicy;minty,
6631.0,coniferous;pine;citrus;floral;fresh;herbaceous;fruity;lime;cologne;woody;soapy,
6654.0,pine;characteristic;sweet;fresh;cooling;herbaceous;woody;terpenic;turpentine;camphoraceous;earthy,
6658.0,acrylic;sweet;aromatic;acrid;acrylate;sulfurous;fruity;unpleasant;plastic,sharp
6660.0,sugar;seedy;maple;woody;caramel;coffee,
6669.0,animal;fatty;sweet;floral;woody;musk;dry;soapy;powdery,
6736.0,animal;fatty;jasmine;manure;civet;naphthyl;mothball;offensive;fecal,strong
6753.0,sweet;floral;ambrette;seedy;musty;musk,
6781.0,aromatic,faint
6826.0,clean;neroli;winey;sweet;orange;mandarin;floral;phenolic;blossom;fresh;fruity;musty;grape;powdery,
6835.0,rose;fruity;floral,
6873.0,sweet;wintergreen;floral;herbaceous;orchid;cooling;spicy;clover,
6874.0,winey;sweet;wintergreen;metallic;floral;green;herbaceous;orchid;woody;grape;soapy,
6877.0,floral;sweet;wintergreen;orange;floral;green;blossom;fruity;grape,
6884.0,moldy,
6885.0,coumarinic;sweet;coconut;phenolic;lactonic;tonka;powdery,
6915.0,berry;dairy;sour;fruity;caramel;dry;tropical;whiskey;acidic,
6920.0,sulfurous;hazelnut;walnut;nutty,
6930.0,ambrette;musk;sweet,
6937.0,animal;leathery,
6943.0,smoky;phenolic;rubbery;medicinal;woody;solvent;burnt;toasted,
6949.0,sweet;guaiacwood;woody;spicy;dry;balsamic;powdery,
6985.0,sweet;floral;woody;mimosa;minty,
6986.0,sweet;cooling;peppermint;camphoraceous;mentholic;minty;ethereal,
6987.0,sweet;fruity;fresh;herbaceous;medicinal;camphoraceous;minty,
6988.0,sweet;buchu;metallic;fresh;herbaceous;sulfurous;pleasant;peppermint;camphoraceous;minty,
6989.0,winey;smoky;sweet;thyme;phenolic;aromatic;herbaceous;fruity;woody;medicinal;spicy;earthy;camphoraceous;chemical;coffee;minty,
6998.0,cinnamyl;bitter;pungent;wintergreen;phenolic;almond;cooling;medicinal;spicy;irritating,
7002.0,medicinal;earthy;camphoraceous;naphthyl;chemical,
7007.0,rose;floral;balsamic;soapy;powdery,
7016.0,orris;sweet;herbaceous;cumin;ozone;woody;cyclamen;minty,
7037.0,weedy;green;rose,
7041.0,bacon;meaty;smoky;sweet;phenolic;woody;balsamic;medicinal;powdery,
7043.0,sweet;phenolic;vanilla;musty;nutty;earthy;creamy,
7047.0,rubbery;tobacco;musty;medicinal;leathery;earthy;unpleasant,penetrating
7055.0,floral;woody;sweet,
7058.0,meaty;oily;brothy;mushroom;roasted;rubbery;sulfurous;brown;woody;creamy,
7059.0,animal;fecal;tobacco;leathery;tonka;castoreum;civet,
7092.0,anisic;sweet;coconut;floral;herbaceous;vanilla;creamy;powdery,
7095.0,neroli;cinnamyl;pungent;rose;metallic;geranium;green;pleasant;buttery;bergamot,
7119.0,floral;neroli;sweet;acacia;orange;floral;naphthyl;strawberry,
7122.0,neroli;floral;sweet;honey;orange;floral;powdery,
7127.0,vegetable;green;vanilla;pepper;earthy;chocolate;wax;cinnamyl;banana;apricot;fresh;spicy;creamy;plum;warm;clove;herbaceous;fruity;raspberry;woody;oily;anisic;sweet;carnation;coconut;phenolic;musty;peach,
7128.0,clove;carnation;blossom;woody;spicy,
7129.0,floral;orange;floral;citrus;naphthyl;grape;powdery,
7130.0,animal;tobacco;leathery;woody;oakmoss;rooty,
7136.0,clove;malty;sweet;carnation;floral;fresh;fruity;woody;balsamic;spicy,
7137.0,clove;carnation;sweet;floral;fruity;balsamic;spicy;powdery,
7144.0,green;vanilla;medicinal;coal tar;chocolate;meaty;smoky;jasmine;spicy;cheese;clove;winey;woody;coffee;carnation;sweet;phenolic;candy;leathery,
7146.0,hyacinth;leafy;floral;green;lilac;fresh,sharp
7147.0,floral;balsamic;sweet,
7148.0,cherry;floral;lilac;aromatic;herbaceous;hawthorn,strong
7149.0,sweet,
7150.0,sweet;wintergreen;cherry;floral;lettuce;phenolic;almond;herbaceous;fruity;prune;cananga;medicinal;chemical,
7151.0,herbaceous;warm;tobacco,
7165.0,berry;camomile;ylang;banana;anisic;wintergreen;cherry;sweet;floral;vanilla;fruity;musty;medicinal;dry;grape;celery;plum;minty,
7166.0,opoponax;vanilla;woody;balsamic;dry;hawthorn,
7170.0,berry;brandy;sweet;cherry;phenolic;fruity;woody;naphthyl;hawthorn;jammy,
7175.0,smoky;sweet;woody;burnt;hawthorn,
7184.0,phenolic;camphoraceous,
7193.0,wax;sweet;green;fruity;balsamic,
7194.0,rose;floral;balsamic;honey,
7197.0,sassafras;spicy,
7222.0,meaty;vegetable;rubbery;sulfurous;brown;nutty;unpleasant;gasoline;cooked;coffee,
7224.0,animal;indole;naphthyl;fresh,
7225.0,meaty;phenolic;almond;tobacco;vanilla;musty;capers;burnt;powdery,
7237.0,geranium;aromatic;sweet,
7244.0,unpleasant;medicinal,
7245.0,unpleasant;medicinal;characteristic,penetrating
7247.0,distinctive;plastic;aromatic,
7249.0,dry;burnt,
7267.0,bacon;smoky;sweet;phenolic;medicinal;naphthyl,
7269.0,camphoraceous;rancid;sweet,
7276.0,pleasant;sweet,faint
7283.0,fishy,
7284.0,cocoa;malty;almond;musty;nutty;fermented;chocolate;coffee,
7288.0,acetone;ethereal,
7302.0,fatty;oily;sweet;pleasant;caramel;creamy,
7304.0,herbaceous;woody;smoky,
7311.0,phenolic,
7334.0,winey;sweet;immortelle;floral;herbaceous;fruity;chrysanthemum;ethereal,
7335.0,sweet;sour;green;herbaceous;fruity;spearmint;minty,
7336.0,fruity;minty;warm;sweet,
7341.0,cheese;sour;pungent,strong
7342.0,pungent;sweet;fusel;citrus;rubbery;fruity;rummy;alcoholic;strawberry;ethereal,
7343.0,pungent;apple;acrid;acrylate;chamomile,
7344.0,sweet;butterscotch;buttery;milky;fruity;brown;rummy;acidic;tart;ethereal,sharp
7351.0,ripe;banana;fruity;fruity;tropical;grape;pineapple;ethereal,
7353.0,melon;cheese;banana;sweet;apple;green;citrus;fruity;fruity;tropical;tutti frutti,
7358.0,musty;alcoholic;sweet,
7359.0,cocoa;sweet;green;fruity;ethereal,
7360.0,oily;vegetable;cauliflower;caramel;warm,
7361.0,oily;chemical;sweet;bready;sulfurous;brown;musty;caramel;burnt;estery;whiskey;alcoholic;coffee,
7362.0,bacon;sweet;phenolic;bready;almond;brown;woody;caramel,
7363.0,wax;chicken;meaty;fatty;oily;smoky;onion;roasted;burnt;herbaceous;sulfurous;caramel;nutty;chocolate;cooked;coffee;fishy;savory,
7364.0,sulfurous,
7391.0,musty;leathery;woody;camphoraceous;minty;patchouli,
7392.0,leathery;woody;musk;minty;patchouli,
7393.0,distinctive;oakmoss;leathery,
7405.0,ethereal;sweet,mild
7406.0,characteristic;aromatic;gasoline,penetrating;sharp
7409.0,hyacinth;bitter;sweet;floral;almond;fresh;medicinal;camphoraceous;naphthyl;chemical;gardenia,mild;weak
7410.0,coumarinic;pungent;chemical;sweet;acacia;cherry;heliotrope;floral;almond;vanilla;musty;marzipan;medicinal;nutty;mimosa;hawthorn,
7413.0,cheese;fatty;metallic;fruity;fruity;tropical;acidic,
7438.0,caraway;fresh;herbaceous;spearmint;minty,
7439.0,fennel;licorice;green;basil;camphoraceous;minty,
7455.0,anisic;sweet;floral;unpleasant;ylang,
7460.0,citrus;green;black;herbaceous;woody;terpenic;turpentine;spicy;pepper;medicinal;minty,
7461.0,oily;sweet;citrus;herbaceous;lime;woody;terpenic;turpentine;tropical;gasoline;lemon,
7462.0,berry;sweet;juicy;thyme;citrus;green;medicinal;woody;pepper;terpenic;camphoraceous;spicy;lemon,
7463.0,chemical;origanum;cilantro;sweet;citrus;aromatic;fresh;cumin;pleasant;woody;terpenic;solvent;spicy;gasoline;lemon,strong
7465.0,medicinal;woody;warm;spicy,
7467.0,hay;floral;hawthorn;sweet,
7469.0,sweet;floral;balsamic;mimosa;hawthorn,mild
7476.0,buttery;heliotrope;anisic;sweet;acacia;cherry;vanilla;fruity;pleasant;balsamic;nutty;caramel;powdery;hawthorn;maraschino,
7478.0,animal;fatty;phenolic;medicinal;fecal,
7501.0,sweet;floral;aromatic;almond;medicinal;balsamic;gasoline;plastic;glue,
7505.0,almond;rancid,
7509.0,meaty;alliaceous;onion;vegetable;sulfurous;garlic;radish;repulsive;horseradish;leek;coffee;minty,intense;sharp
7519.0,cheese;nail polish;anisic;phenolic;moldy;musty;buttery;gasoline;alcoholic;ethereal,
7520.0,pungent;sawdust;sulfurous;woody;solvent;spicy,
7523.0,grassy;green,
7530.0,narcissus;floral,
7531.0,clean;cortex;oily;rhubarb;rose;floral;green,
7559.0,wax;jasmine;sweet;honey;floral;almond;fruity;spicy,
7562.0,wax;hyacinth;honey;sweet;green,
7580.0,sweet;orange;geranium;green;herbaceous;wet;plastic,
7583.0,leafy;metallic;geranium;floral;green;phenolic,
7590.0,floral;chocolate;pineapple;wax;grapefruit;apricot;winey;cherry;apple;licorice;pleasant;raspberry;balsamic;dark chocolate;melon;cocoa;anisic;honey;rose;sweet,
7592.0,,faint
7593.0,bitter;sweet;honey;cherry;rose;floral;almond;seedy;fruity;plastic;powdery,faint
7599.0,woody;balsamic;anisic;honey,
7600.0,animal;cocoa;sweet;rose;honey;floral;balsamic;castoreum;chocolate,
7601.0,cinnamyl;hyacinth;sweet;rose;honey;floral;green;apricot;balsamic;powdery,
7616.0,fishy;ammonical,
7632.0,clean;linalool;violet;rosewood;rose;floral;green;lily;fresh,
7633.0,sweet;rose;leafy;narcissus;floral;green;balsamic,
7635.0,humus;herbaceous;pleasant;dirty;earthy,
7643.0,winey;honey;floral;fruity;balsamic,
7646.0,oily;jasmine;sweet;rose;juicy;floral;herbaceous;fruity;woody;tropical;powdery,
