"OR"	"concentration"	"NormalizedLuc"	"Odor"	"Date"
1030	1e-06	0.27701148	1341	120710
1030	0.001	0.5359019	1341	120710
1030	1e-04	0.5038098	1316	111810
1030	0.001	0.8380386	1341	120710
1030	1e-05	0.31397623	1316	111810
1030	1e-07	0.26890033	1341	120710
1030	0.001	0.57266814	1341	120710
1030	1e-05	0.23984107	1341	120710
1030	0.01	0.4966216	1341	120710
1030	1e-07	0.3837386	1316	111810
1030	0.01	NA	1316	111810
1030	1e-04	0.797453	1341	120710
1030	1e-08	0.26834962	1341	120710
1030	1e-12	0.31852305	1341	120710
1030	1e-06	0.24461442	1316	111810
1030	1e-07	0.30771354	1341	120710
1030	0.001	1.1821699	1316	111810
1030	1e-12	0.359766	1316	111810
1030	1e-05	0.3888728	1316	111810
1030	1e-05	0.44964907	1341	120710
1030	1e-05	0.33514175	1341	120710
1030	1e-04	0.381328	1316	111810
1030	1e-07	0.3121084	1316	111810
1030	1e-06	0.3570636	1341	120710
1030	1e-04	1.02083	1341	120710
1030	1e-08	0.40548828	1316	111810
1030	1e-06	0.35659254	1316	111810
1030	1e-08	0.28894553	1316	111810
1030	0.01	NA	1316	111810
1030	0.01	0.43260187	1341	120710
1030	0.01	NA	1316	111810
1030	1e-08	0.26385635	1341	120710
1030	0.001	1.2633315	1316	111810
1030	1e-05	0.22680947	1316	111810
1030	1e-12	0.21389195	1316	111810
1030	1e-04	0.31578946	1316	111810
1030	1e-04	0.8499464	1341	120710
1030	1e-12	0.30472946	1341	120710
1030	1e-07	0.5187065	1316	111810
1030	1e-06	0.29967532	1316	111810
1030	0.01	0.610687	1341	120710
1030	0.001	1.3984764	1316	111810
1030	1e-06	0.2909522	1341	120710
1030	1e-08	0.21736509	1316	111810
1030	1e-12	0.20687224	1341	120710
1030	1e-08	0.23207389	1341	120710
1030	1e-07	0.25177366	1341	120710
1030	1e-12	0.33538315	1316	111810
1034	1e-05	0.22064754	1101	11911
1034	1e-08	0.10797206	1101	11911
1034	0.001	0.6047648	1101	11911
1034	1e-04	0.34819058	1101	11911
1034	1e-04	0.34457454	1101	11911
1034	1e-07	0.09667904	1101	11911
1034	1e-06	0.16081987	1101	11911
1034	1e-07	0.11775044	1101	11911
1034	0.01	0.4433735	1337	11911
1034	1e-07	0.17435275	1379	20111
1034	1e-05	0.16860563	1379	20111
1034	1e-05	0.17800662	1379	20111
1034	1e-04	0.20157537	1379	20111
1034	1e-07	0.17026179	1379	20111
1034	1e-08	0.10179146	1101	11911
1034	1e-08	0.11614288	1101	11911
1034	1e-12	0.09419	1101	11911
1034	0.01	0.51960784	1337	11911
1034	1e-06	0.15524977	1101	11911
1034	1e-07	0.09476461	1101	11911
1034	1e-12	0.09826369	1101	11911
1034	1e-08	0.23033239	1379	20111
1034	0.001	0.34814814	1337	11911
1034	1e-07	0.09237032	1337	11911
1034	1e-06	0.14314494	1337	11911
1034	1e-06	0.18171996	1379	20111
1034	1e-08	0.1751953	1379	20111
1034	0.001	0.51780266	1379	20111
1034	0.01	0.7605634	1379	20111
1034	0.01	0.95535713	1379	20111
1034	1e-05	0.26892298	1101	11911
1034	1e-05	0.19205827	1101	11911
1034	0.001	0.3281279	1379	20111
1034	1e-12	0.19281535	1379	20111
1034	0.01	0.832	1379	20111
1034	1e-12	0.097110294	1337	11911
1034	1e-08	0.09790067	1337	11911
