Stimulus,Subject,Plate,Well,Concentration,Luc,RL,Date
1064,1024,6,1,100.0,3146.0,10142.0,61009
1064,1025,6,13,100.0,2886.0,4508.0,61009
1064,1026,6,25,100.0,2770.0,4438.0,61009
1064,1027,6,37,100.0,3082.0,8684.0,61009
1064,1028,6,49,100.0,2238.0,3724.0,61009
1064,1029,6,61,100.0,3956.0,7990.0,61009
1064,1030,6,73,100.0,2186.0,3796.0,61009
1064,1031,6,85,100.0,2512.0,2884.0,61009
1064,1032,6,2,100.0,3742.0,8030.0,61009
1064,1033,6,14,100.0,1290.0,3110.0,61009
1064,1034,6,26,100.0,2924.0,4520.0,61009
1064,1035,6,38,100.0,2160.0,4562.0,61009
1064,1036,6,50,100.0,3366.0,7804.0,61009
1064,1037,6,62,100.0,2492.0,3370.0,61009
1064,1038,6,74,100.0,1942.0,3542.0,61009
1064,1039,6,86,100.0,2226.0,5552.0,61009
1064,1040,6,3,100.0,3978.0,7404.0,61009
1064,1041,6,15,100.0,2604.0,7376.0,61009
1064,1042,6,27,100.0,3278.0,7412.0,61009
1064,1043,6,39,100.0,1482.0,4544.0,61009
1064,1044,6,51,100.0,3782.0,7422.0,61009
1064,1045,6,63,100.0,1052.0,1890.0,61009
1064,1046,6,75,100.0,1914.0,6024.0,61009
1064,1047,6,87,100.0,3968.0,6042.0,61009
1064,1048,6,62,100.0,3670.0,3184.0,70809
1064,1049,6,4,100.0,1924.0,3620.0,61009
1064,1050,6,16,100.0,1962.0,4638.0,61009
1064,1051,6,28,100.0,2794.0,3808.0,61009
1064,1052,6,40,100.0,2922.0,8036.0,61009
1064,1053,6,52,100.0,1196.0,3090.0,61009
1064,1054,6,64,100.0,2390.0,2200.0,61009
1064,1055,6,76,100.0,2056.0,4864.0,61009
1064,1056,6,88,100.0,4692.0,7780.0,61009
1064,1057,6,5,100.0,2338.0,7170.0,61009
1064,1058,6,17,100.0,3268.0,5870.0,61009
1064,1059,6,29,100.0,3082.0,7126.0,61009
1064,1060,6,41,100.0,3506.0,9108.0,61009
1064,1061,6,53,100.0,1988.0,2966.0,61009
1064,1062,6,65,100.0,1990.0,1992.0,61009
1064,1063,6,77,100.0,2744.0,7548.0,61009
1064,1064,6,89,100.0,3898.0,9124.0,61009
1064,1065,6,6,100.0,1038.0,1912.0,61009
1064,1066,6,18,100.0,604.0,982.0,61009
1064,1067,6,30,100.0,21562.0,3970.0,61009
1064,1067,6,83,100.0,564.0,454.0,61009
1064,1067,6,83,100.0,21594.0,8266.0,61209
1064,1067,6,83,100.0,21662.0,8400.0,61909
1064,1067,6,83,100.0,14150.0,9554.0,70809
1064,1067,6,83,100.0,17064.0,14238.0,82609
1064,1067,6,83,100.0,17742.0,14084.0,91609
1064,1068,6,42,100.0,2568.0,8570.0,61009
1064,1069,6,54,100.0,1102.0,2052.0,61009
1064,1070,6,66,100.0,3400.0,6104.0,61009
1064,1071,6,78,100.0,1476.0,2434.0,61009
1064,1072,6,90,100.0,4274.0,6608.0,61009
1064,1073,6,7,100.0,3230.0,4018.0,61009
1064,1074,6,19,100.0,2582.0,8242.0,61009
1064,1075,6,31,100.0,1346.0,2610.0,61009
1064,1076,6,43,100.0,2948.0,5780.0,61009
1064,1077,6,55,100.0,1500.0,4238.0,61009
1064,1078,6,67,100.0,1630.0,2076.0,61009
1064,1079,6,79,100.0,1850.0,2204.0,61009
1064,1080,6,91,100.0,2132.0,5536.0,61009
1064,1081,6,8,100.0,2204.0,6064.0,61009
1064,1082,6,20,100.0,2444.0,9726.0,61009
1064,1083,6,32,100.0,1924.0,4738.0,61009
1064,1085,6,44,100.0,2962.0,4472.0,61009
1064,1086,6,56,100.0,2758.0,5752.0,61009
1064,1087,6,68,100.0,3256.0,5996.0,61009
1064,1088,6,80,100.0,1870.0,2722.0,61009
1064,1089,6,92,100.0,1132.0,1692.0,61009
1064,1090,6,9,100.0,2424.0,6238.0,61009
1064,1091,6,21,100.0,1070.0,3244.0,61009
1064,1094,6,33,100.0,1272.0,3964.0,61009
1064,1095,6,45,100.0,1534.0,4016.0,61009
1064,1096,6,57,100.0,3638.0,7524.0,61009
1064,1097,6,69,100.0,3914.0,7452.0,61009
1064,1098,6,81,100.0,876.0,1952.0,61009
1064,1100,6,93,100.0,1728.0,3700.0,61009
1064,1101,6,10,100.0,3974.0,8386.0,61009
1064,1102,6,22,100.0,2788.0,6908.0,61009
1064,1103,6,34,100.0,1832.0,4670.0,61009
1064,1104,6,46,100.0,2196.0,5292.0,61009
1064,1105,6,58,100.0,1900.0,3632.0,61009
1064,1107,6,70,100.0,782.0,1996.0,61009
1064,1108,6,82,100.0,2508.0,7518.0,61009
1064,1109,6,94,100.0,3222.0,4300.0,61009
1064,1111,6,11,100.0,1044.0,1464.0,61009
1064,1112,6,23,100.0,1228.0,3418.0,61009
1064,1113,6,35,100.0,4016.0,7688.0,61009
1064,1114,6,47,100.0,878.0,1272.0,61009
1064,1115,6,59,100.0,4046.0,3854.0,61009
1064,1128,6,1,100.0,1982.0,10906.0,61209
1064,1129,6,13,100.0,18546.0,8862.0,61209
1064,1130,6,25,100.0,1020.0,5846.0,61209
1064,1131,6,37,100.0,920.0,5672.0,61209
1064,1132,6,49,100.0,1606.0,7386.0,61209
1064,1133,6,61,100.0,2256.0,20064.0,61209
1064,1134,6,73,100.0,2164.0,15168.0,61209
1064,1135,6,85,100.0,2226.0,18440.0,61209
1064,1136,6,2,100.0,1938.0,12266.0,61209
1064,1137,6,14,100.0,1320.0,12892.0,61209
1064,1138,6,26,100.0,1944.0,12824.0,61209
1064,1139,6,38,100.0,1874.0,12838.0,61209
1064,1141,6,50,100.0,978.0,7516.0,61209
1064,1142,6,62,100.0,1982.0,17308.0,61209
1064,1143,6,74,100.0,2212.0,13812.0,61209
1064,1146,6,86,100.0,2176.0,15392.0,61209
1064,1148,6,3,100.0,1620.0,7450.0,61209
1064,1149,6,15,100.0,2120.0,15164.0,61209
1064,1150,6,27,100.0,1518.0,8534.0,61209
1064,1151,6,39,100.0,2124.0,15724.0,61209
1064,1154,6,51,100.0,1478.0,10612.0,61209
1064,1155,6,63,100.0,1486.0,12840.0,61209
1064,1156,6,75,100.0,1948.0,16838.0,61209
1064,1157,6,87,100.0,1722.0,13614.0,61209
1064,1158,6,4,100.0,1330.0,5838.0,61209
1064,1161,6,16,100.0,2302.0,14880.0,61209
1064,1162,6,28,100.0,2154.0,15082.0,61209
1064,1163,6,40,100.0,2098.0,14726.0,61209
1064,1164,6,52,100.0,1762.0,11308.0,61209
1064,1165,6,64,100.0,1252.0,10602.0,61209
1064,1166,6,76,100.0,1900.0,16192.0,61209
1064,1167,6,88,100.0,2002.0,15142.0,61209
1064,1168,6,5,100.0,2622.0,9478.0,61209
1064,1170,6,17,100.0,1658.0,9146.0,61209
1064,1171,6,29,100.0,2328.0,12152.0,61209
1064,1172,6,41,100.0,1888.0,11100.0,61209
1064,1174,6,53,100.0,1264.0,8500.0,61209
1064,1175,6,65,100.0,2142.0,15706.0,61209
1064,1176,6,77,100.0,1922.0,14940.0,61209
