CID,MolecularWeight,IsomericSMILES,IUPACName,name
379,144.21,CCCCCCCC(=O)O,octanoic acid,octanoic acid
1183,152.15,COC1=C(C=CC(=C1)C=O)O,4-hydroxy-3-methoxybenzaldehyde,vanillin
3314,164.20,COC1=C(C=CC(=C1)CC=C)O,2-methoxy-4-prop-2-enylphenol,eugenol
6054,122.16,C1=CC=C(C=C1)CCO,2-phenylethanol,2-phenylethanol
6549,154.25,CC(=CCCC(C)(C=C)O)C,"3,7-dimethylocta-1,6-dien-3-ol",linalool
7762,116.16,CCCC(=O)OCC,ethyl butanoate,ethyl butyrate
8077,122.3,CCSSCC,(ethyldisulfanyl)ethane,diethyl disulfide
10430,102.13,CC(C)CC(=O)O,3-methylbutanoic acid,isovaleric acid
18827,128.21,CCCCCC(C=C)O,oct-1-en-3-ol,1-octen-3-ol
32594,166.22,CC(C)CC1=NC=CN=C1OC,2-methoxy-3-(2-methylpropyl)pyrazine,2-isobutyl-3-methoxypyrazine
