Participant number 	Language/Group	1) Odor intensity (most intense)	2) Odor intensity	3) Odor intensity	4) Odor intensity	5) Odor intensity	6) Odor intensity	7) Odor intensity	8) Odor intensity	9) Odor intensity	10) Odor intensity (least intense/weakest)
1	Semelai	10	7	3	5	8	2	4	6	1	9
2	Semelai	7	10	5	9	6	1	4	3	8	2
3	Semelai	10	9	7	8	2	4	6	3	5	1
4	Semelai	10	5	2	1	8	6	3	7	4	9
5	Semelai	8	10	7	4	6	5	2	1	3	9
6	Semelai	7	10	9	2	4	6	1	3	5	8
7	Semelai	7	8	4	5	1	10	6	2	3	9
8	Semelai	7	8	6	10	4	5	1	2	9	3
9	Semelai	7	1	4	6	8	10	5	2	9	3
10	Semelai	7	10	4	8	1	5	6	9	3	2
11	Semelai	4	2	5	1	7	6	9	8	3	10
12	Semelai	5	7	4	3	2	10	6	1	8	9
13	Semelai	7	8	9	5	2	6	3	10	4	1
14	Semelai	4	7	10	1	8	5	2	6	9	3
15	Semelai	7	8	10	4	5	6	9	3	2	1
16	Semelai	10	4	7	2	8	5	9	6	1	3
17	Semelai	7	6	10	8	5	1	4	9	3	2
18	Semelai	10	8	5	7	4	9	6	3	1	2
19	Semelai	10	5	1	4	2	3	6	7	8	9
20	Semelai	8	7	10	4	2	1	5	6	9	3
21	Semelai	7	9	8	4	5	2	6	10	1	3
22	Semelai	7	5	2	6	10	8	1	9	4	3
23	Semelai	10	1	7	2	4	6	5	8	9	3
24	Semelai	6	7	4	1	8	2	10	3	5	9
25	Semelai	7	10	5	2	8	4	3	9	6	1
1	Semaq Beri	2	4	7	5	9	8	1	3	6	10
2	Semaq Beri	8	7	5	6	2	9	10	4	1	3
3	Semaq Beri	8	5	7	6	2	1	4	10	9	3
4	Semaq Beri	7	2	5	4	1	6	8	3	9	10
5	Semaq Beri	1	4	2	5	7	6	10	9	8	3
6	Semaq Beri	7	8	2	6	1	10	9	3	5	4
7	Semaq Beri	10	5	8	2	7	6	3	4	9	1
8	Semaq Beri	6	7	1	2	4	5	10	3	8	9
9	Semaq Beri	7	1	5	10	6	8	2	4	3	9
10	Semaq Beri	2	4	6	10	7	8	5	3	9	1
11	Semaq Beri	2	3	4	6	10	8	7	5	9	1
12	Semaq Beri	7	10	5	8	3	9	2	4	6	1
13	Semaq Beri	7	8	2	4	1	9	6	3	5	10
14	Semaq Beri	5	8	2	4	7	10	6	1	3	9
15	Semaq Beri	5	10	4	2	1	7	6	8	3	9
16	Semaq Beri	4	1	2	8	5	7	6	10	3	9
17	Semaq Beri	2	5	7	6	8	10	3	1	4	9
18	Semaq Beri	2	7	10	4	8	5	6	9	1	3
19	Semaq Beri	2	8	5	3	4	7	6	9	10	1
20	Semaq Beri	8	7	9	10	5	2	1	6	4	3
21	Semaq Beri	7	4	2	8	5	1	6	9	10	3
22	Semaq Beri	5	8	7	4	6	10	1	3	2	9
23	Semaq Beri	7	10	5	6	3	1	9	4	8	2
24	Semaq Beri	4	2	10	1	5	7	8	6	3	9
25	Semaq Beri	8	5	9	7	6	2	4	1	3	10
1	Imbabura Quechua	10	2	7	8	1	9	6	3	7	5
2	Imbabura Quechua	7	10	6	4	8	5	9	3	1	2
3	Imbabura Quechua	10	8	6	7	9	4	2	3	5	1
4	Imbabura Quechua	7	8	4	2	1	6	10	5	9	3
5	Imbabura Quechua	7	10	9	6	1	2	8	5	3	4
6	Imbabura Quechua	10	7	8	2	6	9	1	4	5	3
7	Imbabura Quechua	4	9	7	6	10	1	2	5	8	3
8	Imbabura Quechua	10	9	6	4	7	8	5	2	1	3
9	Imbabura Quechua	10	6	4	7	3	8	2	6	5	1
10	Imbabura Quechua	10	2	8	9	7	5	4	1	3	6
11	Imbabura Quechua	2	7	8	1	6	9	4	10	5	3
12	Imbabura Quechua	7	10	5	8	2	6	1	4	3	9
13	Imbabura Quechua	7	10	6	9	4	8	5	3	1	2
14	Imbabura Quechua	7	10	8	6	4	9	2	5	3	1
15	Imbabura Quechua	7	10	8	6	9	1	2	5	3	4
16	Imbabura Quechua	9	2	5	6	3	1	10	8	7	4
17	Imbabura Quechua	10	7	5	6	4	9	2	1	8	3
18	Imbabura Quechua	10	7	1	8	2	6	4	9	5	3
19	Imbabura Quechua	10	7	5	1	9	4	3	6	8	2
20	Imbabura Quechua	10	8	7	5	9	4	3	6	2	1
21	Imbabura Quechua	7	10	8	4	5	3	9	6	1	2
22	Imbabura Quechua	8	6	7	10	9	3	5	2	1	4
23	Imbabura Quechua	6	10	7	4	2	8	5	9	3	1
24	Imbabura Quechua	9	8	6	7	5	2	10	3	1	4
25	Imbabura Quechua	10	7	8	6	9	2	5	4	3	1
1	Cha'palaa	10	2	6	8	9	7	3	1	5	4
2	Cha'palaa	7	8	9	5	10	6	2	3	4	1
3	Cha'palaa	6	10	8	9	5	7	2	4	1	3
4	Cha'palaa	5	8	7	9	4	6	2	10	1	3
5	Cha'palaa	2	6	10	7	1	8	5	9	4	3
6	Cha'palaa	7	8	4	1	5	2	9	10	3	6
7	Cha'palaa	7	1	5	6	10	4	2	9	8	3
8	Cha'palaa	7	10	8	2	4	6	5	1	9	3
9	Cha'palaa	8	6	3	5	2	9	10	4	7	1
10	Cha'palaa	7	10	6	8	5	2	9	4	1	3
11	Cha'palaa	8	6	7	9	2	10	4	5	1	3
12	Cha'palaa	7	6	2	5	1	8	9	10	4	3
13	Cha'palaa	8	7	9	10	1	6	4	1	5	3
14	Cha'palaa	7	8	9	5	2	6	10	1	4	3
15	Cha'palaa	5	2	8	10	7	9	6	4	1	3
16	Cha'palaa	10	7	5	1	2	8	6	9	4	3
17	Cha'palaa	7	9	8	5	6	2	1	3	10	4
18	Cha'palaa	6	5	7	8	3	4	2	1	9	10
19	Cha'palaa	6	2	4	9	1	8	7	5	10	3
20	Cha'palaa	10	8	2	9	7	5	4	6	1	3
21	Cha'palaa	10	8	6	7	9	5	2	4	1	3
22	Cha'palaa	7	9	2	6	5	4	1	10	8	3
23	Cha'palaa	7	8	9	10	6	1	4	5	2	3
24	Cha'palaa	7	8	6	5	9	2	4	3	10	1
25	Cha'palaa	8	10	9	3	4	6	2	5	1	7
1	Mah Meri	10	7	8	4	1	6	2	9	5	3
2	Mah Meri	4	1	7	8	9	3	10	2	6	5
3	Mah Meri	10	5	1	6	4	7	3	8	2	9
4	Mah Meri	4	7	1	8	10	9	2	5	6	3
5	Mah Meri	4	1	7	10	5	2	6	8	9	3
6	Mah Meri	10	7	4	9	2	8	6	5	3	1
7	Mah Meri	8	7	4	1	5	6	2	10	9	3
8	Mah Meri	9	10	4	7	1	2	8	3	5	6
9	Mah Meri	10	7	8	9	4	6	3	2	1	5
10	Mah Meri	7	6	4	8	5	9	2	10	3	1
11	Mah Meri	10	4	8	7	1	9	5	2	6	3
12	Mah Meri	7	1	6	4	10	9	5	8	2	3
13	Mah Meri	2	4	7	5	6	8	1	10	9	3
14	Mah Meri	1	4	8	10	7	5	6	9	2	3
15	Mah Meri	8	7	4	1	6	10	2	9	5	3
16	Mah Meri	7	4	10	2	5	1	9	6	8	3
17	Mah Meri	7	10	8	9	6	1	3	5	2	4
18	Mah Meri	4	7	2	1	8	5	6	3	10	9
19	Mah Meri	4	5	10	8	7	2	6	1	9	3
20	Mah Meri	7	6	8	5	9	10	4	3	2	1
21	Mah Meri	4	1	10	7	6	9	2	3	5	8
22	Mah Meri	8	5	10	7	4	9	1	2	6	3
23	Mah Meri	10	8	3	2	9	7	1	5	6	4
24	Mah Meri	10	7	6	1	4	8	2	5	9	3
25	Mah Meri	7	10	1	4	6	3	2	5	8	9
