CID,UID,Pleasant,Volatile,WeakStrong,Bitter,Chemical,Spice,Sweet,FreshRotten,CleanDirty,Burnt,Fruity,Develops,Garlic
326,7977,4,98,70,97,63,68,4,4,1,78,1,70,95
326,7978,1,27,100,89,100,49,1,50,22,100,1,100,50
326,7979,50,26,88,28,93,92,30,69,28,50,41,63,57
326,7980,19,51,61,16,9,95,4,12,62,33,2,31,61
326,7981,50,71,63,51,1,59,1,72,78,64,1,21,70
326,7983,33,61,63,55,53,50,33,45,38,41,30,34,50
326,7985,25,85,83,1,68,73,70,50,50,2,70,89,1
326,7986,16,54,69,62,1,62,1,42,34,69,1,50,22
326,7987,41,66,53,53,38,67,33,59,34,82,37,60,87
326,7991,89,23,72,87,9,17,65,70,36,64,8,21,14
326,7992,13,28,64,55,39,61,1,50,32,68,23,39,63
326,7994,45,38,59,32,33,31,61,69,57,33,76,45,26
326,7997,1,37,68,1,11,37,1,1,1,26,1,89,100
326,7998,42,65,73,43,52,55,11,50,48,26,9,73,85
326,7999,2,2,98,58,73,2,2,14,50,2,2,98,2
326,8000,1,1,100,27,67,100,22,1,1,90,2,22,100
326,8002,73,11,99,26,1,75,1,99,57,1,1,98,100
326,8004,53,52,65,25,84,68,79,56,52,13,75,84,59
326,8007,52,1,68,22,56,1,1,50,46,1,1,74,60
326,8009,24,66,83,70,54,63,1,27,22,50,1,30,65
326,8013,24,67,96,83,93,100,1,26,1,78,1,64,50
326,8017,1,25,87,89,100,81,1,21,17,83,1,22,61
326,8022,54,87,100,60,3,71,22,78,34,3,2,88,74
326,8026,74,39,84,36,60,63,81,76,64,14,62,37,33
326,8027,8,25,98,7,5,65,1,12,13,10,1,50,14
326,8029,40,40,28,29,34,68,37,43,50,50,25,50,23
326,8030,32,71,70,63,50,69,3,30,42,39,31,50,59
326,8031,20,66,71,68,39,75,16,18,21,63,19,71,89
326,8034,50,1,1,1,1,1,50,50,50,55,1,1,1
326,8038,50,70,50,15,50,50,50,43,43,1,23,33,1
326,8041,50,40,70,38,30,74,2,67,56,58,37,64,56
326,8042,26,39,30,61,99,15,2,65,17,61,1,6,1
326,8044,32,1,96,64,5,94,2,46,50,50,1,85,71
326,8047,49,47,52,52,52,52,44,51,47,47,46,49,55
326,8054,10,34,22,50,35,11,1,39,11,60,14,29,1
326,8058,2,17,100,84,87,99,7,6,20,28,3,78,66
326,8064,11,65,95,58,76,50,56,56,38,52,57,80,11
326,8065,37,61,85,15,38,68,19,44,37,63,38,67,1
326,8066,2,21,100,74,29,100,3,33,1,74,1,69,59
