Subject,Age,Gender
0,33,M
1,35,M
2,51,M
3,29,M
4,31,M
5,31,M
6,27,M
7,24,M
8,26,M
9,31,M
10,23,M
11,23,M
12,28,M
13,32,W
14,37,W
15,40,W
16,29,W
17,30,W
18,32,W
19,26,W
20,24,W
21,26,W
22,32,W
23,23,W
24,24,W
25,28,W
7627,48,
7628,33,
7629,45,
7630,27,
7631,28,
7632,62,
7633,26,
7634,26,
7636,25,
7637,27,
7642,30,
7644,30,
7646,31,
7647,39,
7648,34,
7649,31,
7651,42,
7652,35,
7653,64,
7655,31,
7656,33,
7657,35,
7658,41,
7659,49,
7660,48,
7661,42,
7662,42,
7665,46,
7666,36,
7667,35,
7668,33,
7669,31,
7670,31,
7671,36,
7672,32,
7673,52,
7674,39,
7675,46,
7679,24,
7680,24,
7681,64,
7683,37,
7684,31,
7685,31,
7686,28,
7687,41,
7688,27,
7689,32,
7691,30,
7697,24,
7698,30,
7703,28,
7704,33,
7706,32,
7708,30,
7711,34,
7712,26,
7713,58,
7714,26,
7716,28,
7717,24,
7718,26,
7720,22,
7721,28,
7722,21,
7723,21,
7724,23,
7726,21,
7727,31,
7731,27,
7732,27,
7733,32,
7734,31,
7736,20,
7737,20,
7739,28,
7740,39,
7741,38,
7744,21,
7746,25,
7747,35,
7748,30,
7749,24,
7750,32,
7752,28,
7753,34,
7754,31,
7755,38,
7756,27,
7757,52,
7758,32,
7760,26,
7763,38,
7765,64,
7766,26,
7768,71,
7769,29,
7771,33,
7772,26,
7773,27,
7774,23,
7776,25,
7778,28,
7779,42,
7780,30,
7782,29,
7783,45,
7784,44,
7786,32,
7787,28,
7788,26,
7789,33,
7790,32,
7791,37,
7792,26,
7794,35,
7796,45,
7797,25,
7798,24,
7799,28,
7800,21,
7801,23,
7802,24,
7803,60,
7804,35,
7805,33,
7806,26,
7807,27,
7808,26,
7811,30,
7816,35,
7817,23,
7819,38,
7820,30,
7822,24,
7823,29,
7824,22,
7826,24,
7827,21,
7828,21,
7829,22,
7830,19,
7832,25,
7837,23,
7838,33,
7839,48,
7841,27,
7842,23,
7843,19,
7845,22,
7846,26,
7847,30,
7848,25,
7849,22,
7850,22,
7852,26,
7856,27,
7857,25,
7858,28,
7861,31,
7862,37,
7863,27,
7864,25,
7865,32,
7866,24,
7867,22,
7868,25,
7869,26,
7871,18,
7872,25,
7873,25,
7875,61,
7876,34,
7878,28,
7879,25,
7880,51,
7881,23,
7883,28,
7884,32,
7886,35,
7888,26,
7890,29,
7893,28,
7894,35,
7895,26,
7896,27,
7897,26,
7898,32,
7900,30,
7902,26,
7904,27,
7905,26,
7906,24,
7907,25,
7908,34,
7909,37,
7911,33,
7914,94,
7915,27,
7918,30,
7919,33,
7920,31,
7921,34,
7922,66,
7925,29,
7926,28,
7927,19,
7928,45,
7930,24,
7931,26,
7932,28,
7933,35,
7934,41,
7935,39,
7936,29,
7937,32,
7938,30,
7939,21,
7940,38,
7941,39,
7942,33,
7943,23,
7944,29,
7945,38,
7946,21,
7947,31,
7950,22,
7951,23,
7952,24,
7953,20,
7954,32,
7955,32,
7957,25,
7959,36,
7961,32,
7962,59,
7965,31,
7967,22,
7968,58,
7969,64,
7970,68,
7971,27,
7972,34,
7973,28,
7974,33,
7975,35,
7977,27,
7978,24,
7979,26,
7980,23,
7981,18,
7983,53,
7985,33,
7986,34,
7987,27,
7991,35,
7992,59,
7994,28,
7997,32,
7998,28,
7999,46,
8000,38,
8002,34,
8004,35,
8007,41,
8009,42,
8013,65,
8017,22,
8022,38,
8026,25,
8027,43,
8029,54,
8030,35,
8031,34,
8034,32,
8038,52,
8041,40,
8042,46,
8044,42,
8047,49,
8054,24,
8058,34,
8064,63,
8065,28,
8066,50,
8069,43,
8071,36,
8075,49,
8076,22,
8083,61,
8085,46,
8086,52,
8091,27,
8095,49,
8100,23,
8104,39,
8108,49,
8111,30,
8116,43,
8117,33,
8120,39,
8121,42,
8122,60,
8125,30,
8127,23,
8128,36,
8129,39,
8130,49,
8135,30,
8141,34,
8143,56,
8145,30,
8155,59,
8158,33,
8159,30,
8166,58,
8168,40,
8173,28,
8175,42,
8176,40,
8179,30,
8181,38,
8182,51,
8183,31,
8185,24,
8187,69,
8188,35,
8190,34,
8192,36,
8193,27,
8194,35,
8195,62,
8200,36,
8203,28,
8204,23,
8205,25,
8206,25,
8211,31,
8212,22,
8214,19,
8220,47,
8221,38,
8224,40,
8225,32,
8226,23,
8228,35,
8229,24,
8232,64,
8233,40,
8234,52,
8238,43,
8240,47,
8241,52,
8243,29,
8244,44,
8246,33,
8247,28,
8250,30,
8251,26,
8253,44,
8255,53,
8256,42,
8257,48,
8264,47,
8267,47,
8270,60,
8271,42,
8276,30,
8277,32,
8281,31,
8283,45,
8285,30,
8287,25,
8289,48,
8291,28,
8293,22,
8296,33,
8299,46,
8300,35,
8302,30,
8305,38,
8307,31,
8308,63,
8309,20,
8313,23,
8314,48,
8315,27,
8316,34,
8317,18,
8324,38,
8326,41,
8330,55,
8334,34,
8335,29,
8338,27,
8340,42,
8342,27,
8346,29,
8347,35,
8351,28,
8353,37,
8354,22,
8358,61,
8361,37,
8362,34,
8363,39,
8364,43,
8365,98,
8367,54,
8368,32,
8369,63,
8370,51,
8372,24,
8373,25,
8374,24,
8379,45,
8381,59,
8383,59,
8385,30,
8388,35,
8390,27,
8391,41,
8392,30,
8394,29,
8400,30,
8402,55,
8403,33,
8404,28,
8407,24,
8408,25,
8409,26,
8410,30,
8413,63,
8414,39,
8415,34,
8416,38,
8417,27,
8419,26,
8421,28,
8422,44,
8424,27,
8425,57,
8426,38,
8427,28,
8430,39,
8433,24,
8435,20,
8437,32,
8438,41,
8439,47,
8440,35,
8441,37,
8443,24,
8444,64,
8445,27,
8446,26,
8447,33,
8448,21,
