smiles,binary_classification_exp_med
CCCCCC(=O)N(C)CCCC,1
CC(C)=CC(=O)N1CCCCCC1,1
CCCCCC(=O)N(CC)CCCC,0
CCCCN(CC)C(=O)/C=C/c1ccccc1,0
C=CCN(CC=C)C(=O)CCCCC,0
CC(C)CN(CC(C)C)C(=O)/C=C/c1ccccc1,0
CCCCCC(=O)N1CCCCCC1,1
CCN(C(=O)/C=C/c1ccccc1)c1ccccc1,0
CCCCCC(=O)N(CC)C1CCCCC1,0
CCC/C=C/C(=O)N(CC)CCCC,0
CCCCCC(=O)N(CC)c1ccccc1,0
CCC/C=C/C(=O)N(CC(C)C)CC(C)C,0
CCCCN(CC)C(=O)C(C)CCC,1
CCC/C=C/C(=O)N(CC)C1CCCCC1,0
CCCC(C)C(=O)N1CCCCCC1,1
C#CCCCC(=O)N(C)CCCC,0
CCCCN(CC)C(=O)C(CC)CC,1
CCN(C(=O)CCc1ccccc1)C1CCCCC1,0
C=C(C)CN(CC)C(=O)C(CC)CC,0
CC/C=C(\C)C(=O)N(C)CCCCCCCC,1
CCCCN(CC)C(=O)CC(C)C,1
CCCCCCC(=O)N(C)C1CCCCC1,0
CC(C)CC(=O)N(CC(C)C)CC(C)C,0
CC/C=C(\C)C(=O)N(CC)C1CCCCC1,1
CCN(C(=O)CC(C)C)C1CCCCC1,0
CCCCN(CC)C(=O)C(C)(C)C,0
C=C(C)CN(CC)C(=O)C(C)(C)C,0
CC(C)(C)C(=O)N1CCCCCC1,0
CCCCN(CC)C(=O)c1ccccc1C,0
CC/C=C(\C)C(=O)N(CC)CCCC,1
C=C(C)CN(CC)C(=O)/C(C)=C/CC,0
CC/C=C(\C)C(=O)N1CCCCCC1,1
C=CCN(CC=C)C(=O)/C(C)=C/CC,0
C=C(C)CN(CC)C(=O)c1ccccc1C,1
CCN(C(=O)c1ccccc1C)c1ccccc1,0
CCCCN(CC)C(=O)C=C(C)C,0
C=C(C)CN(CC)C(=O)C=C(C)C,0
CC(C)=CC(=O)N(CC(C)C)CC(C)C,0
CCCCCCCCN(C)C(=O)CCC1CCCCC1,0
Cc1ccc(C(=O)Nc2ccccc2)cc1,0
Cc1ccccc1C(=O)Nc1ccccc1,0
CCCCC(C)CCC(=O)N(CC1CCCCC1)C(C)C,0
CCCCC(C)CCC(=O)N(C1CCCCC1)C1CCCCC1,0
CCN(CC)C(=O)c1cccc(C)c1,1
CCCCCCCC(C)=O,0
CCCCCCCCCC(C)=O,1
C=C(C)C1CCC2=CCCC(C)C2(C)C1,1
COC(=O)c1ccccc1O,0
Cc1ccc(C(C)C)cc1O,1
O=C(OCc1ccccc1)c1ccccc1,1
Cc1ccc(C(C)C)c(O)c1,1
COc1cc(C(C)C)ccc1C,1
CCCCCCCC(C)O,1
O=c1cccc(-c2ccccc2)[nH]1,0
OC1CCC(c2ccccc2)CC1,0
NCCCN1CCCCCC1=O,0
NCC(=O)N1CCCCC1,0
NCCCN1CCCC1=O,0
CC(C)c1ccc(C2CCCCC2O)cc1,0
Nc1ccc(C2CCCCC2)cc1,0
O=C(CCCc1ccccc1)N1CCCCCC1,0
O=C(CCCOc1ccccc1)N1CCOCC1,0
O=C(COc1ccccc1)N1CCCCCCC1,0
NCCN1CCCCCC1=O,0
Cc1cccc(C(=O)N2CCCC2)c1,0
CCC(C)NC(=O)c1cccc(CN)c1,0
CCCCCCC(=O)N1CCCC(C)C1,1
CCCC1CN(C)c2ccccc2C1OC,0
C=CC(CCCCCC)C(O)c1ccccc1,0
O=C(CCC(=O)c1ccccc1)c1ccccc1,0
OC1CCCCC1c1ccccc1,0
O=C(CCC1CCCC1)N1CCCCC1,0
Cc1cccc(C(=O)N2CC(C)CC(C)C2)c1,0
Cc1cccc(C(=O)N2CCC(=O)CC2)c1,0
CCCCC(CC)CO,0
OCCNc1ccccc1,0
OCCCc1ccccc1,0
CCCC(O)CO,0
OC1CCCc2ccccc21,1
CCCCCC(C(O)C(C)C)[N+](=O)[O-],1
OCCOc1ccccc1,0
CCN(CCO)c1ccccc1,0
OC1CCCCC1C1CCCCC1,0
OC1CCc2ccccc2C1,1
CCCCOC(=O)C=CC(=O)OCCCC,1
O=C(OCCO)c1ccccc1O,0
