Stimulus,odor.class,odor.class.source,dataset.assigned,transport.ML.odor.probability,many.feature.ML.odor.probability,boiling.point.experimental,boiling.point.estimate.EPISuite,boiling.point.estimate.Banks,boiling.point.estimate.Burnop,boiling.point.best.available,vapor.pressure.experimental,vapor.pressure.best.available
C(CSCCO)O,Odor,PubChem,train,0.839953273534775,0.994225730188191,280.2,249.49,141.964873604642,,280.2,0.000509,0.000509
C(Cl)(Cl)(Cl)Cl,Odor,PubChem,train,0.988906459882855,0.999644349212758,76.8,80.36,181.285018816416,176.131474739985,76.8,115.0,115.0
C(Cl)(Cl)Cl,Odor,van Gemert 2011,train,0.993812539149076,0.999792850168888,61.1,91.18,137.894955848814,119.865906755365,61.1,197.0,197.0
C(Cl)Br,Odor,PubChem,train,0.996574542950839,0.999740798491985,68.0,94.23,151.799389390882,82.1988723198179,68.0,142.0,142.0
C(Cl)Cl,Odor,PubChem,train,0.991867787204683,0.999848758161534,40.0,80.42,78.3783254382536,51.3197047095541,40.0,435.0,435.0
C(F)(Cl)(Cl)Cl,Odor,van Gemert 2011,train,0.966691508889198,0.998803010559641,23.7,42.46,162.066206761943,147.624687708129,23.7,803.0,803.0
C(F)(F)(Br)Br,Odor,PubChem,train,0.926673196256161,0.995728552341461,25.0,88.39,232.498615511523,160.610596169282,25.0,820.0,820.0
C(F)(F)(Cl)Br,Odor,PubChem,train,0.77898995578289,0.993555946741253,-3.7,46.71,193.444457951095,138.429654422583,-3.7,2070.0,2070.0
C(F)(F)(F)Br,Odorless,PubChem,train,0.0126543641090393,0.0327556133270264,-57.8,7.02,175.810589220224,109.334647404687,-57.8,12200.0,12200.0
C(F)(F)(F)F,Odorless,van Gemert 2011,train,0.180077373981476,0.0105005502700806,-128.0,-83.29,84.6355466911265,44.1060294918685,-128.0,175000.0,175000.0
C(F)(F)Cl,Odor,PubChem,train,0.969354681670666,0.995695207268,-40.7,-15.42,81.5349291417746,47.6031698221292,-40.7,7250.0,7250.0
C(F)(F)F,Odorless,PubChem,train,0.0567014217376709,0.0104119777679443,-82.1,-74.33,44.520466225041,5.0843163091692,-82.1,35300.0,35300.0
C(F)F,Odorless,PubChem,train,0.3325035572052,0.0112329125404358,-51.6,-59.36,-6.79568046238865,-38.8988449261255,-51.6,12600.0,12600.0
C(I)(I)I,Odor,van Gemert 2011,train,0.992831165436655,0.999758001693408,218.0,252.12,327.209335186673,246.899062734702,218.0,,0.0237
C(OC(=O)Cl)Cl,Odor,PubChem,train,0.999556917347945,0.999824544094736,107.0,129.88,151.213191048097,141.016939203644,107.0,,27.7
C(OC(C(F)(F)F)C(F)(F)F)F,Odor,PubChem,train,0.993912895675749,0.311775982379913,58.5,5.3,224.824119079638,223.181762495072,58.5,193.0,193.0
C(OCCl)Cl,Odor,PubChem,train,0.999556917347945,0.99975052283844,106.0,129.01,131.363658149992,111.849333372099,106.0,29.4,29.4
C(S(=O)(=O)C(Cl)(Cl)Cl)(Cl)(Cl)Cl,Odor,PubChem,train,0.985485177487135,0.997407447779551,,286.78,288.367588446005,,286.78,,0.00313
C(SCl)(Cl)(Cl)Cl,Odor,PubChem,train,0.999878902926866,0.999697851861129,147.5,145.63,212.821849664526,,147.5,3.0,3.0
C([C@@H](C(=O)O)N)C(=O)O,Odorless,Lab-Tested,validation,2.76565551757812e-05,4.83989715576172e-05,,347.74,156.695492910386,172.992208101318,347.74,,2.62e-07
C([N+](=O)[O-])(Cl)(Cl)Cl,Odor,PubChem,train,0.999114084173925,0.999193731578998,112.4,155.18,192.440622313542,334.375584822306,112.4,24.0,24.0
C([N+](=O)[O-])([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],Odor,PubChem,train,0.999664354487322,0.994625347200781,126.1,159.94,221.52749222941,971.524896901265,126.1,8.42,8.42
C/C(=C\C)/C(=O)O,Odor,Lab-Tested,validation,0.998801190056838,0.999499042343814,185.0,188.47,107.266851448042,98.5041513513239,185.0,0.133,0.133
C/C(=C\CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/CC/C=C(/CCC=C(C)C)\C,Odorless,Lab-Tested,test,0.021666407585144,0.71619388461113,,452.9,333.092706529444,453.589457047328,452.9,,1.14e-06
C/C(CO)=C\CCC3(C)C1CC2C(C1)C23C,Odor,van Gemert 2011,train,0.978576857596636,0.999550872773398,301.5,299.7,240.371666624728,317.266974249699,301.5,,3.38e-05
C/C=C/C=O,Odor,van Gemert 2011,train,0.999408156843856,0.999941140828014,104.0,92.35,44.7201045098916,34.5668621682895,104.0,30.0,30.0
