Stimulus,odor.class,odor.class.source,dataset.assigned,transport.ML.odor.probability,many.feature.ML.odor.probability,boiling.point.experimental,boiling.point.estimate.EPISuite,boiling.point.estimate.Banks,boiling.point.estimate.Burnop,boiling.point.best.available,vapor.pressure.experimental,vapor.pressure.best.available
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Odorless,van Gemert 2011,train,0.306335985660553,0.0028932690620422,57.14,49.54,305.542683044419,347.326534551628,57.14,218.0,218.0
C(C(C(CO)O)O)O,Odorless,van Gemert 2011,train,6.15119934082031e-05,0.0005961656570434,330.5,294.58,141.865793447791,123.626687050598,330.5,,5.25e-07
C(C(C(F)(Cl)Cl)(F)F)(F)F,Odorless,PubChem,train,0.033010721206665,0.0069727301597595,,21.32,227.130458109402,231.44013554258,21.32,,870.0
C(C(C(F)(F)Cl)(F)Cl)(F)F,Odorless,PubChem,train,0.033010721206665,0.0041244626045227,,21.32,227.130458109402,231.44013554258,21.32,,870.0
C(C(C(F)(F)Cl)(F)F)(F)Cl,Odorless,PubChem,train,0.0449554324150085,0.0016952753067016,56.1,35.78,227.130458109402,231.44013554258,56.1,286.0,286.0
C(C(C(F)(F)F)(Cl)Cl)(F)F,Odorless,PubChem,train,0.033010721206665,0.002151608467102,,21.32,227.130458109402,231.44013554258,21.32,,870.0
C(C(C(F)(F)F)(F)Cl)(F)Cl,Odorless,PubChem,train,0.124818444252014,0.0030381083488464,,35.78,227.130458109402,231.44013554258,35.78,,507.0
C(C(C(F)(F)F)(F)F)(Cl)Cl,Odorless,PubChem,train,0.0556376576423645,0.00335294008255,51.1,49.98,227.130458109402,231.44013554258,51.1,240.0,240.0
C(C(CBr)Br)Cl,Odor,PubChem,train,0.99833027459681,0.844788119196892,196.0,196.96,251.420702215717,199.69260032202,196.0,0.58,0.58
C(C(CCl)Cl)Cl,Odor,PubChem,train,0.999832842891919,0.998455821420066,157.0,162.16,174.117181119142,168.496627054043,157.0,3.69,3.69
C(C(CCl)Cl)O,Odor,PubChem,train,0.999029893660918,0.999496601813007,184.0,184.64,151.279914691401,137.714525994126,184.0,,0.191
C(C(CCl)O)Cl,Odor,PubChem,train,0.999843077646801,0.999266195751261,176.0,189.2,151.279914691401,137.714525994126,176.0,0.801,0.801
C(C(CO)(CO)CO)O,Odorless,van Gemert 2011,train,0.0015996098518371,0.0030921101570129,,320.85,160.577543153631,148.548131905115,320.85,,2.68e-08
C(C(CO)([N+](=O)[O-])Br)O,Odorless,PubChem,train,0.0222409963607788,0.0166043043136597,,300.57,224.767382026289,307.366509175035,300.57,1.26e-05,1.26e-05
C(C(CO)O)O,Odorless,van Gemert 2011,train,0.0048051476478576,0.0023672580718994,290.0,230.65,92.6302557690249,65.5462610138724,290.0,0.000168,0.000168
C(C(CS)S)O,Odor,PubChem,train,0.983301874250174,0.999594539869577,,226.3,144.825625901774,,226.3,0.005,0.005
C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,Odor,PubChem,train,0.999884801647568,0.99775142967701,,154.45,251.679765667712,280.153707753009,154.45,0.21,0.21
C(C(Cl)(Cl)Cl)(Cl)Cl,Odor,PubChem,train,0.996218230575323,0.998318454017863,162.0,152.18,226.603490729158,241.706362825697,162.0,3.5,3.5
C(C(Cl)(Cl)Cl)(F)(F)Cl,Odor,PubChem,train,0.991011029109359,0.999197196040768,92.8,85.21,227.829952507568,238.75840420773,92.8,60.0,60.0
C(C(Cl)(Cl)Cl)(F)(F)F,Odor,PubChem,train,0.921434424817562,0.992325868457556,45.5,47.57,214.131565944616,215.835995990016,45.5,360.0,360.0
C(C(Cl)(Cl)Cl)(O)O,Odor,van Gemert 2011,train,0.935425072908401,0.99738528765738,,205.83,193.484872671831,191.959650041123,205.83,15.0,15.0
C(C(Cl)Cl)(Cl)Cl,Odor,van Gemert 2011,train,0.991171687841415,0.999566353013506,146.5,149.9,195.9292687459,197.318564681472,146.5,13.3,13.3
C(C(Cl)Cl)Cl,Odor,PubChem,train,0.9985700272955,0.999837882482097,113.8,127.75,157.055945962775,145.109458298557,113.8,23.0,23.0
C(C(F)(Cl)Cl)(F)(Cl)Cl,Odor,PubChem,train,0.991011029109359,0.995946322567761,93.0,85.21,227.829952507568,238.75840420773,93.0,50.5,50.5
C(C(F)(Cl)Cl)(F)(F)Cl,Odor,PubChem,train,0.770897552371025,0.836207136511803,47.7,47.57,214.131565944616,215.835995990016,47.7,363.0,363.0
C(C(F)(Cl)Cl)(F)F,Odorless,PubChem,train,0.0113568902015686,0.0150487422943115,,16.03,180.316454366816,167.545405145282,16.03,,1060.0
C(C(F)(F)Cl)(C(F)(F)Cl)F,Odorless,PubChem,train,0.033010721206665,0.0017334222793579,,21.32,227.130458109402,231.44013554258,21.32,,870.0
C(C(F)(F)Cl)(F)Cl,Odorless,PubChem,train,0.133382558822632,0.0036703944206237,29.5,30.59,180.316454366816,167.545405145282,29.5,620.0,620.0
C(C(F)(F)Cl)(F)F,Odorless,PubChem,train,0.209632039070129,0.0008092522621154,-10.0,-25.22,160.966728290332,138.565832242578,-10.0,,2600.0
C(C(F)(F)Cl)Cl,Odorless,PubChem,train,0.2595095038414,0.0228700041770935,46.8,57.95,159.023650736053,141.776697224757,46.8,340.0,340.0
C(C(F)(F)F)(C(F)(Cl)Cl)F,Odorless,PubChem,train,0.033010721206665,0.0011389255523681,,21.32,227.130458109402,231.44013554258,21.32,,870.0
C(C(F)(F)F)(C(F)(F)Cl)Cl,Odorless,PubChem,train,0.124818444252014,0.0013837814331054,,35.78,227.130458109402,231.44013554258,35.78,,507.0
C(C(F)(F)F)(C(F)(F)F)(F)F,Odorless,PubChem,train,0.0442109107971191,0.0014829039573669,-36.7,-36.85,214.70784218159,205.36507864446,-36.7,6630.0,6630.0
C(C(F)(F)F)(C(F)(F)F)O,Odor,PubChem,train,0.996574542950839,0.0064991116523742,59.0,30.46,196.137745289038,181.936692820855,59.0,159.0,159.0
C(C(F)(F)F)(Cl)Br,Odor,PubChem,train,0.934690795838833,0.99436190770939,50.2,73.19,222.626873941381,183.275366976288,50.2,302.0,302.0
C(C(F)(F)F)(F)(F)F,Odorless,PubChem,train,0.0382195115089417,0.0018407702445983,-78.1,-77.38,162.885710997375,135.470922483126,-78.1,25100.0,25100.0
C(C(F)(F)F)Cl,Odorless,PubChem,train,0.495088219642639,0.0102489590644836,6.1,18.85,136.612607714851,110.105279002167,6.1,,1500.0
C(C(F)(F)F)F,Odor,PubChem,train,0.160227477550507,0.0015510320663452,-26.0,-53.6,110.573695730038,75.206492492229,-26.0,4990.0,4990.0
C(C1C(C(C(C(=O)O1)O)O)O)O,Odorless,PubChem,train,0.0034130811691284,0.0017231702804565,,398.51,205.835074703068,228.599328222768,398.51,,1.72e-09
C(C1C(C(C(C(O1)OC(C(CO)O)C(C(CO)O)O)O)O)O)O,Odorless,van Gemert 2011,train,0.0202009677886963,0.0012471675872802,,600.69,308.21276583664,383.356729524765,600.69,,4.82e-16
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,Odorless,Lab-Tested,train,0.194274663925171,0.0013638138771057,,591.59,307.36334370217,317.672275662557,591.59,,3.53e-16
C(C1C(C(C(C(O1)OCC(C(C(C(CO)O)O)O)O)O)O)O)O,Odorless,van Gemert 2011,train,0.194274663925171,0.0012058019638061,,596.94,308.21276583664,383.356729524765,596.94,,3.16e-17
C(C1C(C(C(O1)(CO)O)O)O)O,Odorless,van Gemert 2011,train,0.0006516575813293,0.0006387829780578,,375.19,207.696614317777,125.706176554466,375.19,,1.98e-07
C(C=CCl)Cl,Odor,PubChem,train,0.998736565816216,0.999877823196584,112.0,107.8,125.218954151383,112.790474624436,112.0,34.0,34.0
C(C=O)Cl,Odor,PubChem,train,0.998835776699707,0.999890244602284,85.5,101.3,64.5521935517048,43.726052568794,85.5,64.3,64.3
C(CBr)Br,Odor,PubChem,train,0.999673789774533,0.998962464276701,131.6,131.03,214.559632760721,134.40895567778,131.6,11.2,11.2
C(CBr)Cl,Odor,PubChem,train,0.99788617528975,0.999537559779128,107.0,118.02,169.419713798248,108.256515468583,107.0,33.1,33.1
C(CC#N)C#N,Odorless,PubChem,train,0.0522359013557434,0.0239179730415344,266.0,206.2,68.0944928153813,147.803063535601,266.0,0.00778,0.00778
C(CC(=O)O)C(=O)O,Odorless,Lab-Tested,train,0.031643271446228,0.009948194026947,,280.41,136.041009734684,128.081412822346,280.41,1.91e-07,1.91e-07
C(CC(=O)O)CO,Odorless,Wikipedia,train,0.221637666225433,0.004845380783081,,240.5,114.102136018347,97.4024815883157,240.5,,0.00369
C(CC(=O)OOC(=O)CCC(=O)O)C(=O)O,Odorless,PubChem,train,0.0410788059234619,0.0116382241249084,,372.42,249.98326184739,292.415639925338,372.42,,3.69e-06
C(CC(C(=O)O)N)CN=C(N)N,Odorless,Lab-Tested,train,0.0094330906867981,0.001975417137146,,418.39,202.152060439115,289.488657843992,418.39,,2.91e-09
C(CC(C(=O)O)N)CNC(=O)N,Odorless,van Gemert 2011,train,0.0006836652755737,0.0026880502700805,,399.96,203.081704607337,270.648495813169,399.96,,4.48e-08
C(CC(CBr)(C#N)Br)C#N,Odor,PubChem,train,0.979294531047344,0.991851000115275,,327.79,269.745946587888,280.512789247529,212.0,5.03e-05,5.03e-05
C(CC=O)CC=O,Odor,PubChem,train,0.99693280342035,0.999883193988353,,166.1,107.266851448042,98.5041513513239,166.1,0.6,0.6
